 	ils	font	une	botte	avec	la	paille	de	riz	</S>
a23	0.0815533	0.0984822	0.165762	0.272299	0.249327	0.0913866	0.0271247	0.00646347	0.00409963	0.00350293
a87	0.164693	0.0846734	0.136551	0.203351	0.156462	0.0984315	0.0482156	0.0287604	0.0345724	0.0442901
a38	0.22162	0.130316	0.11293	0.0774696	0.0596537	0.068909	0.0720775	0.0504874	0.0791364	0.127401
a73	0.290129	0.13851	0.123024	0.147685	0.0837257	0.0314704	0.0198979	0.0234506	0.0548441	0.0872633
a20	0.322894	0.128595	0.113183	0.150973	0.0923895	0.0469607	0.0401046	0.0348708	0.0392114	0.0308175
a47	0.232321	0.126386	0.105243	0.1369	0.142826	0.0988688	0.0710571	0.037374	0.0279923	0.0210313
a2	0.233769	0.126605	0.0913318	0.0979309	0.0981999	0.0782906	0.0709445	0.0624001	0.0702905	0.0702383
a75	0.152671	0.11413	0.0723774	0.0853875	0.111056	0.0787419	0.0692586	0.0800684	0.10411	0.132199
a6	0.109424	0.099976	0.083544	0.110966	0.109312	0.0723828	0.0623745	0.0633703	0.114105	0.174546
a37	0.0985997	0.0918631	0.0794406	0.0971618	0.0990252	0.0695391	0.062165	0.0707948	0.135209	0.196202
a85	0.142746	0.148385	0.102547	0.0958143	0.105634	0.070658	0.0490813	0.0483736	0.0936067	0.143154
a0	0.115471	0.128066	0.10255	0.0908283	0.0984616	0.0649877	0.0510465	0.0568463	0.108724	0.183019
a11	0.134245	0.169888	0.128583	0.0941964	0.114485	0.0976315	0.0552432	0.0397007	0.0693346	0.0966922
a66	0.0964686	0.142786	0.126324	0.101556	0.148006	0.126545	0.0665271	0.0414635	0.0646043	0.0857192
a75	0.0498626	0.0894733	0.0944024	0.0878364	0.136258	0.138884	0.0779642	0.0523544	0.107171	0.165794
a85	0.0584244	0.0835364	0.0792665	0.0645185	0.0913679	0.0965467	0.0792966	0.0862245	0.141857	0.218962
a37	0.0311548	0.041806	0.0409203	0.0345383	0.0520956	0.0615563	0.071777	0.124354	0.22081	0.320988
a92	0.05508	0.0621732	0.0519434	0.0323819	0.0401786	0.048094	0.054609	0.0988082	0.207597	0.349134
a43	0.0312354	0.0378337	0.0306951	0.0244906	0.0293363	0.0343149	0.0543069	0.130675	0.250957	0.376156
a75	0.0191185	0.0234799	0.0192673	0.0131032	0.0154242	0.019715	0.0367874	0.129886	0.281801	0.441418
a34	0.0172933	0.0192647	0.0156905	0.0126276	0.013783	0.019687	0.0408502	0.114738	0.293954	0.452112
a61	0.0111902	0.0121012	0.0096371	0.00748113	0.00719084	0.0113552	0.0265316	0.13144	0.353105	0.429968
a62	0.00626263	0.00775933	0.00740478	0.00575661	0.0053751	0.00787047	0.0155641	0.104428	0.376257	0.463322
a83	0.00711391	0.00867818	0.00932683	0.00758405	0.00735942	0.00968058	0.0164205	0.100854	0.386754	0.446229
a93	0.00195035	0.00246016	0.00301309	0.00315842	0.00299431	0.00550032	0.0125124	0.0761669	0.343063	0.549181
a70	0.0020752	0.0027924	0.00344627	0.0034085	0.00303547	0.00560349	0.0119967	0.0711757	0.328155	0.568311
a83	0.00348451	0.0039771	0.00476165	0.00433064	0.0036722	0.00787756	0.0162927	0.065336	0.288769	0.601499
a9	0.00453643	0.00462038	0.0044453	0.00401532	0.00329372	0.00697591	0.0166738	0.0783298	0.290949	0.58616
a10	0.0100864	0.00938427	0.0112324	0.0117607	0.012061	0.0174616	0.0419223	0.133872	0.277961	0.474258
</S>	0.0794766	0.0559694	0.0593847	0.0567622	0.0621255	0.0590144	0.0710254	0.108409	0.175491	0.272342
