 	le	féticheur	range	les	objets	rituels	dans	une	boîte	</S>
a85	0.362861	0.19635	0.121348	0.106835	0.0845971	0.0398647	0.0309678	0.0159396	0.0183537	0.0228841
a87	0.558975	0.136816	0.0871348	0.0363201	0.0266373	0.0271146	0.0310493	0.0237536	0.0266891	0.0455094
a23	0.271888	0.178641	0.170341	0.0961879	0.0677291	0.0528578	0.0459788	0.029054	0.0305805	0.0567418
a13	0.214521	0.091223	0.10946	0.0605587	0.0377589	0.0310011	0.0349439	0.0460829	0.102702	0.271749
a20	0.368256	0.166594	0.11241	0.048554	0.0248277	0.0267667	0.0273615	0.0387709	0.0719178	0.114541
a7	0.468374	0.185399	0.133487	0.0670496	0.0310414	0.03277	0.0243555	0.0164998	0.0168429	0.0241812
a44	0.334875	0.18694	0.167418	0.109521	0.0688023	0.0564094	0.0329827	0.014367	0.0121831	0.0165013
a20	0.219739	0.179656	0.168384	0.127907	0.0901674	0.0686129	0.0462418	0.029006	0.0292442	0.0410414
a94	0.1523	0.15477	0.143681	0.115578	0.090186	0.0844703	0.0761715	0.0559145	0.0525105	0.0744185
a20	0.155854	0.146723	0.141058	0.134508	0.11398	0.10126	0.0745988	0.0432138	0.0371983	0.051604
a73	0.131027	0.129876	0.13432	0.137753	0.117386	0.113594	0.083336	0.0564217	0.0426393	0.0536481
a36	0.147497	0.146626	0.141519	0.135855	0.116757	0.114745	0.072739	0.047977	0.034138	0.0421472
a27	0.148084	0.132857	0.119711	0.126091	0.107991	0.110523	0.0794686	0.0639789	0.0489654	0.0623314
a75	0.0875348	0.0858616	0.103838	0.121346	0.11785	0.143377	0.107767	0.0822036	0.0634552	0.0867672
a73	0.0675475	0.0722341	0.071555	0.0829846	0.0793045	0.0969888	0.0968558	0.140855	0.124459	0.167215
a37	0.0378223	0.0428441	0.0428753	0.0657301	0.0795046	0.142025	0.137265	0.16774	0.134082	0.150111
a54	0.0634931	0.0568675	0.0594189	0.0831891	0.0842618	0.115594	0.124095	0.132006	0.111296	0.169779
a73	0.041215	0.0345277	0.0320929	0.0499973	0.0583619	0.0825492	0.0926622	0.162514	0.180257	0.265823
a94	0.0201369	0.0180494	0.0193766	0.0381243	0.0557944	0.120556	0.146407	0.210234	0.171902	0.19942
a98	0.0301802	0.0230229	0.021374	0.0320431	0.0452974	0.0914811	0.138623	0.210569	0.175521	0.231888
a73	0.0189892	0.0160259	0.0175695	0.0363424	0.0684282	0.136078	0.188306	0.224233	0.150692	0.143336
a37	0.0149497	0.0140556	0.0164789	0.036633	0.066049	0.131877	0.19094	0.250102	0.148673	0.130242
a25	0.0166888	0.0123818	0.0133986	0.0234281	0.0397102	0.0834906	0.14602	0.277869	0.19024	0.196773
a56	0.0196024	0.0146187	0.0161373	0.0244911	0.0374896	0.0727905	0.146679	0.264452	0.191745	0.211996
a32	0.0230449	0.0181485	0.0201416	0.0303622	0.0440702	0.0779767	0.122398	0.247463	0.212271	0.204124
a76	0.0162137	0.0117911	0.0148561	0.0244096	0.0349108	0.0650824	0.112281	0.244003	0.242253	0.234199
a69	0.0399627	0.0259325	0.0276503	0.0339991	0.0428189	0.0781242	0.107359	0.209294	0.214735	0.220124
a4	0.018623	0.0129137	0.01469	0.0197357	0.0270497	0.0562066	0.0859755	0.208327	0.267407	0.289072
a57	0.0239958	0.0164742	0.0184448	0.0208	0.0282783	0.0477694	0.0678866	0.154592	0.257455	0.364304
a58	0.0069407	0.00417861	0.00522478	0.00662209	0.0107289	0.0198783	0.0356726	0.122622	0.274717	0.513414
a53	0.00757521	0.00397749	0.00410556	0.00527058	0.00957788	0.02018	0.0388571	0.146093	0.266726	0.497637
a90	0.0669441	0.0351877	0.0356986	0.034064	0.0364248	0.0464096	0.0570784	0.122914	0.210588	0.35469
a32	0.0458766	0.0244038	0.0249963	0.0263936	0.0279049	0.0395866	0.0519302	0.119973	0.225241	0.413694
a20	0.0120441	0.00538264	0.00528007	0.00714902	0.0103829	0.019349	0.0304903	0.103245	0.251213	0.555465
a58	0.0113682	0.00490874	0.00559641	0.00826935	0.0118159	0.0255117	0.0450999	0.135652	0.270895	0.480883
a82	0.00530266	0.00258401	0.00229873	0.00273717	0.00404837	0.00889331	0.0205171	0.092116	0.238201	0.623302
a87	0.00367464	0.00146422	0.00111958	0.00122025	0.00187606	0.004994	0.0151566	0.0942392	0.232763	0.643492
</S>	0.00740012	0.0032259	0.00179238	0.00161219	0.00134943	0.00430552	0.0144365	0.0990726	0.206429	0.660376
