 	il	brigue	l'	honneur	d'	être	invité	par	le	chef	</S>
a23	0.231884	0.165991	0.0945466	0.0645633	0.0386889	0.0377373	0.0545308	0.0712598	0.0893615	0.0809997	0.0704379
a87	0.264068	0.131743	0.0760863	0.052353	0.0329141	0.0277812	0.0417822	0.0605462	0.0886497	0.0961003	0.127976
a23	0.244503	0.120162	0.0455597	0.03804	0.0306111	0.0349245	0.0646192	0.0780321	0.0979243	0.104238	0.141387
a87	0.231462	0.143477	0.0558237	0.0330649	0.0219014	0.0226942	0.0506241	0.0741905	0.106276	0.104226	0.156261
a23	0.206767	0.152478	0.0679956	0.0460885	0.0338054	0.0309713	0.0535548	0.074687	0.0990821	0.0998512	0.134719
a40	0.254813	0.213015	0.0774237	0.0350766	0.0205287	0.0171459	0.0299165	0.0529044	0.0891045	0.0859179	0.124153
a30	0.355452	0.248366	0.0888378	0.0576664	0.0416904	0.0339737	0.0355063	0.0328127	0.0355091	0.0316964	0.0384895
a41	0.414422	0.281557	0.0937213	0.0624793	0.0342603	0.0240923	0.0220215	0.0200411	0.0182422	0.0139853	0.0151776
a24	0.293044	0.252226	0.0985291	0.0784	0.0486833	0.039788	0.0426775	0.0415878	0.0389624	0.031466	0.0346356
a35	0.24635	0.262461	0.121692	0.0996039	0.06213	0.0494995	0.0457984	0.0359139	0.0291718	0.0228918	0.0244882
a30	0.182498	0.253576	0.126746	0.105947	0.0694913	0.0507149	0.0433452	0.0415857	0.0393523	0.0392231	0.0475212
a2	0.118153	0.219615	0.134282	0.131233	0.0982127	0.0697056	0.0467052	0.0396929	0.0387037	0.0438082	0.0598889
a35	0.0610644	0.0868981	0.100322	0.105955	0.0930092	0.0760693	0.0615318	0.0693729	0.0808192	0.104061	0.160897
a41	0.0706074	0.176871	0.184374	0.162674	0.103287	0.0637719	0.037064	0.0366872	0.0406136	0.0522411	0.0718089
a14	0.0531549	0.136906	0.146098	0.148128	0.129769	0.105303	0.076375	0.0595938	0.0471331	0.0459011	0.0516383
a76	0.0463	0.116835	0.124834	0.130924	0.120033	0.0985254	0.0765884	0.0729934	0.0653287	0.0679705	0.0796678
a73	0.0213406	0.0611342	0.0799449	0.10699	0.138847	0.135958	0.114288	0.101372	0.0796946	0.0770489	0.0833808
a35	0.0271858	0.059131	0.073895	0.0769343	0.0815231	0.0815811	0.0700501	0.0867165	0.111378	0.14541	0.186195
a26	0.0169195	0.0349137	0.0494147	0.0492539	0.070612	0.0973	0.103471	0.124795	0.122046	0.146829	0.184445
a94	0.011346	0.0198224	0.0254319	0.030724	0.0525579	0.0809718	0.0997609	0.128593	0.145969	0.177036	0.227787
a76	0.0108439	0.0188621	0.0253774	0.03199	0.054829	0.0780353	0.0847391	0.119329	0.14511	0.187206	0.243678
a90	0.006417	0.0130486	0.0224341	0.0295328	0.0522453	0.0703979	0.0717169	0.11103	0.14035	0.210486	0.272342
a57	0.00523946	0.0140642	0.0194269	0.0242236	0.0430321	0.0647213	0.0832414	0.139555	0.171944	0.2056	0.228952
a82	0.00279641	0.00592508	0.00686851	0.00590227	0.00945779	0.0165221	0.036399	0.110181	0.16995	0.27685	0.359149
a30	0.00251176	0.00720441	0.00846631	0.00824628	0.0149591	0.0263278	0.0421614	0.0864664	0.136807	0.266532	0.400318
a70	0.00149267	0.00395109	0.00369834	0.00408412	0.00965886	0.0162588	0.0317778	0.0857511	0.14861	0.293134	0.401583
a94	0.00231752	0.00296158	0.0021704	0.0023617	0.00442301	0.00778312	0.0166309	0.0572728	0.142177	0.322968	0.438934
a13	0.00231866	0.00333356	0.00377734	0.00387681	0.00635161	0.00939272	0.0165009	0.0487724	0.119052	0.313833	0.472792
a38	0.00375071	0.00470787	0.00567475	0.00525731	0.00853462	0.0121816	0.0241735	0.0667681	0.12813	0.291536	0.449285
a9	0.00306975	0.0023954	0.00175184	0.00171549	0.00281988	0.00410819	0.0112606	0.0463101	0.119335	0.315049	0.492185
a99	0.00303801	0.00437177	0.0037073	0.0037304	0.00759075	0.0140585	0.0301022	0.0771902	0.136837	0.286534	0.43284
a87	0.00230049	0.00298641	0.00205129	0.00210795	0.00415482	0.00761532	0.0204498	0.0716763	0.149805	0.309463	0.42739
</S>	0.00202648	0.00524447	0.00332558	0.00322026	0.00679237	0.0107134	0.023912	0.0694192	0.141549	0.298207	0.435591
