 	j'	ai	mal	au	pied	</S>
a66	0.457718	0.175947	0.0910246	0.102719	0.107968	0.0646227
a87	0.422551	0.224133	0.18867	0.109192	0.0379637	0.0174904
a23	0.484529	0.296969	0.128715	0.0467723	0.0241979	0.018816
a83	0.454618	0.295162	0.128189	0.0498983	0.033274	0.0388591
a62	0.494739	0.245005	0.114785	0.0625345	0.0446926	0.0382446
a21	0.329943	0.346354	0.22097	0.0694453	0.0232474	0.0100403
a12	0.207144	0.284012	0.315412	0.132841	0.0404369	0.020155
a21	0.15139	0.222521	0.338161	0.19664	0.0581298	0.0331581
a92	0.127736	0.166735	0.292123	0.25357	0.0970576	0.0627779
a56	0.0712257	0.0804048	0.166116	0.252302	0.22723	0.202721
a37	0.053456	0.048749	0.10076	0.242384	0.295622	0.259029
a93	0.021529	0.0184948	0.0381278	0.147752	0.342263	0.431833
a56	0.00944222	0.00789554	0.0181879	0.0964912	0.32817	0.539813
a98	0.00330238	0.00294109	0.0076082	0.0436615	0.254618	0.687869
a79	0.000644742	0.000693073	0.00328192	0.0297906	0.255868	0.709722
a90	0.00053155	0.000433624	0.00181664	0.0187054	0.193666	0.784847
a25	0.000739117	0.000724118	0.00277837	0.0198013	0.176657	0.7993
a15	0.000332619	0.000340546	0.0013052	0.0123493	0.166958	0.818715
a7	0.00100518	0.00109225	0.00350821	0.0247024	0.186245	0.783447
a84	0.00243958	0.00338539	0.0091311	0.0422929	0.211348	0.731403
a87	0.126814	0.066009	0.0625028	0.100182	0.192659	0.451834
a23	0.477338	0.287307	0.121718	0.0560946	0.0322945	0.025249
a87	0.246065	0.121221	0.0676095	0.0694932	0.166479	0.329132
</S>	0.0363434	0.0201046	0.0163547	0.0372036	0.203513	0.68648
