 	selon	moi	nous	devrions	finir	le	travail	aujourd'	hui	même	</S>
a66	0.122575	0.0982315	0.0758941	0.105178	0.151528	0.245368	0.118456	0.0410428	0.0200387	0.0118329	0.00985492
a87	0.225195	0.1369	0.101118	0.112156	0.152276	0.0995847	0.0826525	0.034959	0.0280532	0.0150686	0.0120376
a23	0.232313	0.199442	0.156142	0.185458	0.0877886	0.0813823	0.0292894	0.00988694	0.00650001	0.00567246	0.00612475
a35	0.302097	0.241501	0.182279	0.113473	0.0364055	0.0287137	0.025738	0.0184891	0.0175203	0.0159142	0.0178699
a76	0.127122	0.102235	0.102091	0.109327	0.102738	0.138664	0.109281	0.0751812	0.063477	0.0360922	0.0337922
a85	0.080821	0.0656964	0.0926538	0.204814	0.182034	0.160937	0.1054	0.0448951	0.0308241	0.0164769	0.0154473
a36	0.0788566	0.0724689	0.11878	0.230773	0.202068	0.107802	0.0835518	0.0379185	0.0298784	0.0192591	0.0186435
a85	0.148811	0.114203	0.15923	0.178013	0.147417	0.0499687	0.0534091	0.036432	0.0387415	0.0326256	0.0411493
a5	0.0935055	0.0676559	0.115053	0.150718	0.188031	0.0713813	0.0934338	0.0677617	0.0622386	0.0454177	0.0448046
a43	0.116179	0.101389	0.158938	0.199314	0.147405	0.0652699	0.0672935	0.0383753	0.0378055	0.0312383	0.0367929
a11	0.130442	0.12247	0.148119	0.194104	0.144052	0.0619149	0.0605406	0.0305921	0.0312696	0.0337099	0.0427866
a0	0.141146	0.129861	0.112286	0.167199	0.130798	0.0807219	0.0845303	0.037012	0.0339223	0.0353383	0.047186
a31	0.0961717	0.0986243	0.0826198	0.160644	0.149604	0.108673	0.110559	0.0473484	0.0369114	0.040385	0.06846
a0	0.0940215	0.0623651	0.0601674	0.111802	0.153319	0.158022	0.108106	0.0656425	0.0587613	0.0561493	0.0716436
a75	0.0892055	0.0782495	0.066555	0.117659	0.131557	0.152528	0.125368	0.0621415	0.0487123	0.0504034	0.0776204
a85	0.0224901	0.0160208	0.016763	0.032219	0.0365585	0.0545108	0.0442077	0.10836	0.174962	0.2177	0.276207
a47	0.00663995	0.00466028	0.00446959	0.00918787	0.0133956	0.0280107	0.0263605	0.0888449	0.169901	0.255661	0.392868
a36	0.00385486	0.00272357	0.0026919	0.00465602	0.00616538	0.0144682	0.0116622	0.0530968	0.119452	0.260321	0.520908
a98	0.00485639	0.00362204	0.00247708	0.0033251	0.00487755	0.00868123	0.00763156	0.0306752	0.0927434	0.267741	0.57337
a15	0.00298748	0.00189136	0.00119488	0.00158597	0.00266565	0.0046139	0.00393485	0.0291298	0.0984585	0.281752	0.571786
a98	0.00123699	0.000824961	0.000544738	0.000743109	0.00167012	0.00327195	0.00265599	0.0241345	0.0810517	0.288048	0.595818
a85	0.000476722	0.000234326	0.000156654	0.000238211	0.000648119	0.001564	0.00192949	0.0311648	0.102097	0.32891	0.53258
a47	0.000171055	7.01515e-05	3.9082e-05	6.95666e-05	0.000284235	0.00103559	0.00132697	0.0265894	0.095378	0.343405	0.531631
a36	0.000739696	0.000425677	0.000242322	0.000475488	0.00235526	0.00747903	0.00745979	0.0651422	0.135266	0.29915	0.481264
a15	0.0291702	0.0222064	0.0128298	0.0199535	0.0682188	0.112991	0.0772634	0.103348	0.109844	0.170243	0.273931
a7	0.0562555	0.0375296	0.01816	0.0274	0.0775997	0.120364	0.0785986	0.0961489	0.109062	0.157387	0.221495
a84	0.00652872	0.00524247	0.0037199	0.00424632	0.0222325	0.0416238	0.0352525	0.0977024	0.136293	0.241263	0.405896
a57	0.0592817	0.0420816	0.0358509	0.0590002	0.1339	0.212734	0.137364	0.078969	0.0695642	0.0814598	0.0897944
a87	0.102636	0.0663291	0.0610564	0.0861067	0.183486	0.258269	0.122971	0.0429512	0.0283044	0.0261221	0.0217682
a23	0.0741533	0.0427167	0.0366722	0.0522491	0.135514	0.261357	0.138925	0.0908416	0.0617645	0.0609282	0.0448778
a87	0.0382148	0.0205459	0.0143461	0.0125986	0.0263588	0.0431416	0.024702	0.069368	0.138616	0.264716	0.347392
</S>	0.0135552	0.00706876	0.00437747	0.00646495	0.0139554	0.0278956	0.0160849	0.0357409	0.111264	0.301693	0.4619
