 	sa	bêtise	dépasse	tout	</S>
a23	0.42169	0.218726	0.17584	0.107784	0.0759605
a87	0.457203	0.280104	0.126297	0.0675149	0.0688807
a23	0.210631	0.224865	0.216059	0.18074	0.167705
a79	0.265624	0.203139	0.202172	0.168364	0.160701
a53	0.514083	0.347346	0.0576965	0.0407867	0.0400874
a13	0.515601	0.296486	0.0805955	0.0601464	0.0471711
a18	0.455611	0.34514	0.0714138	0.0665492	0.061286
a38	0.344008	0.383975	0.101334	0.086554	0.0841291
a24	0.266223	0.409737	0.124632	0.0999989	0.0994085
a94	0.254245	0.399952	0.154176	0.0989864	0.0926402
a12	0.24156	0.415769	0.166407	0.0947504	0.0815143
a35	0.168882	0.318935	0.214408	0.158108	0.139668
a54	0.134495	0.29228	0.231475	0.181765	0.159985
a73	0.116799	0.269159	0.227863	0.196218	0.189961
a76	0.0749748	0.227	0.24421	0.224813	0.229002
a90	0.0659836	0.124898	0.198388	0.278612	0.332119
a4	0.043445	0.11859	0.238692	0.296677	0.302597
a57	0.0211753	0.0724405	0.239223	0.335213	0.331947
a75	0.0188433	0.0595187	0.200809	0.338118	0.382711
a41	0.0196374	0.0475495	0.188911	0.302965	0.440937
a94	0.021129	0.043401	0.185121	0.323668	0.426682
a66	0.018188	0.0354284	0.128347	0.331824	0.486213
a75	0.0114676	0.0216249	0.0856782	0.318781	0.562449
a41	0.0136966	0.0216147	0.0839915	0.323335	0.557362
a18	0.00625146	0.0126168	0.0744395	0.320099	0.586593
a11	0.00549074	0.0112001	0.0461402	0.257098	0.680071
a90	0.00632429	0.0109185	0.0426028	0.246422	0.693732
a69	0.0097208	0.0135639	0.0479843	0.268898	0.659833
a58	0.0130838	0.0171044	0.0509295	0.25096	0.667922
a82	0.0114011	0.0124644	0.0410353	0.224945	0.710155
a87	0.00660116	0.00724449	0.0432791	0.240302	0.702574
</S>	0.00655031	0.00466068	0.0382074	0.254867	0.695714
