 	cette	fille	est	enceinte	</S>
a84	0.476101	0.23818	0.144137	0.0800491	0.0615332
a66	0.442268	0.196138	0.144488	0.112585	0.10452
a87	0.590053	0.195958	0.0896805	0.0618145	0.062494
a23	0.547009	0.219886	0.111799	0.0647277	0.0565787
a97	0.472864	0.207289	0.134415	0.0896749	0.0957572
a87	0.420645	0.23697	0.147784	0.0958788	0.0987225
a23	0.464082	0.231869	0.142356	0.0837817	0.0779112
a99	0.357811	0.200624	0.16514	0.132594	0.143831
a44	0.319763	0.229347	0.173875	0.133746	0.143268
a99	0.311706	0.254217	0.182321	0.123999	0.127757
a18	0.262504	0.227963	0.180726	0.149975	0.178832
a99	0.21659	0.216239	0.182222	0.17167	0.21328
a30	0.1509	0.198003	0.188955	0.200411	0.261732
a4	0.0881609	0.139787	0.163463	0.240641	0.367948
a13	0.0743663	0.122406	0.15125	0.248824	0.403154
a57	0.0406762	0.0824613	0.124964	0.259598	0.492301
a58	0.033084	0.0834874	0.13593	0.274005	0.473494
a44	0.0185669	0.0422249	0.107864	0.287007	0.544337
a99	0.0195387	0.0423083	0.114333	0.295777	0.528043
a9	0.0190026	0.0374447	0.103335	0.299114	0.541104
a30	0.126984	0.099529	0.15406	0.251748	0.36768
a4	0.238773	0.129068	0.155011	0.203781	0.273367
a57	0.19928	0.122357	0.183919	0.233515	0.260929
a82	0.168386	0.12022	0.195615	0.249072	0.266706
a87	0.16117	0.136681	0.213719	0.241652	0.246779
a23	0.178246	0.162582	0.216565	0.224954	0.217653
a38	0.263081	0.192694	0.189605	0.176423	0.178197
a99	0.369395	0.179862	0.142092	0.141571	0.16708
a3	0.406487	0.17614	0.133023	0.12757	0.15678
</S>	0.432395	0.173757	0.129971	0.1201	0.143778
