 	les	vieux	oignent	leurs	cheveux	d'	huile	de	palme	pour	cacher	les	cheveux	blancs	</S>
a23	0.0874222	0.067023	0.1001	0.119055	0.11353	0.102536	0.0841589	0.0748223	0.0769736	0.0860881	0.0371261	0.0155926	0.0123506	0.0122357	0.0109869
a24	0.178341	0.119755	0.134092	0.081723	0.0901006	0.0799711	0.061962	0.0546452	0.0400178	0.0389418	0.0240462	0.0124516	0.0173873	0.0237179	0.0428471
a71	0.198186	0.201045	0.166797	0.0859848	0.0750431	0.0626819	0.0419283	0.0349697	0.0266829	0.0235184	0.0180518	0.00732817	0.0100008	0.0165522	0.0312292
a24	0.33905	0.256476	0.127973	0.0585756	0.0383499	0.0278435	0.0170665	0.0135865	0.00987206	0.00960348	0.00864744	0.00738284	0.0127998	0.0254293	0.0473439
a11	0.419945	0.212309	0.101983	0.062823	0.0458879	0.0365738	0.0248455	0.0205659	0.0145329	0.0135007	0.00774535	0.00527698	0.0076818	0.0114633	0.0148661
a56	0.301646	0.179293	0.132713	0.0920873	0.0516234	0.0407665	0.0289814	0.0291148	0.0272602	0.028044	0.019973	0.0149316	0.017062	0.0177247	0.018779
a66	0.227938	0.172888	0.14263	0.101482	0.0498342	0.0397402	0.0286467	0.0292831	0.0275733	0.0267162	0.0228611	0.0242908	0.0307313	0.0367072	0.0386767
a61	0.126577	0.127108	0.135886	0.12748	0.0641249	0.0525785	0.0407492	0.0448909	0.0456134	0.0459574	0.0391923	0.0342046	0.0367708	0.0381567	0.0407108
a31	0.12584	0.154723	0.144569	0.152435	0.0696273	0.0530775	0.0355247	0.0368944	0.0342487	0.0328193	0.0278476	0.0261809	0.0309103	0.0367746	0.038528
a66	0.10557	0.137005	0.14113	0.14937	0.0719326	0.0567562	0.0387939	0.041512	0.0405273	0.0396299	0.0290289	0.030447	0.0365904	0.0415283	0.0401791
a90	0.0501408	0.0793724	0.119817	0.148164	0.0831421	0.0703654	0.0533861	0.063049	0.0635797	0.0615816	0.0463785	0.0372727	0.0401193	0.0408869	0.0427445
a15	0.0556491	0.0820001	0.118563	0.142755	0.0862445	0.0791079	0.0651108	0.0698952	0.0610116	0.0524241	0.0310475	0.0302981	0.0339788	0.0430269	0.0488878
a20	0.0404781	0.0492546	0.0964733	0.107089	0.0687571	0.063013	0.0572264	0.0667134	0.0771126	0.0804746	0.0596479	0.0562632	0.0549948	0.0605461	0.0619562
a73	0.0196506	0.0217787	0.0454612	0.0926616	0.0822781	0.0881283	0.0919824	0.105376	0.111252	0.0952388	0.0518053	0.038326	0.0376961	0.0524164	0.0659483
a69	0.0105713	0.00970768	0.0196148	0.0588369	0.0664784	0.0828174	0.0966232	0.118378	0.135835	0.114814	0.0625757	0.0445678	0.0417272	0.0580405	0.0794119
a4	0.0197781	0.0178271	0.0270563	0.0603864	0.0788917	0.105913	0.12199	0.131134	0.121178	0.0889562	0.0464353	0.0299698	0.0283432	0.0459628	0.076178
a53	0.0172456	0.0170069	0.0281221	0.0518789	0.0635645	0.0848817	0.103902	0.109808	0.108889	0.0872813	0.0488045	0.0412424	0.0426976	0.0766728	0.118003
a54	0.0171153	0.0169385	0.0258982	0.0479247	0.0527015	0.0681841	0.0823047	0.0900701	0.0991895	0.0849638	0.0588775	0.0585329	0.0605348	0.099482	0.137282
a85	0.0177917	0.0129439	0.0171842	0.0254179	0.0349816	0.0495117	0.0657509	0.0654533	0.0662245	0.0554595	0.0452943	0.0776899	0.0966438	0.164082	0.205571
a43	0.0196612	0.0150654	0.015448	0.0335742	0.0481458	0.0621204	0.0725577	0.0734393	0.0823802	0.0720078	0.0556137	0.0788787	0.0966958	0.131201	0.143211
a11	0.0164325	0.0136316	0.0166104	0.034638	0.0467491	0.0647887	0.0836731	0.0938493	0.116442	0.0971086	0.0690079	0.0521322	0.0544482	0.0935308	0.146958
a75	0.0203216	0.0205311	0.0249061	0.0505592	0.0751642	0.0956606	0.113045	0.106731	0.106984	0.078266	0.048915	0.0328301	0.0344638	0.0654941	0.126129
a5	0.0354061	0.023679	0.0211491	0.0345837	0.0424331	0.0573597	0.0721417	0.0724241	0.0780182	0.0632091	0.0500371	0.0694083	0.0823097	0.130611	0.16723
a43	0.0332568	0.0216673	0.0210435	0.0357019	0.0456741	0.0653663	0.0848867	0.0869914	0.0908705	0.0749786	0.0523996	0.0542215	0.0575797	0.106893	0.168469
a11	0.0169041	0.0154474	0.016021	0.0355305	0.0580305	0.0805486	0.102726	0.0990125	0.0975423	0.0703053	0.0514969	0.0428613	0.0460557	0.0913444	0.176174
a24	0.0133815	0.0138888	0.0160098	0.0335992	0.0663891	0.0950657	0.123667	0.107284	0.105418	0.071341	0.0554371	0.0332663	0.0352693	0.0686659	0.161317
a31	0.0122888	0.0110883	0.0126561	0.0282047	0.0522171	0.0759244	0.106386	0.101677	0.10924	0.0796772	0.0675671	0.0569853	0.0561046	0.0839926	0.145991
a21	0.0300781	0.0239212	0.02508	0.043938	0.0634282	0.0855585	0.11189	0.103086	0.113597	0.0907683	0.0717063	0.065298	0.0547618	0.052883	0.0640055
a12	0.0433184	0.0294242	0.0328503	0.0456986	0.0633527	0.0803749	0.100107	0.0881905	0.0912427	0.0728363	0.056886	0.06911	0.0690041	0.0740644	0.0835395
a18	0.0316707	0.0238548	0.0284743	0.0457384	0.0621161	0.0770209	0.0998707	0.0887722	0.100257	0.0824894	0.071154	0.0775278	0.0696172	0.0671693	0.0742667
a25	0.0070156	0.0073938	0.00884669	0.0196175	0.0372928	0.0513744	0.0789655	0.0707776	0.069019	0.0501452	0.0526347	0.0907204	0.114758	0.150971	0.190468
a83	0.00905217	0.0074905	0.00782463	0.0151163	0.0308995	0.04506	0.0701482	0.064244	0.0690503	0.062372	0.0736995	0.101807	0.120111	0.135611	0.187514
a61	0.00530314	0.00450798	0.00575289	0.0114201	0.0237078	0.0343294	0.0489599	0.0420511	0.0387154	0.0300488	0.0364265	0.0721047	0.122657	0.200814	0.323202
a12	0.00466009	0.00427163	0.00645095	0.0141944	0.0240321	0.0316578	0.0459763	0.0457022	0.0558415	0.0528494	0.0658739	0.110486	0.153364	0.174462	0.210178
a31	0.00432384	0.00399772	0.00543458	0.0122566	0.0199815	0.0259975	0.0382916	0.0369686	0.04403	0.0401214	0.0537543	0.101081	0.162412	0.20722	0.244128
