 	l'	antilope	bondit	à	l'	approche	de	l'	homme	</S>
a23	0.260607	0.159318	0.166646	0.133604	0.091618	0.0573207	0.04138	0.0306783	0.030774	0.0280534
a85	0.33271	0.180283	0.102519	0.0820369	0.0566885	0.033529	0.030552	0.0405964	0.0629991	0.0780859
a66	0.411555	0.283945	0.0565823	0.0369508	0.0306528	0.025679	0.0221747	0.0283633	0.0424484	0.0616492
a87	0.39488	0.277532	0.0541484	0.0371671	0.029311	0.0199876	0.0208971	0.0315432	0.0528666	0.0816673
a23	0.218156	0.185736	0.059891	0.0382617	0.0415172	0.0464742	0.0579326	0.0843662	0.118015	0.14965
a38	0.27438	0.210565	0.0440512	0.0254232	0.0244466	0.0320434	0.0473157	0.0747896	0.118505	0.14848
a4	0.442279	0.3192	0.0501482	0.027506	0.021163	0.0159404	0.0182851	0.0247184	0.0359739	0.0447861
a70	0.424177	0.283886	0.0804696	0.0512255	0.0415006	0.0230823	0.0200741	0.02191	0.0250279	0.0286473
a13	0.252098	0.279511	0.166461	0.0995429	0.0700659	0.0334427	0.0257181	0.0217574	0.0232072	0.0281963
a70	0.169845	0.268052	0.1884	0.104863	0.073746	0.0446764	0.0382773	0.0336585	0.0352907	0.04319
a13	0.145633	0.240064	0.197769	0.131218	0.0948369	0.0485863	0.0368276	0.0305627	0.032929	0.041574
a20	0.0959128	0.193883	0.210168	0.143264	0.104162	0.0586229	0.0464957	0.0416861	0.046126	0.0596792
a69	0.0842942	0.173563	0.164569	0.135856	0.113188	0.0750223	0.05746	0.0531171	0.0625338	0.0803964
a58	0.0644262	0.131953	0.148536	0.134155	0.124069	0.096804	0.0767815	0.0657626	0.0727352	0.0847773
a57	0.0575435	0.108498	0.153212	0.1351	0.122134	0.0799492	0.0663536	0.0675694	0.0879883	0.121652
a53	0.0432871	0.0729671	0.137291	0.138828	0.136151	0.0841402	0.0696343	0.0714964	0.0988507	0.147354
a76	0.0267522	0.0391266	0.0893623	0.0913158	0.0994086	0.0913353	0.0932782	0.103042	0.146576	0.219803
a69	0.0819548	0.117991	0.183217	0.152632	0.12911	0.0958936	0.0787295	0.0612345	0.0518352	0.0474027
