 	je	descends	de	la	colline	</S>
a66	0.544902	0.278711	0.0735936	0.0469263	0.0352251	0.0206427
a87	0.747587	0.178881	0.0341822	0.0186894	0.0108178	0.00984209
a23	0.706258	0.173148	0.0551255	0.031669	0.0171752	0.0166244
a99	0.367017	0.12367	0.131055	0.142348	0.107869	0.128041
a54	0.233052	0.131467	0.136559	0.133249	0.144583	0.22109
a36	0.254978	0.206256	0.171478	0.132457	0.116811	0.11802
a18	0.252407	0.242582	0.197489	0.141484	0.104391	0.0616478
a0	0.115441	0.217355	0.29664	0.196464	0.113444	0.0606564
a24	0.0921397	0.149541	0.270154	0.223069	0.152793	0.112304
a66	0.0609613	0.132215	0.288702	0.220389	0.15521	0.142523
a83	0.0462883	0.0701658	0.22825	0.237561	0.189707	0.228028
a93	0.0478887	0.0564811	0.171562	0.227061	0.220795	0.276212
a70	0.0260922	0.030744	0.106359	0.217054	0.309395	0.310356
a13	0.0149633	0.0189305	0.0704633	0.166513	0.319206	0.409924
a38	0.00724541	0.00812013	0.037419	0.110256	0.304129	0.53283
a62	0.00778662	0.00732426	0.0264857	0.0840579	0.272861	0.601484
a5	0.00372299	0.00380666	0.016479	0.0646037	0.283272	0.628116
a23	0.00229304	0.00214479	0.00865853	0.0391559	0.231242	0.716506
a27	0.000875868	0.00104491	0.00564888	0.0329349	0.213901	0.745594
a57	0.0155991	0.0209111	0.034923	0.0732965	0.222326	0.632945
a87	0.14212	0.0994258	0.0788893	0.100273	0.177001	0.402291
a23	0.478062	0.208435	0.106354	0.0693709	0.0646048	0.0731725
a87	0.414823	0.199872	0.0746396	0.0563304	0.0913449	0.16299
</S>	0.0992359	0.0746802	0.0437308	0.0564917	0.202714	0.523148
