 	ramasse	les	ordures	qui	sont	à	l'	entrée	de	la	maison	</S>
a66	0.198096	0.140597	0.130576	0.067198	0.0857583	0.0939675	0.101133	0.0753636	0.0530906	0.0263633	0.0157619	0.0120951
a10	0.274442	0.134473	0.102274	0.0867382	0.0943752	0.0902815	0.0815451	0.0499268	0.0334798	0.0199575	0.0173828	0.0151248
a87	0.351449	0.196427	0.21498	0.0768719	0.0543562	0.0360266	0.0233571	0.0105497	0.00859797	0.00700629	0.00924172	0.011137
a23	0.262677	0.170998	0.254135	0.0978675	0.0647903	0.0432173	0.0297553	0.0170271	0.0151269	0.0123323	0.0147662	0.0173072
a30	0.230521	0.132798	0.173881	0.0989851	0.0776913	0.0618297	0.0511797	0.0356994	0.0367422	0.0316707	0.0325169	0.036485
a4	0.202339	0.150575	0.212506	0.0851724	0.0717863	0.0524744	0.0456821	0.0382805	0.0402228	0.036291	0.0325354	0.0321356
a70	0.232424	0.223331	0.171595	0.0898447	0.0736202	0.0544952	0.0443486	0.0253688	0.0256459	0.0219238	0.0181532	0.0192498
a50	0.127709	0.170337	0.199225	0.147115	0.107505	0.0691843	0.0517633	0.031092	0.029521	0.0259222	0.0209846	0.0196407
a96	0.0755207	0.134653	0.200867	0.15042	0.111689	0.0755693	0.0590274	0.0437379	0.0401981	0.0367674	0.0353897	0.0361606
a18	0.0733483	0.133032	0.204639	0.142499	0.108619	0.0772288	0.0618744	0.0447126	0.0413762	0.0365868	0.0364252	0.0396577
a54	0.0752234	0.134885	0.173702	0.14061	0.114072	0.0814419	0.0640062	0.0445183	0.0423418	0.0389424	0.0414915	0.0487654
a5	0.0597736	0.10358	0.147074	0.160738	0.141939	0.103954	0.0758808	0.045688	0.0396193	0.0355963	0.0380556	0.0481021
a23	0.0459563	0.0665569	0.0942	0.157044	0.151445	0.122306	0.0908336	0.0542314	0.0465255	0.0438929	0.0526661	0.0743429
a27	0.0580336	0.0635644	0.0701785	0.13929	0.152758	0.130869	0.100839	0.0590982	0.0466805	0.0441453	0.0533266	0.081217
a94	0.0221287	0.0216618	0.0331607	0.0732085	0.10566	0.136163	0.122837	0.0812849	0.0751115	0.0709675	0.0998952	0.157921
a96	0.0137294	0.0121561	0.0175261	0.0460577	0.082067	0.132088	0.138476	0.0990806	0.0906475	0.0834013	0.113072	0.171698
a50	0.0120654	0.0111635	0.0144307	0.0384793	0.0705474	0.122493	0.14608	0.113354	0.0983315	0.0877061	0.116168	0.169181
a62	0.00452205	0.00410777	0.00506022	0.0175347	0.0358579	0.0768654	0.115032	0.138767	0.131248	0.121249	0.154238	0.195518
a98	0.0026947	0.00220402	0.00264366	0.0119699	0.025777	0.0609189	0.102923	0.138817	0.148155	0.134291	0.162491	0.207114
a83	0.00295742	0.00229214	0.00271845	0.0112499	0.0229856	0.0531776	0.0892406	0.134618	0.158841	0.143988	0.16451	0.213421
a53	0.00177563	0.00129879	0.001493	0.0059283	0.0123204	0.0283289	0.0529466	0.0996512	0.15109	0.170531	0.212234	0.262401
a4	0.00138975	0.000867972	0.000957091	0.00383272	0.0083079	0.0197256	0.0378126	0.079406	0.138681	0.182841	0.246068	0.280111
a13	0.000885483	0.000589339	0.00058888	0.00207121	0.00474431	0.011782	0.0248104	0.0627057	0.124237	0.197992	0.273765	0.295827
a4	0.000343262	0.000185707	0.000167168	0.000696389	0.00204887	0.00574346	0.0130727	0.0384738	0.0871585	0.157007	0.281195	0.413908
a44	0.00035171	0.000182601	0.000162745	0.000700004	0.00208651	0.00606026	0.0138627	0.0391458	0.097113	0.183926	0.290389	0.366019
a13	0.000336597	0.000143741	0.000106541	0.000496906	0.00159769	0.00505776	0.0111636	0.0305813	0.0826312	0.172025	0.289194	0.406666
a50	0.000351302	0.000145834	0.000109991	0.000441393	0.00130385	0.00421169	0.00839864	0.0254	0.0669498	0.151108	0.288868	0.452711
a83	0.00071906	0.000334749	0.000303678	0.00082703	0.00211886	0.00512882	0.0088007	0.0194931	0.0510163	0.122592	0.284302	0.504363
a18	0.000329355	0.000165187	0.000155233	0.000547994	0.00150693	0.00473615	0.00888919	0.0229885	0.0601411	0.138088	0.284657	0.477795
a9	0.00102133	0.000488162	0.000371845	0.00133827	0.00251091	0.00607294	0.00996982	0.0252126	0.0585051	0.130085	0.27825	0.486174
a99	0.0175406	0.00689689	0.00345111	0.00974146	0.0114942	0.0190222	0.0251417	0.0517621	0.0904537	0.155672	0.242609	0.366215
a87	0.0287959	0.0141953	0.00867662	0.0236781	0.0223379	0.0304995	0.0326509	0.0450482	0.0757122	0.123124	0.224983	0.370299
a23	0.0684694	0.0399084	0.0265693	0.0340977	0.0337207	0.0460977	0.0531432	0.0609738	0.0950977	0.120701	0.18251	0.238712
a87	0.0690922	0.0320652	0.0216345	0.0394728	0.0371515	0.0464107	0.0566104	0.0730558	0.109388	0.131979	0.175397	0.207743
</S>	0.0271548	0.0199222	0.0188009	0.0391995	0.0345978	0.0456352	0.0531422	0.0631392	0.0921582	0.12181	0.198855	0.285585
