 	il	y	a	un	décès	à	obongi	</S>
a87	0.173572	0.179254	0.218532	0.214535	0.120292	0.0522865	0.0263217	0.015206
a40	0.0892679	0.058417	0.0849716	0.137496	0.170238	0.168512	0.190338	0.10076
a47	0.193574	0.158838	0.119093	0.11317	0.100941	0.109122	0.0962384	0.109022
a6	0.357986	0.241443	0.131299	0.100488	0.0643305	0.0401864	0.0224822	0.0417849
a27	0.330992	0.223193	0.135468	0.116095	0.0828506	0.0489382	0.0281499	0.0343135
a57	0.397005	0.256564	0.12087	0.0779936	0.0515579	0.0336906	0.0258955	0.0364221
a75	0.170963	0.111423	0.0999189	0.0894416	0.124117	0.123256	0.109287	0.171593
a85	0.194797	0.190465	0.187187	0.152888	0.106438	0.0537576	0.0482699	0.0661972
a37	0.219622	0.258946	0.181717	0.132733	0.0808011	0.0430098	0.0344311	0.0487397
a85	0.228839	0.253501	0.202168	0.1343	0.0745834	0.0350172	0.031527	0.0400641
a5	0.184515	0.231049	0.204588	0.151396	0.0885366	0.044709	0.0396727	0.0555343
a66	0.163039	0.189947	0.183953	0.150718	0.109548	0.0666986	0.0615441	0.0745519
a62	0.126641	0.165526	0.242569	0.199489	0.109773	0.0437791	0.0400716	0.0721514
a96	0.110545	0.144458	0.213671	0.205168	0.138681	0.0676143	0.0603379	0.0595243
a56	0.0675864	0.084617	0.163978	0.217671	0.20593	0.102124	0.0803999	0.0776941
a93	0.0523415	0.0612188	0.130304	0.204445	0.23833	0.131216	0.0915586	0.0905854
a13	0.0360961	0.044229	0.108002	0.184779	0.26404	0.163359	0.107393	0.0921015
a93	0.0171323	0.0192729	0.0549287	0.111523	0.254251	0.214225	0.152876	0.175792
a70	0.0239739	0.0298556	0.0663664	0.110118	0.219605	0.210293	0.181653	0.158135
a83	0.0115139	0.0141531	0.0350435	0.0615319	0.160768	0.207099	0.235924	0.273966
a9	0.00197275	0.00206817	0.00659865	0.015825	0.0814243	0.156949	0.27893	0.456232
a87	0.00110353	0.000809488	0.00173514	0.00409876	0.0299415	0.101906	0.337758	0.522648
a23	0.00587036	0.00541431	0.0102155	0.0208592	0.0688438	0.130793	0.414819	0.343185
a87	0.00587526	0.00364327	0.00686122	0.017473	0.0656863	0.124505	0.4285	0.347456
a97	0.00811872	0.00648387	0.0144824	0.0344879	0.0796097	0.124941	0.373251	0.358626
a87	0.032921	0.02052	0.0402975	0.0724106	0.112795	0.138487	0.290646	0.291924
a23	0.055825	0.0326632	0.0489159	0.0761162	0.108725	0.13862	0.270995	0.268139
a97	0.0190272	0.0144014	0.0244235	0.0521134	0.083813	0.117116	0.207703	0.481402
</S>	0.0342522	0.0225021	0.0359135	0.0596155	0.0748382	0.100225	0.226176	0.446478
