 	voilà	un	bon	couteau	</S>
a85	0.564348	0.166421	0.0924648	0.0964847	0.0802816
a87	0.556191	0.166358	0.106842	0.0957879	0.0748209
a23	0.233875	0.220504	0.219421	0.176336	0.149864
a79	0.386008	0.207079	0.150867	0.119313	0.136732
a20	0.543706	0.197638	0.0818022	0.0748507	0.102003
a41	0.308019	0.359896	0.189196	0.0792021	0.0636864
a12	0.233872	0.320014	0.255797	0.114944	0.0753741
a31	0.158991	0.294324	0.307157	0.142948	0.09658
a88	0.205268	0.204535	0.235176	0.185241	0.169781
a71	0.258066	0.191109	0.18186	0.171893	0.197073
a9	0.193113	0.175238	0.183818	0.196124	0.251706
a54	0.129531	0.123915	0.175568	0.236535	0.334451
a20	0.076282	0.0545223	0.085889	0.238075	0.545232
a73	0.0734276	0.0643438	0.103837	0.270329	0.488062
a94	0.0447081	0.0400445	0.0719299	0.251111	0.592206
a31	0.0335445	0.0210437	0.0355374	0.194244	0.71563
a88	0.0309377	0.0211841	0.0345063	0.171488	0.741884
a71	0.0349078	0.0275301	0.0460899	0.178792	0.71268
a38	0.0377842	0.0274128	0.0436777	0.172681	0.718445
a21	0.0299662	0.0168454	0.0285268	0.152276	0.772385
a12	0.0376338	0.0266607	0.0440414	0.212821	0.678843
a18	0.0174888	0.022878	0.0519563	0.220731	0.686946
a25	0.0104911	0.0127853	0.0386319	0.194582	0.74351
a87	0.0336248	0.0265446	0.05068	0.209901	0.67925
</S>	0.0583681	0.0574019	0.0911875	0.260277	0.532765
