 	j'	ai	rencontré	un	troupeau	de	sangliers	</S>
a15	0.340882	0.187123	0.141421	0.103174	0.11372	0.0596704	0.0285906	0.0254195
a66	0.345042	0.23396	0.200974	0.114885	0.0461644	0.0255584	0.0166718	0.0167441
a87	0.513179	0.294971	0.143371	0.0295665	0.00635063	0.00382005	0.00370718	0.00503371
a23	0.470085	0.298651	0.168433	0.0301202	0.0100489	0.00777928	0.00625578	0.0086263
a99	0.422266	0.28408	0.22944	0.0331351	0.0065543	0.00684866	0.00792997	0.00974675
a24	0.380413	0.222412	0.216029	0.048614	0.0146311	0.0246949	0.0422275	0.050979
a31	0.420428	0.214042	0.133058	0.0534245	0.0372686	0.0412902	0.0491478	0.0513406
a88	0.215317	0.223619	0.285175	0.135437	0.0455914	0.0353124	0.030879	0.0286698
a71	0.137881	0.189815	0.230712	0.174064	0.0905383	0.0634841	0.0546798	0.058825
a38	0.100642	0.144146	0.169909	0.177032	0.125593	0.099762	0.0854659	0.0974493
a21	0.0994844	0.121442	0.131333	0.162805	0.124201	0.111204	0.114883	0.134649
a12	0.127999	0.150077	0.170179	0.28396	0.157262	0.0471824	0.0314336	0.0319063
a62	0.0959054	0.111242	0.108731	0.270141	0.214577	0.0750544	0.0578711	0.0664778
a75	0.0892049	0.0879498	0.0708098	0.17612	0.232298	0.116777	0.0982973	0.128544
a92	0.0764288	0.0695853	0.0455466	0.126312	0.258639	0.147319	0.12163	0.154539
a37	0.0674071	0.058613	0.0366834	0.0952701	0.239267	0.162513	0.143649	0.196598
a90	0.0476078	0.0348805	0.0185159	0.0418801	0.180751	0.189224	0.195141	0.292
a98	0.0254812	0.0228085	0.0139866	0.0242581	0.100095	0.171398	0.242782	0.399191
a92	0.0149924	0.0117271	0.0063394	0.00981528	0.0485831	0.127534	0.242608	0.538401
a85	0.00539039	0.00429406	0.00230783	0.00371139	0.027834	0.131596	0.293784	0.531082
a92	0.00264405	0.00180001	0.000723205	0.00106095	0.00953306	0.0844595	0.314816	0.584963
a47	0.00199597	0.00138887	0.000540426	0.000789208	0.00709028	0.0742744	0.299379	0.614542
a44	0.00147388	0.000858616	0.000265073	0.0004077	0.00471999	0.0505278	0.261138	0.680609
a93	0.00172871	0.00118442	0.000357755	0.000468211	0.00375151	0.0326789	0.212032	0.747798
a96	0.00301025	0.00152547	0.000485067	0.000830026	0.00736564	0.0588578	0.253711	0.674215
a36	0.0024767	0.00115691	0.000345927	0.000614233	0.00617346	0.0459245	0.236186	0.707123
a26	0.00766023	0.00439255	0.00194801	0.00261057	0.0166491	0.0668077	0.237496	0.662435
a57	0.123563	0.0551814	0.0179049	0.018515	0.0582071	0.082705	0.195184	0.44874
a87	0.341181	0.191718	0.0817395	0.0454953	0.0627927	0.0568787	0.0807099	0.139485
a23	0.370178	0.251287	0.116513	0.0701023	0.057372	0.0410777	0.0401018	0.0533673
a87	0.244719	0.212684	0.0836744	0.0352461	0.0287727	0.0594416	0.116979	0.218484
</S>	0.088057	0.0771899	0.0254265	0.0159497	0.0306414	0.0871329	0.201405	0.474197
