 	mes	nasses	sont	intactes	</S>
a66	0.336895	0.151826	0.128471	0.250032	0.132777
a87	0.325513	0.205766	0.217522	0.2255	0.0256984
a23	0.566442	0.215651	0.0866027	0.0831608	0.048143
a50	0.510004	0.247218	0.109727	0.0766609	0.0563903
a88	0.487192	0.241734	0.110957	0.0994037	0.0607133
a53	0.473906	0.289275	0.113268	0.0832318	0.0403189
a25	0.426506	0.338125	0.126795	0.0662941	0.0422799
a92	0.272151	0.297433	0.214046	0.130664	0.0857063
a21	0.239094	0.268361	0.205737	0.149219	0.137589
a85	0.207088	0.266342	0.218658	0.17848	0.129432
a5	0.10302	0.200692	0.281732	0.21283	0.201726
a24	0.11356	0.165412	0.210516	0.231228	0.279283
a75	0.0549085	0.0960016	0.180801	0.260153	0.408135
a56	0.0303991	0.0517473	0.122622	0.226067	0.569165
a93	0.0452365	0.0663668	0.116424	0.258429	0.513544
a56	0.0245908	0.034096	0.071146	0.209953	0.660214
a21	0.0144345	0.0204169	0.0468901	0.185723	0.732536
a85	0.00893561	0.0112359	0.0253228	0.096771	0.857735
a21	0.0029428	0.00426159	0.0142716	0.0464698	0.932054
a5	0.00308047	0.00440296	0.0138145	0.0543208	0.924381
a18	0.00479966	0.0074408	0.0251847	0.0725976	0.889977
a25	0.0475955	0.0559925	0.095983	0.142373	0.658056
a10	0.143796	0.118902	0.132386	0.191418	0.413499
a87	0.307606	0.164231	0.119063	0.152898	0.256201
a23	0.291938	0.193951	0.140812	0.152611	0.220688
a87	0.119367	0.0987023	0.118263	0.12202	0.541648
</S>	0.0247491	0.0208581	0.0379384	0.0925338	0.823921
