 	attends-le	ici	il	n'	en	a	pas	pour	longtemps	</S>
a23	0.319555	0.134596	0.0792927	0.0971712	0.103474	0.0909827	0.0604002	0.0416042	0.038328	0.0345967
a99	0.290785	0.182224	0.0767558	0.0451169	0.0404498	0.0443742	0.0489284	0.0658725	0.0929535	0.112541
a75	0.260638	0.185174	0.0964296	0.0554606	0.0447154	0.0413574	0.0431023	0.0583009	0.0950444	0.119777
a41	0.542501	0.272687	0.0974759	0.0320067	0.01801	0.0114202	0.00715306	0.00526729	0.00612195	0.00735681
a35	0.499884	0.208009	0.109821	0.0614079	0.0458712	0.0312737	0.0164043	0.00993509	0.0084259	0.00896755
a41	0.376889	0.220787	0.151521	0.0901525	0.0668586	0.0431551	0.019266	0.0112466	0.0096392	0.0104847
a61	0.21926	0.192142	0.175528	0.140787	0.11477	0.0788836	0.0347704	0.0183373	0.0128816	0.0126398
a35	0.155321	0.185855	0.177181	0.150486	0.130127	0.0946565	0.0422069	0.0239627	0.0192392	0.0209638
a41	0.0998383	0.153364	0.171368	0.162746	0.151014	0.119255	0.0600809	0.0337063	0.0238442	0.0247832
a76	0.0961342	0.159114	0.183318	0.180839	0.153209	0.105253	0.0512477	0.0298202	0.0207109	0.0203539
a73	0.0570385	0.124434	0.172081	0.196636	0.176733	0.125773	0.0618898	0.0363713	0.0240509	0.0249929
a76	0.0348039	0.0860813	0.12785	0.178235	0.193012	0.159046	0.0876968	0.0550391	0.0370871	0.041149
a73	0.0546738	0.0922021	0.134403	0.194858	0.1769	0.130849	0.0790241	0.0563614	0.0417963	0.038933
a84	0.0269415	0.0658721	0.107534	0.18852	0.192787	0.1525	0.0943625	0.0681121	0.04966	0.0537105
a57	0.022463	0.0408903	0.0510902	0.0970145	0.152944	0.173639	0.143196	0.111608	0.0926976	0.114458
a87	0.0225119	0.0333683	0.0419366	0.0803397	0.13752	0.161297	0.146716	0.11731	0.11223	0.146771
a40	0.0424485	0.0471351	0.0525469	0.0646818	0.0950393	0.127971	0.160842	0.136488	0.139302	0.133546
a73	0.186373	0.135369	0.0894939	0.0729303	0.0644071	0.0504585	0.0450898	0.0633215	0.118242	0.174315
a44	0.10827	0.11225	0.118781	0.137193	0.126295	0.100686	0.0772612	0.0651432	0.0741019	0.0800181
a57	0.0702003	0.0892895	0.0870608	0.099847	0.117523	0.111336	0.0975254	0.0955119	0.107262	0.124444
a90	0.0210915	0.0385054	0.0433548	0.0576369	0.0886088	0.105686	0.116211	0.147226	0.170836	0.210844
a25	0.0345548	0.0432866	0.0419927	0.0540541	0.0859395	0.110658	0.119723	0.13165	0.161115	0.217027
a90	0.0171031	0.0250547	0.0298273	0.0506001	0.0828462	0.109829	0.136246	0.158454	0.179462	0.210578
a38	0.0112076	0.0206685	0.0227872	0.0319619	0.0516494	0.0771741	0.122278	0.175867	0.210332	0.276075
a24	0.00926061	0.015651	0.0146366	0.0203172	0.0318416	0.0469188	0.0895001	0.172417	0.255835	0.343623
a41	0.0165001	0.0220139	0.0156738	0.0171181	0.02161	0.0306428	0.0643854	0.148612	0.274979	0.388465
a44	0.00945402	0.0131469	0.0125577	0.0181603	0.0235412	0.0335109	0.0779429	0.167033	0.283109	0.361545
a84	0.00673871	0.0127581	0.0133183	0.0199574	0.0283025	0.0373926	0.0718787	0.155972	0.270362	0.38332
a40	0.00866963	0.01145	0.00951665	0.0132512	0.0222143	0.0397565	0.0898427	0.180201	0.265657	0.359441
a54	0.0343126	0.0372338	0.0193071	0.0240628	0.029571	0.0384375	0.0736618	0.144178	0.242731	0.356505
a73	0.0263079	0.0382136	0.022089	0.0250807	0.0277016	0.0329539	0.0602265	0.134658	0.246714	0.386055
a84	0.0271547	0.0280498	0.0163626	0.0178535	0.0200317	0.0243523	0.0480351	0.123756	0.278599	0.415806
a57	0.0214223	0.0205247	0.0146375	0.0143761	0.0179947	0.0271105	0.0597369	0.150153	0.287217	0.386827
a87	0.104184	0.0657752	0.0270519	0.0169793	0.0169339	0.0232259	0.0579131	0.137816	0.232233	0.317887
</S>	0.0530425	0.0451795	0.019107	0.0106911	0.0129823	0.0221641	0.0646858	0.141264	0.258706	0.372178
