 	le	vent	fait	les	ondulations	sur	l'	eau	du	lac	</S>
a66	0.200257	0.185318	0.174584	0.122099	0.10757	0.0772445	0.0481098	0.0335028	0.0245666	0.0154197	0.0113297
a87	0.350823	0.142036	0.0946187	0.0454801	0.0428306	0.0761049	0.0671988	0.0503888	0.0475227	0.0403149	0.0426817
a10	0.28741	0.1629	0.127174	0.0829689	0.0510497	0.0429197	0.0453742	0.0461235	0.0470632	0.043679	0.0633383
a87	0.275861	0.198007	0.163112	0.11333	0.0475139	0.0318005	0.0276019	0.0290867	0.0323172	0.0350621	0.0463083
a97	0.220328	0.1945	0.151582	0.101114	0.0477097	0.0411636	0.0388296	0.0410804	0.046081	0.0525854	0.0650272
a79	0.182176	0.173195	0.13532	0.0997513	0.0564747	0.0532006	0.0493649	0.053229	0.0576927	0.0647238	0.0748722
a69	0.279336	0.21322	0.171947	0.123875	0.0453084	0.0264743	0.0194936	0.0221052	0.0252232	0.0304574	0.0425594
a4	0.242947	0.249421	0.193187	0.155136	0.0575893	0.0258506	0.0168002	0.01575	0.0150371	0.0143111	0.0139715
a58	0.189795	0.203822	0.203215	0.199244	0.0866447	0.0357993	0.021043	0.0180402	0.0164642	0.0136263	0.0123066
a56	0.140716	0.177099	0.192609	0.225168	0.108743	0.0478331	0.0302119	0.0247036	0.0216808	0.0167986	0.0144374
a44	0.109399	0.130983	0.169372	0.234628	0.136652	0.0704352	0.0431582	0.0338966	0.0294072	0.0218462	0.0202223
a75	0.082049	0.103222	0.151557	0.22837	0.160997	0.0942833	0.0513589	0.0383139	0.034493	0.0276476	0.0277086
a56	0.0519486	0.0759529	0.122974	0.177727	0.161914	0.123099	0.0754696	0.060788	0.0572426	0.0453908	0.0474942
a34	0.0843266	0.0998795	0.14868	0.219197	0.181314	0.102889	0.0490058	0.0331165	0.0293259	0.0248731	0.0273932
a90	0.0755382	0.0814311	0.114811	0.170608	0.210883	0.133353	0.0702985	0.0425867	0.0360457	0.0303761	0.0340679
a69	0.0560001	0.0623521	0.0885187	0.131199	0.201713	0.14417	0.0911039	0.0627401	0.0585705	0.0497367	0.0538964
a11	0.0284581	0.0345236	0.056825	0.0907432	0.168479	0.138188	0.102024	0.0876222	0.0959382	0.0921074	0.10509
a62	0.0241282	0.0265335	0.0365749	0.0609942	0.177255	0.134665	0.11198	0.0890339	0.0925867	0.103884	0.142365
a88	0.0237857	0.0255322	0.0348852	0.0612508	0.177531	0.152239	0.139877	0.101722	0.0870677	0.0828127	0.113296
a71	0.0153263	0.0165188	0.0226574	0.0447395	0.146963	0.148221	0.162785	0.132812	0.110883	0.0864786	0.112615
a90	0.0113676	0.01264	0.0171794	0.0359012	0.131024	0.147834	0.134975	0.11459	0.125666	0.112458	0.156364
a92	0.0122846	0.0122132	0.0144193	0.0223551	0.0650772	0.0798551	0.109519	0.142762	0.153355	0.163163	0.224997
a6	0.00394509	0.00408815	0.00429306	0.00618425	0.0211416	0.0445576	0.0803337	0.121409	0.149751	0.209427	0.354869
a36	0.00349081	0.00376226	0.0039375	0.00533046	0.0211508	0.0476003	0.0843964	0.131167	0.152259	0.193245	0.353661
a47	0.00311159	0.0035168	0.00310363	0.00494546	0.0125348	0.0220756	0.0466333	0.0871176	0.143645	0.209961	0.463355
a21	0.00239306	0.00273494	0.00251411	0.00409265	0.00983115	0.017798	0.0399617	0.0857229	0.157358	0.241172	0.436422
a5	0.00182005	0.00199954	0.00174428	0.00262167	0.0099923	0.0208691	0.0554981	0.112646	0.188198	0.261109	0.343501
a43	0.00148473	0.00171461	0.00138094	0.00171785	0.00617128	0.0125076	0.0399523	0.0970172	0.186587	0.270231	0.381236
a93	0.000555861	0.000675557	0.000609851	0.00103322	0.0040761	0.0075616	0.0202193	0.0506207	0.117236	0.235997	0.561415
a70	0.000891134	0.00109037	0.000975973	0.00130555	0.00377086	0.00686108	0.0183033	0.0480481	0.111153	0.236783	0.570817
a11	0.000607251	0.000725814	0.000738842	0.00108335	0.00280425	0.00617637	0.0176142	0.0484156	0.11473	0.24319	0.563915
a88	0.000397516	0.000430922	0.000515762	0.000841432	0.00207767	0.00512333	0.0139298	0.037401	0.0961847	0.241486	0.601612
a26	0.000566109	0.00054532	0.00075817	0.00118041	0.00258653	0.00578707	0.0147432	0.0382311	0.094117	0.258461	0.583024
