 	tsimba	est	en	train	de	fléchir	une	branche	d'	arbre	pour	fabriquer	un	piège	</S>
a66	0.110429	0.0832881	0.0742568	0.0744785	0.0997434	0.147054	0.148029	0.108743	0.0556606	0.0301212	0.0206443	0.0130579	0.0109225	0.0112068	0.0123649
a87	0.294184	0.18307	0.130595	0.086207	0.0509938	0.0347427	0.0220208	0.0153641	0.0111006	0.0112408	0.0138341	0.0224258	0.0326008	0.0417396	0.0498817
a23	0.314741	0.215213	0.142829	0.0874735	0.066208	0.0709524	0.0250532	0.00717199	0.00479431	0.00514382	0.00622568	0.0068334	0.0113476	0.0151184	0.020895
a10	0.25627	0.18946	0.0998167	0.0522794	0.0461442	0.0948875	0.084627	0.0204231	0.0107775	0.0109391	0.0131	0.0185219	0.0247059	0.0329025	0.0451444
a24	0.19235	0.134435	0.0852401	0.0586663	0.0653473	0.122228	0.0779734	0.026046	0.0180833	0.0219532	0.0269139	0.0355053	0.0405455	0.0451565	0.0495559
a88	0.156558	0.10588	0.0822786	0.0759908	0.097945	0.192443	0.162961	0.0229256	0.00888929	0.00901345	0.0111191	0.0159859	0.0187873	0.0203153	0.0189083
a96	0.186184	0.125165	0.0930258	0.0889015	0.0981019	0.143381	0.140126	0.0261518	0.0100351	0.0100239	0.0124983	0.0160305	0.0179107	0.0174609	0.0150037
a79	0.164524	0.141463	0.10939	0.100964	0.0868712	0.11293	0.126516	0.0257324	0.0109934	0.0113807	0.015169	0.0201001	0.0236467	0.0257017	0.0246184
a44	0.11779	0.0973168	0.0760845	0.0784449	0.0761529	0.121717	0.161858	0.0484225	0.0234708	0.0212821	0.0285419	0.0339534	0.0366586	0.0381899	0.0401165
a90	0.123263	0.104092	0.084871	0.0861813	0.080003	0.111207	0.167181	0.0666984	0.031356	0.0206783	0.0203986	0.0201811	0.0226503	0.0278418	0.0333967
a92	0.0981061	0.0910754	0.0895865	0.0995455	0.0878461	0.0990958	0.145849	0.0681258	0.0383921	0.0260409	0.0260601	0.0251049	0.0273241	0.0342966	0.0435516
a98	0.0561539	0.0489154	0.0628938	0.0724516	0.0834336	0.121978	0.172958	0.0847337	0.0600854	0.0431519	0.0371795	0.0325307	0.0310748	0.0392974	0.0531623
a47	0.0392787	0.0349266	0.0504637	0.0616804	0.0737751	0.0995755	0.17442	0.105386	0.080606	0.0576144	0.0483775	0.039678	0.0343025	0.0423624	0.0575535
a36	0.0278779	0.022017	0.0372189	0.0520688	0.0718466	0.0966665	0.183758	0.119615	0.0856156	0.056912	0.0455	0.0390232	0.0400625	0.0501592	0.0716591
a0	0.0271925	0.0205394	0.0295254	0.0406302	0.0578945	0.093602	0.152192	0.14494	0.0851168	0.049078	0.0413192	0.0372765	0.0478717	0.0712432	0.101579
a94	0.0205058	0.0144359	0.0202036	0.0281572	0.0427385	0.078748	0.176041	0.15908	0.0926289	0.0581901	0.0499321	0.0409143	0.0500702	0.0718629	0.0964909
a54	0.0164845	0.0121214	0.0170443	0.0227102	0.0302284	0.0521708	0.161409	0.183029	0.125262	0.0794543	0.0622499	0.0466008	0.0466217	0.0637589	0.0808545
a5	0.00629324	0.00482944	0.00868407	0.0127434	0.0221251	0.0410241	0.133834	0.130932	0.0826817	0.0742698	0.0737465	0.0853598	0.0898536	0.105926	0.127697
a36	0.0108981	0.00855682	0.0133782	0.0173071	0.025256	0.0453322	0.122579	0.149834	0.100508	0.0783406	0.0692154	0.0658873	0.0723917	0.0940763	0.126439
a75	0.00783647	0.00581223	0.00820753	0.0115114	0.0162506	0.0225245	0.0773815	0.143293	0.128928	0.0952575	0.0735076	0.0703086	0.0780756	0.113766	0.147339
a85	0.00212076	0.00170135	0.00263159	0.00365261	0.00607507	0.00891154	0.0259652	0.0644789	0.0857928	0.099441	0.0913055	0.107057	0.137044	0.163472	0.200351
a92	0.00221742	0.00164749	0.00218189	0.0030527	0.00480679	0.00640658	0.0198217	0.0436142	0.0708385	0.0973074	0.0972595	0.11025	0.13382	0.170785	0.23599
a56	0.00119506	0.00095462	0.00147601	0.00203483	0.00342412	0.0060694	0.0151459	0.035101	0.0489683	0.0718699	0.0884136	0.126767	0.174914	0.199139	0.224527
