 	ma	mère	est	partie	là-bas	</S>
a66	0.330063	0.219896	0.15859	0.135254	0.0916339	0.0645633
a87	0.312592	0.277532	0.186282	0.115689	0.0662923	0.0416123
a23	0.47305	0.292145	0.100808	0.05425	0.0435884	0.0361582
a57	0.437097	0.290603	0.106157	0.0579267	0.0552517	0.0529643
a30	0.38992	0.261182	0.11396	0.083167	0.0805458	0.0712255
a53	0.322232	0.293709	0.138715	0.102242	0.0864701	0.0566324
a15	0.290065	0.303003	0.176704	0.107343	0.0737222	0.0491622
a79	0.220265	0.215896	0.194067	0.157931	0.122958	0.0888837
a98	0.144034	0.163302	0.178517	0.17843	0.181078	0.15464
a85	0.118825	0.135307	0.169076	0.196191	0.202626	0.177976
a6	0.0810077	0.103294	0.162587	0.215218	0.231324	0.206569
a36	0.0520684	0.0707815	0.131763	0.228233	0.274487	0.242667
a61	0.0159958	0.0270378	0.076806	0.190019	0.303864	0.386277
a88	0.00864478	0.0125149	0.0388206	0.119801	0.259276	0.560943
a71	0.00989286	0.0138824	0.032248	0.094805	0.240107	0.609064
a62	0.0152557	0.0273567	0.0482184	0.112459	0.242352	0.554359
a88	0.021928	0.0377072	0.0623298	0.121095	0.245077	0.511863
a71	0.0125313	0.024131	0.04539	0.105809	0.261958	0.550181
a9	0.040596	0.0425561	0.0589171	0.110709	0.24361	0.503612
a87	0.182092	0.120527	0.09705	0.112097	0.176563	0.311672
a23	0.301911	0.203702	0.15025	0.115366	0.113917	0.114854
a87	0.193679	0.184767	0.170341	0.152912	0.148528	0.149773
a23	0.0800845	0.0992473	0.123872	0.167726	0.223645	0.305425
a97	0.107711	0.11464	0.139855	0.175243	0.200307	0.262244
</S>	0.0805298	0.105545	0.151526	0.188588	0.211367	0.262444
