 	cette	jeune	fille	se	cure	les	ongles	à	longueur	de	journée	</S>
a66	0.222117	0.211974	0.207069	0.142763	0.0406232	0.0292619	0.0364601	0.0326621	0.0303674	0.0234155	0.0130347	0.0102517
a87	0.50673	0.246771	0.0658068	0.0188004	0.00607463	0.00486148	0.010944	0.0223121	0.0206813	0.0306785	0.0309778	0.0353614
a23	0.532806	0.223215	0.076316	0.0253981	0.0124704	0.00694144	0.00838243	0.0145398	0.0173992	0.0287888	0.0265796	0.0271634
a53	0.381063	0.137957	0.0479379	0.0226047	0.0157565	0.0187567	0.0241922	0.0412128	0.0530426	0.0898422	0.0863555	0.081279
a7	0.309386	0.147629	0.122305	0.0863507	0.071884	0.0529301	0.0282436	0.0334184	0.0381939	0.0438719	0.0353722	0.0304151
a79	0.238543	0.170287	0.159197	0.115044	0.107558	0.0544712	0.0184474	0.0209685	0.0259127	0.0328679	0.0295702	0.0271336
a37	0.174687	0.171009	0.17055	0.122686	0.138425	0.0719794	0.0272694	0.0246982	0.0279129	0.0292788	0.0218759	0.0196279
a56	0.0977745	0.130537	0.171928	0.133756	0.140594	0.0763547	0.0419049	0.0404722	0.0455382	0.0463508	0.0376667	0.0371233
a44	0.0856185	0.112087	0.145791	0.130041	0.145941	0.105911	0.0599803	0.0456656	0.0405785	0.0418369	0.0413384	0.0452111
a96	0.0725169	0.0978027	0.12451	0.116165	0.135166	0.123492	0.0755428	0.0530072	0.043603	0.0453648	0.0502703	0.0625584
a93	0.0394248	0.0578943	0.0909676	0.105069	0.125064	0.14335	0.11506	0.0716014	0.0563217	0.0565159	0.0620062	0.0767251
a70	0.0257084	0.041974	0.0820915	0.106691	0.134776	0.15277	0.116181	0.0841406	0.0625201	0.0567087	0.0600141	0.0764246
a93	0.0142882	0.0199379	0.0481487	0.0836044	0.107259	0.166194	0.160901	0.102273	0.0727043	0.0652744	0.0700818	0.0893324
a34	0.0112076	0.0156739	0.0423323	0.0823751	0.115027	0.165237	0.149136	0.10732	0.0776212	0.0687535	0.0719003	0.0934149
a62	0.00928005	0.0109141	0.0262001	0.0632781	0.0918469	0.152964	0.162524	0.127335	0.0961412	0.0841889	0.0795301	0.0957978
a0	0.00943248	0.0101291	0.0207317	0.0505855	0.0717845	0.133666	0.171078	0.132988	0.106242	0.0983733	0.0914546	0.103536
a75	0.0118223	0.0122527	0.0194114	0.0336007	0.0491873	0.118973	0.167141	0.133256	0.103306	0.104835	0.110916	0.135299
a85	0.00297519	0.0034954	0.00955175	0.0220565	0.0380882	0.0597808	0.0940571	0.11631	0.123826	0.130347	0.168758	0.230754
a5	0.00691881	0.00931688	0.0232205	0.0479766	0.074321	0.0863076	0.10646	0.137882	0.131134	0.102871	0.113825	0.159766
a47	0.00333865	0.00360707	0.00759825	0.0176965	0.0304103	0.0642193	0.114653	0.125968	0.12896	0.11746	0.152159	0.233929
a96	0.00622652	0.00717592	0.0153417	0.0289555	0.0418622	0.0818343	0.125198	0.134243	0.138562	0.120397	0.128258	0.171947
a54	0.00283659	0.00300342	0.00629126	0.0130502	0.0209661	0.0526802	0.108857	0.122169	0.13678	0.143144	0.171757	0.218465
a47	0.000666011	0.000740117	0.00235357	0.00651023	0.0146757	0.0349425	0.0684583	0.11251	0.141674	0.128064	0.181732	0.307674
a6	0.00078666	0.000758393	0.00204822	0.00483957	0.0115012	0.0285908	0.0515344	0.0914388	0.123427	0.135633	0.204754	0.344687
a92	0.000785866	0.00077593	0.00196293	0.00441377	0.00808328	0.019632	0.0460444	0.0893908	0.129677	0.165222	0.24283	0.291182
a5	0.0007848	0.000809658	0.00213935	0.00505823	0.00990987	0.0240584	0.0502506	0.0897395	0.115758	0.139998	0.230475	0.331019
a36	0.000962046	0.000906166	0.00165228	0.0033914	0.00573488	0.013823	0.0401415	0.0631088	0.0929071	0.138067	0.28395	0.355356
a37	0.00221285	0.00203752	0.00345007	0.00495206	0.00745483	0.0134987	0.0321742	0.0467729	0.0593896	0.0970545	0.283607	0.447395
a61	0.002364	0.00220087	0.00437745	0.0060227	0.00939283	0.0146027	0.0270537	0.042852	0.0503035	0.090097	0.278505	0.472228
a93	0.00124767	0.00122108	0.00251053	0.00382109	0.00589555	0.00821892	0.0173921	0.02851	0.0354308	0.0783336	0.296784	0.520635
a70	0.000982153	0.000964356	0.00191996	0.00325655	0.00523084	0.00765158	0.0168497	0.0259477	0.0313257	0.0718563	0.294944	0.539071
a50	0.000484442	0.000481732	0.00104942	0.00174783	0.00287076	0.00506608	0.0129621	0.0204225	0.0248643	0.0574916	0.268124	0.604435
a83	0.000875372	0.000781207	0.00140259	0.00234364	0.00396109	0.00734	0.0164376	0.0244888	0.0311833	0.075474	0.291336	0.544376
a70	0.000267457	0.000263396	0.00057171	0.000979205	0.00171592	0.00419571	0.0118837	0.0190393	0.0219977	0.0521106	0.256096	0.630879
a34	0.000286074	0.000275578	0.000679659	0.00116051	0.00219382	0.00480653	0.0122733	0.0202562	0.0227939	0.0577195	0.268933	0.608622
a96	0.000319045	0.000326453	0.000733894	0.00133651	0.00232435	0.00465025	0.0134516	0.0203209	0.0228374	0.0564604	0.270929	0.60631
a11	0.000341588	0.000335269	0.00069143	0.00129918	0.00231667	0.00475807	0.0125046	0.0199047	0.0230117	0.0576852	0.267487	0.609664
a93	0.000513463	0.00048174	0.00100378	0.00167419	0.00293155	0.00553909	0.0123327	0.0192581	0.0224123	0.058342	0.262494	0.613017
a70	0.000245331	0.000243607	0.00057664	0.00108178	0.00198808	0.00431657	0.0118777	0.0183078	0.0222556	0.0539801	0.258424	0.626702
a13	0.000416078	0.000367746	0.000784811	0.00124511	0.00267427	0.00540137	0.0107664	0.0184471	0.0220893	0.0615268	0.261125	0.615156
a0	0.000981365	0.000806376	0.0014222	0.00210809	0.00470608	0.00822328	0.013985	0.0263744	0.0342783	0.094616	0.292104	0.520394
a24	0.00295372	0.00233585	0.00340707	0.00466669	0.00909748	0.0116135	0.0148087	0.0304077	0.0412118	0.103205	0.272196	0.504097
a71	0.00428572	0.00365196	0.00488672	0.00655488	0.0125195	0.0153809	0.0154341	0.0316925	0.036872	0.0891174	0.264715	0.514889
a9	0.0119414	0.0089949	0.0108426	0.0135023	0.0208858	0.0256002	0.0287792	0.0523339	0.0544647	0.101922	0.234103	0.43663
a87	0.138693	0.0622339	0.0416874	0.0392283	0.0397857	0.0375757	0.0418191	0.0637689	0.0713898	0.0957694	0.144344	0.223705
a23	0.2833	0.142989	0.0503914	0.0306465	0.0220471	0.0182835	0.0244784	0.0393293	0.0553337	0.0857965	0.10782	0.139584
a87	0.133005	0.0648417	0.0280854	0.02073	0.0178173	0.0212192	0.032245	0.0711804	0.107917	0.164373	0.156986	0.181599
</S>	0.0175875	0.0122392	0.00803951	0.00685965	0.0067587	0.0121462	0.0251815	0.0731314	0.104657	0.182339	0.245234	0.305826
