 	on	m'	a	informé	qu'	ils	ont	abattu	un	hippopotame	à	otsegne	</S>
a66	0.0996767	0.107611	0.116682	0.112307	0.0554051	0.0944243	0.104015	0.114087	0.109384	0.0522963	0.0168542	0.0100494	0.00720752
a87	0.203217	0.214151	0.182021	0.127549	0.0576461	0.0520496	0.0417691	0.0468672	0.0394412	0.0174506	0.00723973	0.00532483	0.00527433
a23	0.184668	0.213178	0.179088	0.116379	0.0500613	0.046687	0.050994	0.0772854	0.0535655	0.0181421	0.0051896	0.00233046	0.00243106
a87	0.210084	0.219419	0.156991	0.121022	0.0583956	0.0431471	0.0432818	0.0557687	0.0418505	0.0196207	0.011226	0.00856357	0.0106295
a23	0.172409	0.18816	0.148496	0.118192	0.0655509	0.0524884	0.0529169	0.0691483	0.0556294	0.0323103	0.0213297	0.0132753	0.0100932
a40	0.206502	0.195854	0.141394	0.111197	0.0445248	0.0394223	0.0390909	0.0509139	0.047545	0.0367488	0.0337408	0.0262399	0.0268271
a6	0.22736	0.19916	0.139693	0.112011	0.0375389	0.0506129	0.0434171	0.0371548	0.0534857	0.0472386	0.0285756	0.0150098	0.00874217
a0	0.146369	0.157474	0.168307	0.202739	0.0648526	0.0666055	0.0491309	0.0303909	0.0283121	0.0299409	0.0267253	0.0186446	0.0105075
a12	0.100427	0.104173	0.109944	0.146946	0.0989529	0.0954243	0.090416	0.0702716	0.0575465	0.0499404	0.0309118	0.0243494	0.0206967
a75	0.0706496	0.0716005	0.0705519	0.0998772	0.104276	0.0980325	0.101158	0.0913986	0.0789775	0.0718957	0.0455623	0.0473523	0.0486683
a6	0.0743634	0.0886368	0.118111	0.132009	0.113505	0.100848	0.0840138	0.0608912	0.0576245	0.0601981	0.0401052	0.0391866	0.0305075
a36	0.048738	0.0573354	0.0736641	0.121893	0.160276	0.126525	0.115026	0.0767029	0.0536352	0.0450399	0.0277732	0.0387295	0.0546624
a75	0.0307728	0.0357656	0.038193	0.0659141	0.16041	0.141705	0.15274	0.112189	0.074304	0.0505613	0.0285506	0.0395678	0.0693277
a79	0.0219182	0.0272823	0.0320613	0.0478134	0.128509	0.11768	0.12346	0.0972143	0.0758939	0.0697387	0.0564128	0.0876618	0.114355
a98	0.0185688	0.0240664	0.030143	0.0545969	0.141776	0.132908	0.136966	0.0973349	0.0695022	0.0593163	0.0451663	0.0779725	0.111683
a6	0.00989817	0.0129329	0.0177794	0.0399415	0.118078	0.137117	0.16916	0.125952	0.0888624	0.0688883	0.0423054	0.0638194	0.105265
a5	0.00881148	0.0113693	0.0139949	0.0266915	0.0852329	0.102903	0.150582	0.131944	0.10095	0.0738343	0.0551814	0.0831147	0.155389
a12	0.0114422	0.0132945	0.0137789	0.0196533	0.0464295	0.0596494	0.0890335	0.112258	0.117121	0.0975265	0.0911747	0.136956	0.191682
a96	0.00830631	0.010272	0.0121046	0.0181524	0.0412067	0.0449544	0.0619645	0.0922636	0.108977	0.0938277	0.104245	0.160114	0.243611
a18	0.00762848	0.0097776	0.0120528	0.0175009	0.0381132	0.0388381	0.0492626	0.0709423	0.0903319	0.0858403	0.109237	0.174694	0.295781
a98	0.00466056	0.00609567	0.00991522	0.0182976	0.0309344	0.0328331	0.0386522	0.0510805	0.0675793	0.0738257	0.12734	0.191772	0.347014
a47	0.0025462	0.00316554	0.00429508	0.0101111	0.0294721	0.0294173	0.0360828	0.0441118	0.0540521	0.0680603	0.0955935	0.172327	0.450766
a7	0.00169106	0.0019595	0.00290191	0.00826598	0.0260815	0.0271463	0.034034	0.038163	0.0429978	0.0547144	0.0971748	0.175089	0.489781
