 	ce	savon	rend	les	vêtements	bien	propres	</S>
a66	0.232309	0.233965	0.23883	0.196507	0.0625883	0.0196155	0.009972	0.00621272
a87	0.44427	0.287754	0.137209	0.0832742	0.021893	0.00979358	0.008188	0.00761792
a23	0.359749	0.286214	0.136704	0.0885658	0.0439508	0.0281041	0.0250975	0.0316153
a87	0.344979	0.35302	0.13051	0.0702791	0.0327804	0.0214623	0.0220898	0.0248796
a97	0.36634	0.323494	0.130638	0.0725012	0.0346642	0.023194	0.0235032	0.0256654
a10	0.354087	0.33689	0.130438	0.0710351	0.0340122	0.0231439	0.0235219	0.0268726
a75	0.35479	0.31031	0.120565	0.0859787	0.0456546	0.0317116	0.0267926	0.0241966
a79	0.424407	0.356568	0.115414	0.0672351	0.0209833	0.0090107	0.00413077	0.00225137
a7	0.369367	0.341361	0.133015	0.0895199	0.0354529	0.0175055	0.00966745	0.00411166
a56	0.250658	0.298324	0.170844	0.117125	0.0613833	0.0447673	0.0361249	0.020774
a93	0.228188	0.235735	0.169631	0.136364	0.0886044	0.0618784	0.0507614	0.0288372
a90	0.145104	0.163582	0.207285	0.198117	0.125435	0.0734967	0.0546037	0.0323765
a25	0.0735903	0.0922931	0.201526	0.224195	0.150262	0.100148	0.0944621	0.0635233
a98	0.0558699	0.068065	0.176371	0.240497	0.180212	0.105342	0.10034	0.0733036
a79	0.028285	0.0323805	0.111151	0.18565	0.182147	0.142353	0.167592	0.150442
a25	0.0378108	0.037281	0.111468	0.190669	0.182001	0.145238	0.157832	0.137699
a79	0.0143578	0.0170185	0.087198	0.191207	0.189471	0.155148	0.175448	0.170152
a56	0.0106885	0.012262	0.0700244	0.135094	0.176177	0.193457	0.196749	0.205547
a43	0.00597548	0.00574026	0.024666	0.065713	0.126559	0.195309	0.253817	0.32222
a0	0.00183875	0.00172393	0.00509563	0.0131625	0.0431201	0.121802	0.279368	0.533889
a62	0.00140587	0.00118275	0.00340289	0.00774244	0.0273316	0.0905256	0.28626	0.582149
a88	0.00150693	0.00141527	0.00415917	0.00780047	0.0248679	0.0827215	0.267702	0.609827
a75	0.000339515	0.000301186	0.000839859	0.00202284	0.0072486	0.0312033	0.19144	0.766605
a6	7.07298e-05	7.56994e-05	0.000263897	0.000800109	0.00415423	0.0233717	0.156199	0.815065
a37	5.93335e-05	6.36762e-05	0.000169452	0.000533741	0.00274507	0.0173514	0.14679	0.832287
a36	8.63254e-05	7.15426e-05	0.000187886	0.000653556	0.00419678	0.0264411	0.204141	0.764222
a2	0.000581287	0.000291876	0.000741831	0.00287465	0.0126147	0.0434434	0.211827	0.727625
a57	0.0187353	0.00835245	0.0210075	0.0328074	0.0690183	0.125592	0.289157	0.43533
a97	0.160357	0.0684769	0.0744556	0.0540556	0.0583691	0.0975832	0.182004	0.304698
a87	0.15937	0.0893138	0.134576	0.116751	0.0800329	0.100005	0.13645	0.183502
a97	0.0817404	0.0519045	0.0861019	0.0987681	0.0831811	0.13238	0.205617	0.260308
</S>	0.026455	0.017155	0.0213991	0.0315846	0.0389914	0.0836446	0.218106	0.562665
