 	il	s'	accoude	à	la	table	</S>
a23	0.304562	0.241371	0.221757	0.107442	0.0550916	0.0349085	0.0348673
a79	0.423164	0.269467	0.152591	0.0477722	0.036409	0.0340672	0.0365289
a76	0.265789	0.263589	0.210058	0.0999408	0.0585835	0.0535937	0.0484457
a14	0.493809	0.38213	0.0876388	0.013863	0.0103203	0.00789603	0.00434262
a35	0.53192	0.316086	0.0961342	0.0269555	0.012973	0.00925761	0.00667387
a24	0.488006	0.274418	0.144199	0.0525831	0.0174214	0.0131235	0.0102495
a25	0.456609	0.243156	0.155842	0.0810127	0.0255349	0.0204291	0.0174163
a75	0.285932	0.21096	0.190911	0.134617	0.0608993	0.0607512	0.055929
a14	0.274609	0.244377	0.251112	0.0959757	0.0511325	0.0459335	0.0368595
a35	0.271829	0.276469	0.236351	0.087304	0.0531102	0.044012	0.0309255
a30	0.186139	0.207158	0.2845	0.133464	0.0722334	0.0621428	0.0543621
a14	0.15524	0.212153	0.34911	0.153759	0.0607508	0.0374087	0.0315784
a2	0.138448	0.176588	0.240805	0.218675	0.107537	0.0611302	0.056816
a11	0.0851817	0.109656	0.12879	0.208348	0.186147	0.135826	0.146051
a75	0.0892949	0.100067	0.132985	0.222408	0.208021	0.135	0.112225
a14	0.0832536	0.0906805	0.127261	0.157099	0.155625	0.177269	0.208812
a44	0.0505245	0.0762757	0.12094	0.16191	0.194119	0.184765	0.211466
a38	0.0262978	0.0320571	0.0539046	0.109477	0.231039	0.251651	0.295574
a76	0.0187978	0.0221032	0.0339356	0.120735	0.239481	0.261467	0.30348
a35	0.00863957	0.0116358	0.0281612	0.10475	0.169585	0.281195	0.396034
a76	0.00953637	0.0138395	0.0273864	0.0789528	0.167273	0.30607	0.396942
a35	0.00959841	0.0128912	0.0311019	0.0884798	0.179142	0.280863	0.397923
a76	0.00559993	0.00855867	0.0177498	0.0550212	0.15148	0.324863	0.436727
a35	0.00649174	0.0083766	0.016976	0.0559051	0.14813	0.323011	0.44111
a41	0.00341572	0.00556912	0.0106983	0.0454488	0.131635	0.328533	0.4747
a43	0.00387171	0.00472553	0.00844138	0.0376029	0.11817	0.337629	0.48956
a75	0.00363558	0.00366502	0.00624741	0.0317572	0.109687	0.314688	0.53032
a14	0.00499838	0.00624054	0.0107281	0.0385346	0.1075	0.310675	0.521323
a73	0.00332277	0.00429344	0.00634518	0.0347267	0.112878	0.340865	0.497569
a57	0.00218762	0.00231684	0.00433885	0.0245492	0.0975552	0.306569	0.562483
a87	0.0123803	0.00996079	0.00941008	0.031859	0.117267	0.31027	0.508853
</S>	0.0107245	0.0119703	0.0136201	0.0563295	0.181985	0.308077	0.417294
