 	mes	oreilles	sont	bouchées	</S>
a66	0.649341	0.193366	0.0677284	0.0606543	0.0289104
a87	0.62886	0.24475	0.0756012	0.0343045	0.0164845
a23	0.693349	0.202721	0.0552042	0.0280359	0.0206901
a13	0.52793	0.167467	0.0963243	0.0945681	0.113711
a54	0.356065	0.213226	0.133666	0.160381	0.136662
a47	0.379248	0.351898	0.140254	0.0923459	0.0362538
a36	0.173763	0.375737	0.259437	0.130969	0.0600944
a7	0.213157	0.29117	0.226383	0.155239	0.114051
a90	0.121892	0.266066	0.314405	0.161589	0.136049
a15	0.0926408	0.16309	0.276104	0.218718	0.249448
a98	0.0635536	0.0861014	0.192	0.255288	0.403057
a47	0.0763162	0.12908	0.253356	0.253133	0.288115
a37	0.0298731	0.0371516	0.144568	0.242625	0.545782
a26	0.0269063	0.0372017	0.103758	0.25375	0.578384
a62	0.0101874	0.0102145	0.0441869	0.207552	0.727859
a96	0.0276388	0.0325605	0.0823492	0.203406	0.654045
a75	0.0217167	0.0204143	0.0524672	0.16472	0.740681
a6	0.00159174	0.00290398	0.0143859	0.118002	0.863116
a36	0.0012505	0.00229421	0.0124009	0.11639	0.867664
a2	0.00443412	0.00601851	0.0177001	0.12344	0.848407
a57	0.117597	0.150621	0.171246	0.220122	0.340414
a87	0.417037	0.163565	0.129514	0.149126	0.140758
a23	0.473915	0.193861	0.11404	0.118866	0.0993177
a99	0.296762	0.134561	0.0985251	0.141592	0.32856
a10	0.116734	0.0571731	0.0758099	0.189407	0.560877
</S>	0.0571355	0.0486735	0.0860686	0.226595	0.581527
