 	il	a	fait	une	brûlure	de	cigarette	</S>
a23	0.512054	0.244823	0.0753668	0.0291147	0.0179007	0.0258358	0.0342849	0.0606203
a87	0.489736	0.229871	0.0933529	0.0488505	0.0328891	0.0315271	0.0295527	0.0442206
a23	0.384043	0.248897	0.119479	0.0618847	0.0420649	0.0437425	0.04036	0.0595284
a57	0.384286	0.234829	0.0920546	0.0418904	0.0334852	0.0440396	0.0569997	0.112416
a40	0.377063	0.259535	0.113483	0.0544423	0.0352534	0.0440534	0.0456392	0.0705306
a30	0.412641	0.251067	0.10767	0.0660119	0.0411689	0.0456865	0.0347049	0.0410499
a35	0.330732	0.295878	0.200888	0.0993191	0.0358649	0.0204355	0.00934577	0.00753728
a38	0.275456	0.248668	0.203892	0.137561	0.0640192	0.0362919	0.0181634	0.0159483
a25	0.253726	0.234954	0.20081	0.142653	0.0801306	0.0459507	0.0231069	0.0186678
a11	0.216468	0.218796	0.20199	0.158141	0.0955989	0.0588395	0.0286554	0.021511
a70	0.1355	0.148115	0.163442	0.177187	0.149239	0.11399	0.0651406	0.0473858
a94	0.136	0.139506	0.152338	0.172465	0.152061	0.122624	0.0735768	0.051428
a66	0.0983723	0.0939455	0.105144	0.145655	0.164776	0.169047	0.125924	0.0971371
a26	0.0812687	0.0752684	0.0790952	0.117993	0.154414	0.17975	0.155143	0.157067
a24	0.0774946	0.0686056	0.0664776	0.0948145	0.129825	0.169284	0.164192	0.229306
a25	0.0541232	0.0460658	0.0453423	0.0742666	0.125268	0.184448	0.213541	0.256946
a24	0.0460185	0.0363902	0.0328273	0.0566654	0.102807	0.181783	0.215728	0.327782
a41	0.0247604	0.0200011	0.0195697	0.0383678	0.0757922	0.151864	0.246323	0.423322
a18	0.016034	0.0151157	0.0186921	0.0386107	0.0722891	0.141535	0.245714	0.452009
a25	0.0244517	0.0194674	0.0154021	0.0251593	0.047183	0.0904405	0.193276	0.58462
a87	0.0203489	0.0144814	0.0106307	0.0168333	0.0323921	0.0762981	0.174812	0.654204
</S>	0.016182	0.0107923	0.00973276	0.0203097	0.0387733	0.101283	0.199025	0.603902
