 	celui	qui	s'	adosse	sur	la	voiture	là	est-il	fou	</S>
a66	0.294086	0.161375	0.0678287	0.0639328	0.0498295	0.0347632	0.0677013	0.120387	0.0622965	0.0378954	0.0399052
a87	0.42463	0.20855	0.0864257	0.0629285	0.0453276	0.0301399	0.0227963	0.0226935	0.0225851	0.0282004	0.0457236
a23	0.425142	0.225086	0.104024	0.0765713	0.0406409	0.0238011	0.0179222	0.0178032	0.0152267	0.018069	0.0357147
a53	0.196049	0.171668	0.142904	0.146716	0.0864887	0.0612256	0.0480076	0.037892	0.0322378	0.0305006	0.0463109
a56	0.182649	0.196675	0.142239	0.167159	0.116347	0.0688125	0.0487153	0.0337929	0.0186312	0.0122901	0.0126895
a61	0.124726	0.188756	0.185164	0.197053	0.141464	0.0599964	0.0319578	0.0268667	0.0171421	0.0113463	0.0155272
a47	0.087608	0.165075	0.190271	0.22092	0.137976	0.0631005	0.0387516	0.0358879	0.0255607	0.0171355	0.0177131
a21	0.052919	0.119792	0.202543	0.256861	0.134201	0.0829186	0.0567541	0.0428437	0.0239668	0.0146181	0.0125816
a12	0.0718442	0.123351	0.174156	0.199665	0.114826	0.0802681	0.0674794	0.073222	0.0471919	0.0254176	0.0225784
a62	0.0480682	0.0684824	0.120468	0.151746	0.139892	0.132171	0.112643	0.10216	0.0590232	0.0350177	0.0303281
a61	0.0369926	0.0452066	0.0742197	0.104631	0.139794	0.179616	0.156167	0.123925	0.0683415	0.0395644	0.0315422
a90	0.0418419	0.0433292	0.0636658	0.0808313	0.108636	0.146277	0.148201	0.150616	0.104418	0.0627143	0.0494698
a25	0.0234866	0.0308449	0.0599012	0.0738847	0.0959253	0.138742	0.144362	0.143938	0.114007	0.0896148	0.0852932
a92	0.0123715	0.0187167	0.0514964	0.0811355	0.109717	0.190066	0.182148	0.13054	0.0854133	0.0682973	0.0700993
a79	0.00744049	0.0143477	0.0411935	0.0713993	0.0830576	0.140938	0.150954	0.112304	0.116921	0.130113	0.131331
a56	0.00726296	0.0142114	0.0399458	0.0708906	0.0757912	0.130665	0.168852	0.128261	0.131964	0.123092	0.109064
a94	0.00682247	0.0108693	0.0262042	0.0521293	0.0908857	0.152779	0.189667	0.126604	0.120174	0.107625	0.11624
a21	0.00535532	0.00882034	0.0228576	0.0410033	0.0663837	0.110323	0.147392	0.11178	0.150118	0.159906	0.176061
a85	0.00702966	0.00979918	0.0202249	0.0279445	0.0382236	0.0688028	0.10924	0.11635	0.202452	0.185176	0.214757
a92	0.00639641	0.0105811	0.0264928	0.0523105	0.054372	0.0861598	0.10056	0.0798891	0.157223	0.176632	0.249383
a37	0.00784716	0.0128368	0.0281509	0.0423058	0.055034	0.0949107	0.130095	0.0927867	0.159737	0.167496	0.2088
a85	0.0072944	0.0115086	0.0229648	0.0359367	0.0548344	0.0903776	0.12561	0.0785686	0.163088	0.178921	0.230897
a79	0.00677045	0.0110565	0.0219854	0.0288964	0.0363126	0.0590073	0.0812125	0.0703424	0.149011	0.194932	0.340473
a44	0.00932385	0.0141499	0.0300102	0.0405011	0.0550723	0.082559	0.0933628	0.0584488	0.125056	0.187125	0.304391
a4	0.00735356	0.0128099	0.0269084	0.0356686	0.0461273	0.0654671	0.0822588	0.0418628	0.10904	0.204715	0.367789
a13	0.00476873	0.00686243	0.0140055	0.0176015	0.0302885	0.0488337	0.0725208	0.0393322	0.113011	0.231657	0.421119
a40	0.00932875	0.0126142	0.0280236	0.0366074	0.0438024	0.0560968	0.0580727	0.0317839	0.0940922	0.194533	0.435045
a36	0.00359179	0.00438859	0.0084219	0.00955576	0.0141913	0.0229366	0.0406931	0.0253268	0.0754386	0.217073	0.578382
a37	0.0045535	0.00667182	0.0154951	0.0193999	0.0262237	0.0340133	0.0401958	0.0242428	0.0646775	0.194781	0.569745
a96	0.00300056	0.00425062	0.00924885	0.0110478	0.0166521	0.0228084	0.0321655	0.0223135	0.0655743	0.207138	0.6058
a93	0.00172533	0.00241719	0.00549117	0.00667393	0.0113061	0.0153639	0.0237485	0.0190976	0.0633975	0.207266	0.643513
a4	0.000967247	0.00122149	0.00246543	0.00342725	0.00575959	0.00952836	0.0187286	0.0162976	0.0641299	0.200961	0.676513
a53	0.000825896	0.00110394	0.00233418	0.00310737	0.00555011	0.00855536	0.0162068	0.0149455	0.0578357	0.189382	0.700153
a69	0.000871497	0.00090715	0.00172905	0.00241557	0.00349321	0.00557677	0.0097544	0.010993	0.053685	0.186581	0.723994
a7	0.000706729	0.000842338	0.00200074	0.00295921	0.00379025	0.00590855	0.0100749	0.00880602	0.0388039	0.152361	0.773746
a84	0.00417757	0.0060843	0.0162853	0.0197933	0.0233754	0.0264119	0.0265059	0.0156411	0.0549749	0.18715	0.619601
a87	0.0879844	0.0766925	0.117315	0.140525	0.0936407	0.0584818	0.0242438	0.0152032	0.0450552	0.109343	0.231515
a23	0.283788	0.200668	0.130463	0.0910124	0.0424583	0.0265358	0.0155088	0.0152446	0.0405142	0.0587583	0.0950481
a87	0.174053	0.131058	0.112202	0.111535	0.0652774	0.0353422	0.0165285	0.0147105	0.0470285	0.0915603	0.200705
</S>	0.0427206	0.0561108	0.0897371	0.0783775	0.0406511	0.0289912	0.0297032	0.0243281	0.0502003	0.117369	0.441811
