 	c'	est	une	assiette	en	terre	</S>
a23	0.411178	0.22603	0.0915591	0.0686853	0.0587488	0.0615915	0.0822074
a85	0.38717	0.219149	0.102768	0.0645228	0.0643504	0.0759072	0.0861318
a87	0.33167	0.198506	0.0973286	0.0703592	0.0763307	0.10417	0.121636
a23	0.352469	0.259208	0.153195	0.0850359	0.0561047	0.0502386	0.043749
a99	0.230474	0.155813	0.115233	0.111419	0.117399	0.144194	0.125468
a24	0.206988	0.146459	0.103581	0.0963949	0.117869	0.177069	0.151639
a32	0.300455	0.213158	0.190449	0.114571	0.0733328	0.0681599	0.0398739
a11	0.22078	0.170764	0.178543	0.140851	0.107052	0.104508	0.0775015
a20	0.192284	0.167918	0.185087	0.154969	0.114849	0.105807	0.0790866
a73	0.245134	0.195864	0.179376	0.113931	0.0869705	0.0969127	0.0818117
a94	0.23881	0.196366	0.16509	0.119844	0.100281	0.1028	0.0768089
a24	0.168207	0.14392	0.142467	0.126707	0.128523	0.158159	0.132016
a98	0.0936657	0.0779037	0.08772	0.109866	0.162856	0.239086	0.228903
a11	0.0660422	0.0575418	0.0698902	0.0982207	0.170108	0.259966	0.278232
a75	0.0253478	0.0197919	0.025015	0.0459124	0.130923	0.298394	0.454616
a73	0.0222282	0.0165701	0.0226271	0.0460215	0.136459	0.293459	0.462635
a27	0.0112987	0.00966635	0.0147038	0.0346476	0.117656	0.298447	0.513581
a11	0.00356772	0.00329559	0.0049568	0.0125168	0.0588467	0.227571	0.689245
a75	0.0119914	0.00835174	0.00863718	0.021945	0.09181	0.251021	0.606243
a41	0.00667643	0.00521212	0.00805605	0.022917	0.0905778	0.248587	0.617973
a12	0.00708682	0.00596381	0.0101727	0.0263543	0.0968789	0.260015	0.593528
a98	0.00647041	0.0062107	0.0104297	0.0277961	0.100171	0.262849	0.586073
a71	0.00509965	0.00439215	0.00726445	0.0205584	0.0851271	0.256138	0.62142
a38	0.00649378	0.00486536	0.00654427	0.0186516	0.0868473	0.270796	0.605802
a13	0.00617682	0.00450178	0.00613145	0.0251316	0.127924	0.29526	0.534874
a9	0.00692797	0.0053366	0.00729706	0.0294215	0.137933	0.307815	0.505269
a87	0.0131967	0.0113948	0.0163053	0.054195	0.181848	0.291595	0.431465
</S>	0.0432964	0.0373312	0.042265	0.0870382	0.182702	0.238026	0.369342
