 	pourquoi	tu	t'	en	prends	à	moi	</S>
a66	0.280285	0.163283	0.104961	0.140891	0.16229	0.0867395	0.038657	0.0228941
a87	0.189801	0.146246	0.169746	0.199419	0.152915	0.0711374	0.0386419	0.0320943
a23	0.433304	0.271893	0.167257	0.059872	0.0249345	0.0162039	0.0119765	0.0145592
a10	0.406377	0.289847	0.211881	0.0513168	0.0129762	0.00864831	0.00737036	0.011583
a24	0.40594	0.260173	0.195996	0.0576516	0.0244618	0.019807	0.016289	0.0196822
a21	0.365445	0.227679	0.167268	0.0678472	0.0473636	0.0429309	0.0384424	0.0430235
a5	0.300114	0.283794	0.241133	0.0985257	0.0361544	0.0169448	0.0122184	0.0111157
a92	0.161624	0.208564	0.291	0.168732	0.0719167	0.0397027	0.0298015	0.0286586
a75	0.1289	0.180577	0.259805	0.205981	0.10367	0.0501651	0.0372594	0.0336422
a61	0.120986	0.155598	0.214529	0.216487	0.131718	0.0643902	0.049765	0.0465262
a21	0.133853	0.152742	0.199318	0.204784	0.130545	0.070249	0.0535944	0.0549139
a24	0.0984284	0.104752	0.142383	0.200046	0.182499	0.114253	0.0800953	0.0775421
a43	0.0576158	0.0508022	0.0668675	0.137851	0.183684	0.169696	0.157349	0.176134
a98	0.0456726	0.0356196	0.0387733	0.0811511	0.130054	0.164929	0.20682	0.29698
a47	0.0281954	0.0172351	0.0149728	0.0317161	0.0931956	0.176501	0.252406	0.385778
a36	0.0107855	0.00578213	0.0047649	0.0114468	0.043648	0.125537	0.284867	0.513169
a47	0.00505889	0.00248013	0.00200297	0.00307197	0.0104289	0.0498587	0.222038	0.70506
a6	0.00251665	0.00114971	0.000879905	0.00200146	0.00987549	0.0548171	0.239105	0.689654
a37	0.00108489	0.000514778	0.000435399	0.00139974	0.00805444	0.0506544	0.235105	0.702751
a36	0.00437297	0.00226342	0.00192524	0.00478358	0.0195435	0.0732157	0.231962	0.661934
a2	0.0194774	0.00989577	0.00849261	0.0142417	0.0364191	0.0932833	0.253788	0.564402
a57	0.16009	0.0756078	0.0475271	0.0502705	0.0589615	0.0894584	0.188473	0.329612
a87	0.360185	0.19126	0.111823	0.0747672	0.0478225	0.0456304	0.0630339	0.105478
a23	0.300346	0.195823	0.137791	0.112633	0.0764958	0.0586182	0.0546022	0.06369
a87	0.131063	0.0745347	0.0506719	0.04683	0.0473208	0.0962375	0.205839	0.347504
</S>	0.0206417	0.0139541	0.0131306	0.0179571	0.0293812	0.095174	0.249006	0.560755
