 	je	vais	m'	asseoir	à	l'	arrière	de	la	voiture	</S>
a23	0.323419	0.215441	0.128918	0.15097	0.0575227	0.0280547	0.0183406	0.0127627	0.0173831	0.0212634	0.0259235
a85	0.511328	0.214003	0.0498885	0.0257046	0.0318555	0.0229002	0.0188038	0.0231597	0.0278559	0.0325612	0.0419403
a87	0.129783	0.0927082	0.0714581	0.101957	0.125434	0.0864861	0.0755289	0.077709	0.0689772	0.078533	0.0914261
a23	0.132923	0.126585	0.101444	0.12401	0.12218	0.0631196	0.0425748	0.0501053	0.0522294	0.0695198	0.11531
a87	0.168058	0.138163	0.0978547	0.171772	0.119252	0.0573322	0.0404898	0.0354346	0.0309498	0.0478144	0.0928801
a23	0.0848695	0.0926028	0.099327	0.200043	0.104501	0.0529746	0.0468722	0.0505907	0.0508601	0.0748484	0.142511
a57	0.0869306	0.080284	0.0665633	0.141045	0.0752631	0.0451865	0.0549432	0.0658874	0.0648149	0.108115	0.210967
a20	0.136912	0.117477	0.104847	0.204983	0.112293	0.0558241	0.0424701	0.0357549	0.0325556	0.0542083	0.102675
a73	0.041936	0.102673	0.205229	0.438065	0.128425	0.0512781	0.0170279	0.00497837	0.0030886	0.00335698	0.00394319
a35	0.0479851	0.0929312	0.169179	0.308128	0.167031	0.107488	0.0505131	0.0242428	0.0137165	0.0101249	0.00866
a41	0.0688961	0.108101	0.161102	0.227619	0.171767	0.131594	0.0650057	0.0306111	0.0162464	0.0107911	0.00826596
a32	0.117437	0.127818	0.113462	0.161838	0.184095	0.138781	0.0737627	0.0373818	0.0212256	0.0140539	0.0101447
a38	0.102884	0.09616	0.0740768	0.129894	0.1907	0.172991	0.106072	0.0554659	0.0328685	0.0221004	0.0167875
a41	0.0733148	0.0615477	0.0438377	0.106329	0.170202	0.187049	0.154847	0.087464	0.0543233	0.035774	0.0253119
a35	0.0757147	0.0598644	0.0372956	0.0736274	0.152396	0.168696	0.152958	0.115982	0.080915	0.0519377	0.0306139
a76	0.0593561	0.0492447	0.0383006	0.0691846	0.122007	0.165123	0.169069	0.125595	0.0946561	0.065809	0.0416553
a94	0.0656	0.0745401	0.0660983	0.0821175	0.100418	0.10623	0.131601	0.126668	0.106845	0.0818928	0.0579898
a76	0.042958	0.0327994	0.0268508	0.0477812	0.0566119	0.0715333	0.127471	0.158915	0.171401	0.150106	0.113572
a94	0.0432215	0.0385678	0.0291761	0.044946	0.0485966	0.0567269	0.106901	0.156093	0.171952	0.160577	0.143242
a76	0.0264132	0.0168719	0.0103641	0.0209564	0.0256784	0.0364782	0.0847462	0.150891	0.215582	0.221137	0.190882
a20	0.0160727	0.012262	0.00729736	0.0125427	0.0217599	0.0374941	0.085721	0.15354	0.207591	0.225226	0.220493
a84	0.0249694	0.010204	0.00342691	0.00659142	0.011061	0.0196963	0.0529207	0.112187	0.212394	0.274901	0.271649
a11	0.00666541	0.00290038	0.00227591	0.00501991	0.010543	0.0181038	0.040644	0.0809545	0.170848	0.307243	0.354802
a32	0.00278574	0.00129787	0.000711914	0.00198562	0.00279901	0.00760072	0.0218212	0.0544979	0.151112	0.311587	0.443801
a76	0.00240092	0.000926001	0.000474077	0.00105877	0.00153525	0.00527435	0.0181791	0.0526571	0.141447	0.29971	0.476338
a69	0.0126569	0.00506693	0.00220499	0.00302113	0.00432919	0.00838203	0.0177811	0.0504103	0.130339	0.289042	0.476767
a58	0.0235143	0.0088452	0.00326135	0.00493686	0.00930933	0.0181639	0.0324241	0.0667974	0.133138	0.275997	0.423613
a76	0.0196761	0.00733648	0.00186447	0.0028175	0.00435498	0.010952	0.0283174	0.0610097	0.129435	0.275286	0.45895
a94	0.0129956	0.00746218	0.00224145	0.00337175	0.00482454	0.00916779	0.0205435	0.0574616	0.127916	0.298207	0.455809
a24	0.00957433	0.00490094	0.00149828	0.00182855	0.00281601	0.00676588	0.0172075	0.0435733	0.100488	0.25281	0.558537
a9	0.00779877	0.00349495	0.00101472	0.00169888	0.00235024	0.00604228	0.0179514	0.0409804	0.0976312	0.24787	0.573168
a87	0.00559242	0.00190557	0.000480176	0.000750448	0.00119719	0.00356411	0.0112627	0.0345741	0.100318	0.262919	0.577437
</S>	0.00282936	0.00167592	0.000753761	0.000617966	0.00104047	0.00236097	0.00614874	0.0237413	0.0976179	0.271964	0.59125
