 	attention	à	ce	que	tu	fais	</S>
a23	0.169658	0.196074	0.136297	0.10676	0.108832	0.127873	0.154507
a87	0.196278	0.214682	0.179522	0.127248	0.0965381	0.0850211	0.100711
a23	0.23551	0.246637	0.21177	0.118075	0.0677355	0.0552353	0.0650376
a87	0.204769	0.236996	0.220604	0.129893	0.0780105	0.0589065	0.0708224
a23	0.200811	0.227009	0.216075	0.129823	0.0778304	0.0666043	0.0818465
a79	0.198577	0.219262	0.204498	0.124996	0.0858669	0.0720321	0.0947685
a20	0.43142	0.288892	0.16886	0.0522632	0.0232691	0.015628	0.0196681
a58	0.446674	0.289539	0.167981	0.0541301	0.02101	0.0114898	0.00917666
a20	0.408806	0.255232	0.189023	0.0823543	0.033776	0.0175295	0.0132793
a30	0.293637	0.237376	0.2053	0.12103	0.0704095	0.0418239	0.0304244
a73	0.281668	0.255647	0.224121	0.129632	0.0599087	0.0296011	0.0194225
a20	0.264066	0.234954	0.2157	0.12964	0.0751118	0.0460355	0.0344934
a14	0.257988	0.236133	0.213429	0.121965	0.0743584	0.0531675	0.042959
a41	0.212199	0.201811	0.18979	0.144154	0.102667	0.081006	0.0683741
a76	0.153292	0.13931	0.138062	0.146991	0.151746	0.14406	0.12654
a73	0.0777303	0.0706459	0.0754918	0.12012	0.189912	0.229638	0.236462
a94	0.0571644	0.0507267	0.0601251	0.107844	0.208388	0.264394	0.251358
a76	0.0541061	0.0418947	0.0393472	0.0546825	0.138186	0.29606	0.375723
a98	0.0443084	0.0371535	0.0349821	0.0518831	0.130203	0.294106	0.407364
a85	0.0154152	0.0132767	0.0135682	0.0291107	0.115408	0.323261	0.48996
a41	0.0151607	0.0123837	0.012326	0.0248891	0.0997237	0.309409	0.526108
a27	0.023035	0.0159209	0.0145736	0.0249606	0.0900419	0.289282	0.542186
a75	0.00985057	0.00800218	0.00782869	0.0138096	0.0501502	0.215873	0.694486
a41	0.0412334	0.0317713	0.0232447	0.0284565	0.0719644	0.232293	0.571037
a37	0.0249893	0.0179504	0.0148331	0.0225915	0.0740685	0.252809	0.592758
a54	0.0224728	0.0178908	0.0146301	0.0212597	0.0624702	0.214648	0.646629
a44	0.0527543	0.0439831	0.0330284	0.0390669	0.0856615	0.218687	0.526819
a84	0.0298055	0.0287602	0.0231828	0.0323081	0.0778224	0.215954	0.592167
a87	0.009842	0.0128368	0.0159202	0.0370326	0.0988112	0.256329	0.569228
</S>	0.0220116	0.029317	0.0282662	0.0414292	0.0996295	0.253933	0.525413
