 	j'	ai	mis	mes	affaires	dans	le	sac	</S>
a66	0.301913	0.240963	0.193575	0.139753	0.0481292	0.0204465	0.0186377	0.0192992	0.0172842
a87	0.300184	0.215836	0.158859	0.119794	0.0730144	0.0623882	0.0417415	0.0192353	0.00894854
a23	0.29238	0.259085	0.229103	0.147974	0.0447309	0.0129671	0.00599715	0.00451492	0.00324786
a79	0.287513	0.238381	0.162456	0.129197	0.10144	0.0311893	0.0136572	0.0150982	0.0210683
a40	0.304041	0.246763	0.179004	0.127313	0.0802387	0.033972	0.0139144	0.00763953	0.00711546
a23	0.185909	0.152082	0.184075	0.211961	0.154198	0.0623782	0.0270449	0.0117416	0.0106111
a18	0.110322	0.107305	0.161764	0.206799	0.237601	0.0976062	0.0444699	0.0190211	0.0151119
a38	0.0704694	0.0798756	0.130882	0.188059	0.270798	0.14735	0.0681014	0.0247979	0.0196674
a5	0.0610151	0.065715	0.117751	0.175941	0.249353	0.164295	0.0953019	0.0382157	0.032412
a18	0.0619609	0.0614468	0.111575	0.183876	0.217716	0.187281	0.112412	0.03646	0.0272729
a5	0.0185129	0.0191384	0.0442997	0.0782331	0.135371	0.185784	0.262915	0.134187	0.121559
a6	0.0144137	0.0152769	0.0318493	0.0467106	0.0683586	0.132009	0.287171	0.208615	0.195596
a37	0.022155	0.0221191	0.0321483	0.0373378	0.0395055	0.0778476	0.244235	0.253009	0.271643
a6	0.0142531	0.012283	0.0189246	0.0172558	0.0196659	0.0363893	0.152428	0.291408	0.437392
a0	0.0149261	0.011841	0.0137065	0.0112326	0.0105978	0.0187414	0.0955	0.289716	0.533738
a54	0.0029359	0.00257183	0.00342856	0.00379159	0.00591781	0.016369	0.089684	0.274945	0.600356
a36	0.00243423	0.00153086	0.0013997	0.00144983	0.00216807	0.00741324	0.0438884	0.194699	0.745017
a26	0.00177988	0.00125953	0.00134759	0.00132082	0.0021095	0.00755828	0.0438433	0.183487	0.757294
a5	0.043881	0.02787	0.0303514	0.025036	0.0273069	0.0389421	0.0877889	0.198151	0.520673
a18	0.00546766	0.00388682	0.00395648	0.00319015	0.00354992	0.00621596	0.0262208	0.132545	0.814967
a25	0.00411277	0.00277766	0.00313224	0.00240456	0.00350398	0.00805621	0.0328635	0.137276	0.805873
a87	0.0094485	0.0049757	0.0056817	0.00519772	0.00779477	0.0169131	0.0495526	0.169416	0.73102
</S>	0.209135	0.112502	0.0677872	0.0362476	0.0245472	0.0296887	0.0595632	0.160632	0.299898
