 	est-ce	toi	qui	nous	bloque	le	passage	</S>
a66	0.367158	0.243144	0.214756	0.0924698	0.0512007	0.0136804	0.00793112	0.00965924
a87	0.351637	0.241145	0.173232	0.121535	0.0639906	0.020745	0.0185167	0.00919897
a79	0.368648	0.254803	0.178311	0.0944681	0.062825	0.0165086	0.0146921	0.00974433
a15	0.258084	0.231681	0.174415	0.10919	0.0686402	0.0490977	0.0624814	0.0464115
a69	0.226052	0.18464	0.135753	0.124287	0.114599	0.0651281	0.089119	0.0604213
a20	0.159864	0.138455	0.17811	0.146859	0.174811	0.0742275	0.0824716	0.0452019
a98	0.127652	0.125117	0.172692	0.171589	0.198853	0.0986273	0.0682051	0.0372648
a85	0.0608178	0.0765354	0.145385	0.213986	0.226498	0.13876	0.0930678	0.0449498
a92	0.0520127	0.0630261	0.109155	0.218978	0.218988	0.145851	0.127169	0.0648205
a5	0.0558341	0.0476841	0.0615507	0.120038	0.174275	0.224719	0.208692	0.107207
a18	0.0442241	0.0322425	0.0338675	0.0756601	0.153995	0.239705	0.26125	0.159057
a12	0.0162694	0.0108839	0.0117602	0.0214477	0.0747631	0.250656	0.307642	0.306578
a43	0.00425794	0.00288984	0.00310165	0.00602713	0.0243049	0.187198	0.242271	0.52995
a12	0.00725765	0.00567243	0.00664983	0.0083417	0.0235609	0.106152	0.183975	0.65839
a61	0.00325035	0.00265352	0.00313205	0.00737724	0.025158	0.105174	0.152411	0.700844
a54	0.00156613	0.00144024	0.00185724	0.00484935	0.0173634	0.082302	0.141	0.749621
a90	0.000528836	0.000658641	0.000918778	0.00260606	0.00986514	0.0674231	0.194762	0.723238
a15	0.0017488	0.0024077	0.00305776	0.0063349	0.0179483	0.0915387	0.201161	0.675802
a92	0.00117625	0.00181366	0.00221638	0.00737655	0.024408	0.11819	0.203985	0.640835
a37	0.00161573	0.00259587	0.00307788	0.0108209	0.0351896	0.141124	0.204992	0.600585
a79	0.0101136	0.0138498	0.0154102	0.0327522	0.0658584	0.196179	0.246233	0.419604
a44	0.00540326	0.0094152	0.0115476	0.0297582	0.0647033	0.17465	0.234178	0.470344
a58	0.00232488	0.00388253	0.00498588	0.0188228	0.0536773	0.178751	0.24753	0.490025
a82	0.00455461	0.00597905	0.00716454	0.0155632	0.0426444	0.151522	0.297384	0.475189
a87	0.294963	0.178207	0.139371	0.0777445	0.0599434	0.0788896	0.0855274	0.0853538
a23	0.343995	0.26069	0.213475	0.0944471	0.0353949	0.0213241	0.016176	0.014498
a87	0.197081	0.188628	0.153245	0.111447	0.0763916	0.0952356	0.0720246	0.105947
a23	0.0323623	0.0325106	0.0328452	0.043404	0.0678146	0.193677	0.179365	0.418021
a87	0.091736	0.0972445	0.0913359	0.0829674	0.0724435	0.165167	0.119836	0.27927
</S>	0.0464532	0.0571429	0.0655156	0.0863299	0.0960464	0.211438	0.155321	0.281753
