 	il	m'	a	traduit	en	justice	</S>
a66	0.339172	0.321275	0.257813	0.064504	0.00876655	0.00440581	0.00406361
a87	0.282778	0.238756	0.183567	0.153159	0.0607858	0.0512773	0.0296766
a23	0.427121	0.294283	0.168734	0.0418899	0.0226795	0.0282131	0.0170795
a79	0.259157	0.220373	0.146489	0.0560145	0.0292502	0.114699	0.174017
a20	0.248591	0.19223	0.13843	0.144357	0.0798199	0.120117	0.0764544
a7	0.188115	0.231702	0.233167	0.165895	0.0589172	0.070882	0.0513219
a12	0.134106	0.192803	0.325534	0.213081	0.066117	0.0435453	0.024813
a96	0.0982369	0.131701	0.260096	0.30394	0.110237	0.0668873	0.0289024
a90	0.0972977	0.0935937	0.138463	0.229407	0.155309	0.188847	0.0970823
a15	0.0695109	0.076574	0.116903	0.158727	0.209269	0.248225	0.120791
a92	0.0194486	0.0142177	0.0133479	0.0173685	0.0785521	0.421599	0.435467
a21	0.0129014	0.00903794	0.007726	0.0175079	0.0810381	0.360853	0.510936
a12	0.00295532	0.00204399	0.00208258	0.00653449	0.0538806	0.29469	0.637813
a18	0.00154053	0.0010026	0.000959597	0.00254306	0.0262613	0.257537	0.710156
a25	0.0101407	0.00744785	0.00585926	0.0108507	0.0581174	0.281894	0.62569
a10	0.0217968	0.0204532	0.0219439	0.0334067	0.0980765	0.302066	0.502257
a87	0.436513	0.243202	0.099894	0.0420157	0.0351265	0.0548674	0.0883819
a23	0.438157	0.280526	0.151974	0.0439186	0.0188424	0.0280463	0.0385352
a87	0.150187	0.0982811	0.0654159	0.028133	0.0515835	0.207985	0.398414
</S>	0.0585433	0.0338974	0.0216048	0.0136733	0.0777661	0.259867	0.534648
