 	ils	ont	coupé	tous	les	arbres	</S>
a23	0.485694	0.208512	0.111359	0.0509732	0.0369185	0.0380537	0.0684892
a85	0.497667	0.215919	0.111277	0.0482228	0.0308682	0.0325038	0.0635425
a87	0.347473	0.207215	0.115045	0.0533629	0.036994	0.0596233	0.180287
a23	0.370688	0.196516	0.0911247	0.0497594	0.0374093	0.0649704	0.189533
a20	0.32394	0.123768	0.046729	0.0382701	0.0442565	0.0983062	0.324731
a30	0.326933	0.208936	0.145929	0.108678	0.0864874	0.0586304	0.0644063
a37	0.284015	0.275016	0.203879	0.133816	0.0581416	0.0245523	0.0205801
a94	0.248838	0.235455	0.198465	0.164319	0.0835799	0.0394985	0.0298443
a24	0.215282	0.23283	0.216033	0.174906	0.0869191	0.0429998	0.0310302
a32	0.157626	0.162932	0.206129	0.233248	0.134492	0.0603377	0.0452355
a9	0.165715	0.190408	0.235951	0.196064	0.116277	0.0521305	0.0434541
a24	0.0944087	0.127155	0.213461	0.236174	0.155552	0.0837912	0.0894571
a41	0.0865584	0.112155	0.200214	0.220086	0.173314	0.104275	0.103398
a35	0.0860382	0.0974517	0.155977	0.185199	0.176635	0.140553	0.158145
a14	0.0773654	0.0830867	0.140004	0.18505	0.184173	0.1588	0.171521
a73	0.0847383	0.0929553	0.140022	0.167726	0.185867	0.164651	0.164041
a26	0.057621	0.058587	0.0911618	0.142689	0.20417	0.214735	0.231037
a20	0.0271726	0.0268951	0.0393642	0.0930734	0.189827	0.289511	0.334157
a73	0.0218756	0.0194087	0.0296017	0.101037	0.207024	0.27104	0.350013
a2	0.0116884	0.0124737	0.0221129	0.0739004	0.182399	0.30107	0.396356
a11	0.00429785	0.00425167	0.00592367	0.0247326	0.0695014	0.24716	0.644132
a90	0.00432066	0.00252145	0.00258296	0.0101122	0.0480869	0.247089	0.685287
a69	0.00780956	0.0069805	0.00954604	0.0267014	0.0763599	0.260728	0.611875
a58	0.0129196	0.00980262	0.0135482	0.0323627	0.0780966	0.234155	0.619115
a82	0.00633329	0.00365538	0.0038256	0.01244	0.0486396	0.203944	0.721162
a87	0.00317084	0.00165013	0.0017183	0.00709188	0.038921	0.1786	0.768848
</S>	0.0123792	0.00688105	0.00528009	0.0134614	0.0637787	0.192551	0.705669
