 	le	chasseur	a	tué	une	antilope	dans	la	plaine	</S>
a66	0.269494	0.153004	0.0997637	0.0851454	0.110274	0.120071	0.0794128	0.0404206	0.0244577	0.0179572
a87	0.236116	0.161246	0.128899	0.109012	0.0889914	0.0838945	0.0577236	0.041855	0.0428408	0.0494223
a23	0.416518	0.268571	0.118425	0.0456169	0.0312182	0.0269607	0.020286	0.0185458	0.022378	0.0314807
a87	0.374143	0.278921	0.121385	0.0431503	0.0312457	0.0287007	0.026585	0.0260936	0.0299729	0.0398027
a23	0.399427	0.280271	0.11804	0.040944	0.0299972	0.0267517	0.0251694	0.023284	0.0258957	0.0302192
a30	0.372183	0.235007	0.088084	0.0446721	0.0376375	0.04017	0.03791	0.0399508	0.0484409	0.0559446
a4	0.232925	0.223611	0.118895	0.0774537	0.0581974	0.0567378	0.0493531	0.0555779	0.0642884	0.0629612
a57	0.284257	0.275166	0.129165	0.0801147	0.0547475	0.048861	0.0339983	0.0311651	0.0309483	0.031577
a75	0.171742	0.220187	0.180957	0.12408	0.0887062	0.0607657	0.0427953	0.0351146	0.0341642	0.0414886
a41	0.132959	0.180803	0.178865	0.165682	0.109733	0.0742797	0.0461439	0.0362271	0.0360332	0.0392745
a24	0.0888265	0.138047	0.167871	0.17794	0.135135	0.0904818	0.0547483	0.042903	0.0447378	0.0593092
a75	0.102841	0.134206	0.167685	0.151963	0.133688	0.0799322	0.0511024	0.0435871	0.0517537	0.0832422
a85	0.109845	0.130892	0.166643	0.138559	0.132234	0.0902141	0.0628273	0.0472639	0.0506617	0.0708597
a79	0.0792507	0.0933188	0.131364	0.121503	0.130713	0.0945779	0.0751094	0.0631366	0.0784537	0.132573
a56	0.058386	0.06207	0.0957819	0.100535	0.136197	0.10901	0.0896522	0.0827072	0.0986873	0.166973
a12	0.0568292	0.0474353	0.0723445	0.0744397	0.128736	0.143072	0.13094	0.0988138	0.101617	0.145772
a96	0.0251366	0.0191946	0.02669	0.0315295	0.079247	0.125569	0.166953	0.151876	0.161102	0.212702
a11	0.018884	0.0149769	0.0184208	0.0230231	0.0518	0.0939731	0.152816	0.181799	0.202034	0.242273
a34	0.0090661	0.00756006	0.00787055	0.0106066	0.0212273	0.051659	0.103467	0.182936	0.269095	0.336513
a43	0.00442081	0.00377422	0.00419511	0.00642573	0.0131709	0.034424	0.087724	0.196098	0.295599	0.354168
a75	0.00175574	0.00149227	0.00161785	0.00332467	0.00622792	0.0187182	0.0478259	0.14223	0.30354	0.473268
a25	0.000501993	0.000437823	0.000514702	0.00102799	0.00249132	0.00745564	0.02402	0.107107	0.310878	0.545566
a92	0.0002576	0.000183358	0.00020981	0.000455938	0.00109795	0.00450695	0.0165778	0.0910047	0.288296	0.59741
a25	0.000324169	0.000275781	0.000325507	0.000670096	0.00156887	0.00493091	0.017233	0.0820924	0.285354	0.607225
a79	0.000207384	0.000147674	0.000186179	0.000446444	0.00114923	0.0039045	0.0128254	0.065061	0.26119	0.654882
a94	0.000450848	0.000294319	0.000338749	0.000642614	0.00121062	0.00396515	0.0131931	0.0728284	0.291627	0.615449
a90	0.000601928	0.00046744	0.000531259	0.00102023	0.00160509	0.00510918	0.0165182	0.0847122	0.311507	0.577928
a69	0.000952111	0.000677168	0.000794449	0.00138026	0.00220005	0.00581163	0.0163771	0.0728553	0.28536	0.613592
a58	0.000870569	0.000680508	0.000784823	0.00171494	0.00297846	0.00863009	0.0230789	0.0889223	0.278221	0.594119
a82	0.0135387	0.0114649	0.0112007	0.0182093	0.0227112	0.0347563	0.0568941	0.111317	0.250069	0.469839
a87	0.23603	0.131542	0.0770723	0.0432693	0.0372239	0.0467442	0.0635823	0.0799654	0.114065	0.170506
a23	0.303701	0.176485	0.118033	0.0570722	0.0401136	0.0446259	0.0497227	0.0558706	0.0688845	0.0854919
a87	0.16005	0.0853614	0.0536937	0.0320409	0.0262883	0.0367448	0.048274	0.0912262	0.172766	0.293555
</S>	0.0428277	0.0244149	0.0162192	0.0118524	0.0114261	0.0195	0.0336626	0.0937416	0.221641	0.524714
