 	le	feu	s'	étend	sur	la	savane	</S>
a66	0.34941	0.218269	0.118635	0.0973817	0.0940938	0.0584257	0.03627	0.0275152
a87	0.508438	0.224262	0.0684966	0.0620199	0.0423181	0.030457	0.0288777	0.0351316
a23	0.439495	0.2432	0.117391	0.113129	0.0346036	0.0161357	0.0131975	0.0228478
a87	0.300645	0.246174	0.128536	0.227098	0.0368646	0.0167384	0.016725	0.0272188
a10	0.236487	0.256721	0.159218	0.231909	0.0387754	0.0218744	0.023567	0.0314482
a87	0.216857	0.264992	0.166716	0.234227	0.0363214	0.0226604	0.0256715	0.0325551
a23	0.230364	0.203346	0.126957	0.282429	0.0689032	0.0283913	0.0250515	0.0345587
a83	0.178954	0.23219	0.154372	0.222839	0.0527324	0.0352911	0.0498631	0.0737582
a5	0.145352	0.204864	0.23219	0.236522	0.074954	0.0341918	0.0310071	0.04092
a37	0.114923	0.182839	0.240498	0.26695	0.0855455	0.0334923	0.0333562	0.0423965
a90	0.091093	0.164125	0.255487	0.288594	0.0949034	0.0323854	0.0321316	0.04128
a93	0.0784909	0.135307	0.249404	0.27142	0.114414	0.0471635	0.047717	0.0560839
a62	0.0779098	0.121716	0.241973	0.290354	0.132093	0.0479891	0.0417357	0.0462293
a88	0.0470377	0.0775905	0.167577	0.257917	0.20121	0.0866126	0.072116	0.0899383
a0	0.0241526	0.0511588	0.122432	0.194279	0.242802	0.163668	0.100888	0.100621
a62	0.014492	0.0229394	0.0668879	0.213161	0.293314	0.150263	0.10822	0.130724
a21	0.0149085	0.0205374	0.0514792	0.170192	0.259036	0.168402	0.139512	0.175933
a12	0.0157949	0.0179418	0.0327665	0.0784733	0.21138	0.213304	0.216614	0.213725
a61	0.00830039	0.0109448	0.0221969	0.0553535	0.18032	0.224535	0.248342	0.250008
a21	0.00434671	0.0058385	0.0125941	0.0358572	0.133911	0.214038	0.303144	0.290271
a12	0.00542959	0.00628504	0.0116138	0.02919	0.116976	0.203953	0.315589	0.310963
a31	0.00248387	0.00250661	0.00437307	0.0132286	0.064815	0.148893	0.326325	0.437375
a90	0.000968481	0.00101741	0.00170729	0.00589545	0.0366669	0.103812	0.299522	0.55041
a69	0.000366455	0.000385172	0.000787754	0.00333943	0.0254966	0.0859941	0.281038	0.602592
a44	3.5596e-05	2.97726e-05	6.81728e-05	0.000349178	0.00408143	0.0280915	0.21592	0.751424
a69	4.1766e-05	2.6352e-05	3.99238e-05	0.000126819	0.00201883	0.0266513	0.26362	0.707475
a4	1.60515e-05	1.17995e-05	2.29859e-05	9.2895e-05	0.00126012	0.014575	0.193588	0.790433
a53	0.000104736	6.41832e-05	0.000119068	0.000305551	0.00448753	0.0413407	0.283263	0.670315
a58	5.2765e-05	3.10954e-05	6.27945e-05	0.000193646	0.00345786	0.033865	0.262548	0.699789
a82	0.000922499	0.000402088	0.000613692	0.00169469	0.0143859	0.0688191	0.32214	0.591022
a3	0.20429	0.0691505	0.0329594	0.0349089	0.0367292	0.0683091	0.188021	0.365633
a99	0.171197	0.0823596	0.0502245	0.0403653	0.0449983	0.0809741	0.195938	0.333943
a87	0.0802209	0.0480115	0.0288926	0.0258983	0.0397491	0.0896583	0.245902	0.441667
a23	0.0767471	0.0444741	0.0236195	0.0194492	0.0287064	0.0864981	0.262914	0.457592
a87	0.0358964	0.0158969	0.00744099	0.0096687	0.0220488	0.0784869	0.275038	0.555523
</S>	0.00702966	0.0045103	0.00266291	0.00420994	0.0145948	0.0577905	0.247787	0.661415
