 	une	mante	religieuse	est	sur	son	habit	</S>
a38	0.295453	0.176259	0.138834	0.12585	0.0922031	0.0716783	0.0545828	0.0451405
a93	0.289639	0.145325	0.202264	0.161263	0.0850168	0.049457	0.0331283	0.0339066
a56	0.376633	0.255937	0.163929	0.0810557	0.0435988	0.027627	0.0232442	0.0279767
a35	0.45191	0.307607	0.141819	0.0583791	0.020945	0.00941729	0.00488389	0.00503862
a61	0.465077	0.333614	0.126863	0.0457638	0.0140835	0.0063325	0.00366456	0.00460105
a75	0.455239	0.291976	0.141071	0.0624642	0.0237425	0.0110189	0.00712954	0.00735881
a85	0.345956	0.277581	0.17066	0.102503	0.0462129	0.0258698	0.0162248	0.0149919
a5	0.189759	0.216337	0.187559	0.161115	0.0964302	0.0594411	0.0447294	0.0446295
a18	0.111058	0.122828	0.150867	0.183791	0.148504	0.110354	0.0914285	0.0811696
a43	0.044586	0.0324219	0.0540044	0.11468	0.183212	0.199748	0.180923	0.190425
a75	0.0252714	0.0194907	0.037698	0.0904957	0.160105	0.226668	0.225507	0.214765
a96	0.0327998	0.0317665	0.0397693	0.0678877	0.11297	0.166824	0.24264	0.305342
a61	0.0242859	0.0212981	0.0302929	0.0594202	0.135558	0.240726	0.247661	0.240757
a34	0.0119303	0.0109142	0.0166081	0.0360591	0.0973634	0.229444	0.318362	0.279318
a56	0.00818561	0.00781117	0.0134124	0.0325198	0.0815687	0.207384	0.300738	0.348381
a25	0.00553255	0.00505711	0.00872949	0.018928	0.0495673	0.154215	0.356638	0.401333
a56	0.0025213	0.00256616	0.00408133	0.00877077	0.024802	0.102325	0.31483	0.540104
a76	0.00180724	0.0018587	0.00395038	0.00821281	0.0256154	0.105635	0.328444	0.524477
a69	0.00307937	0.00338561	0.00690539	0.0143966	0.0341267	0.112631	0.311636	0.513839
a58	0.00107517	0.00131071	0.00363411	0.00949104	0.028092	0.108934	0.337513	0.509949
a75	0.000806972	0.000922798	0.00229418	0.00756106	0.0265875	0.110099	0.314732	0.536996
a6	0.00187711	0.00197417	0.00421342	0.0105565	0.0289651	0.104986	0.316975	0.530453
a37	0.00210199	0.00257306	0.00576511	0.0128267	0.0281646	0.100437	0.309158	0.538974
a96	0.00162749	0.00181325	0.003304	0.00905683	0.0251344	0.0975852	0.302519	0.558959
a75	0.00204693	0.00210099	0.00341432	0.00906653	0.0286652	0.11048	0.325848	0.518378
a36	0.00558857	0.00696877	0.010546	0.0170271	0.0300505	0.0996113	0.293608	0.5366
a26	0.00235773	0.00258603	0.00499332	0.013639	0.0356076	0.122439	0.297262	0.521115
a3	0.0435484	0.0315546	0.040181	0.0567529	0.0838824	0.139124	0.269107	0.33585
a82	0.140743	0.0758355	0.0685783	0.0878297	0.0989916	0.157172	0.193276	0.177574
a84	0.0895444	0.0526796	0.0485706	0.0751046	0.114797	0.189439	0.223784	0.20608
a57	0.0842015	0.0463464	0.0534583	0.0869162	0.108106	0.153698	0.207122	0.260151
a87	0.0913043	0.0483662	0.0554512	0.0763831	0.0861588	0.130166	0.208338	0.303833
a23	0.112688	0.0652676	0.079172	0.0934102	0.0887157	0.121538	0.178676	0.260532
a99	0.0269324	0.0211223	0.0341105	0.0657459	0.0976822	0.174094	0.263186	0.317127
a87	0.0955309	0.0445281	0.0594232	0.0817678	0.0956802	0.14156	0.204838	0.276672
</S>	0.0866426	0.0369016	0.046596	0.0691602	0.0786742	0.124872	0.21179	0.345363
