 	l'	enfant	souffle	dans	l'	oreille	de	son	ami	</S>
a66	0.47602	0.221668	0.0807987	0.0549997	0.0645131	0.0345152	0.0202365	0.0156278	0.0151886	0.0164325
a87	0.346874	0.184429	0.123391	0.0978664	0.0821437	0.0457152	0.0323064	0.0261118	0.0318223	0.0293401
a23	0.359831	0.256865	0.128645	0.0587362	0.0439977	0.0302001	0.0301019	0.0236405	0.0341	0.0338831
a54	0.197622	0.131043	0.144439	0.0957392	0.0708579	0.0495682	0.0733875	0.0591768	0.0904186	0.0877479
a92	0.324442	0.265876	0.153379	0.0867006	0.0555486	0.0315038	0.026185	0.0191334	0.0198312	0.0173999
a47	0.275668	0.255868	0.17384	0.124831	0.0715437	0.032525	0.0244693	0.0146608	0.0140404	0.0125528
a37	0.204076	0.235834	0.204982	0.153266	0.0803995	0.0358754	0.0287751	0.0192091	0.0192085	0.0183742
a90	0.155921	0.169681	0.226244	0.188209	0.099066	0.0477371	0.033632	0.0255986	0.0264164	0.027494
a25	0.0934113	0.112371	0.163677	0.214218	0.152551	0.0746929	0.0501066	0.0422896	0.0462467	0.0504355
a98	0.0660966	0.0967024	0.169069	0.221358	0.161262	0.0704679	0.0548362	0.0445866	0.0568904	0.0587307
a47	0.0612029	0.0908979	0.156651	0.198018	0.158951	0.0724274	0.057689	0.0537658	0.0717627	0.0786345
a36	0.0603327	0.0954252	0.124659	0.15176	0.159968	0.0813583	0.0688082	0.0704879	0.0916773	0.0955232
a0	0.0191158	0.0297476	0.0607027	0.106694	0.137751	0.0833994	0.0884824	0.112204	0.166641	0.195262
a37	0.0229536	0.0262956	0.040715	0.0805778	0.148781	0.0999328	0.0947331	0.1152	0.173897	0.196914
a93	0.0184671	0.0177859	0.027744	0.0591903	0.134333	0.120875	0.112011	0.133422	0.174417	0.201755
a4	0.0101066	0.010336	0.0173202	0.0364607	0.0874036	0.113072	0.149908	0.17872	0.192626	0.204048
a62	0.00666743	0.00741748	0.010146	0.0177758	0.0411922	0.0696566	0.108028	0.18595	0.249584	0.303583
a21	0.00766206	0.00883174	0.00978728	0.0142311	0.0273867	0.0495986	0.0748726	0.14964	0.278605	0.379385
a5	0.00497418	0.00601961	0.00615714	0.00763703	0.0142295	0.0302438	0.0582903	0.137143	0.296404	0.438901
a43	0.00117443	0.00161593	0.00220057	0.00402966	0.00988009	0.0276677	0.0774707	0.18083	0.30371	0.391421
a31	0.00143364	0.00210463	0.00279239	0.00412391	0.00917736	0.0246601	0.0602714	0.149909	0.319663	0.425865
a88	0.00114029	0.00173601	0.00220921	0.00304809	0.00607351	0.0152112	0.0454124	0.138534	0.325572	0.461063
a71	0.00149685	0.00228552	0.00248629	0.00271232	0.00564271	0.0180738	0.0592552	0.144633	0.31874	0.444674
a0	0.0244872	0.0219926	0.0192945	0.019357	0.032565	0.0617398	0.118217	0.175814	0.238303	0.28823
a62	0.0274611	0.0224634	0.0203194	0.02045	0.0347815	0.0649505	0.122462	0.183085	0.237802	0.266225
a88	0.00418996	0.00515795	0.00529927	0.00595695	0.0122276	0.0348902	0.0950789	0.183526	0.300467	0.353207
a71	0.00821371	0.00928138	0.00928263	0.0110433	0.0212664	0.0477769	0.104243	0.182549	0.275663	0.33068
a9	0.0438323	0.0306833	0.0276757	0.0329892	0.0571221	0.086006	0.14257	0.172369	0.199822	0.20693
a87	0.212015	0.111461	0.0888587	0.0640811	0.0830452	0.0692819	0.0855731	0.0881254	0.0963999	0.101158
a23	0.18813	0.142773	0.121503	0.0844077	0.0988225	0.0585193	0.0608258	0.066955	0.0820244	0.0960388
a99	0.0312787	0.0290276	0.0281005	0.0320117	0.0433581	0.0407583	0.0871592	0.144503	0.257455	0.306348
a84	0.0387335	0.0285714	0.0268041	0.0332635	0.051955	0.0521267	0.101122	0.152196	0.242744	0.272484
</S>	0.0071543	0.00771743	0.0104402	0.0193797	0.0330716	0.0391661	0.0835014	0.158923	0.289007	0.351639
