 	c'	est	lui	l'	assassin	</S>
a23	0.52605	0.278013	0.100447	0.0411582	0.0310334	0.0232978
a79	0.31773	0.262485	0.177539	0.111562	0.0712314	0.0594525
a69	0.488473	0.25372	0.134346	0.0565571	0.0368062	0.0300969
a58	0.475094	0.277145	0.155586	0.0585965	0.0219071	0.0116706
a53	0.278222	0.269219	0.252661	0.136879	0.0423448	0.0206745
a76	0.196568	0.233806	0.231242	0.16083	0.0975296	0.0800246
a94	0.229397	0.25377	0.222336	0.149913	0.0876653	0.0569185
a24	0.147601	0.181354	0.207371	0.198206	0.150717	0.11475
a9	0.133782	0.153254	0.194096	0.206725	0.176875	0.135269
a24	0.0636009	0.0786916	0.134772	0.189797	0.27236	0.260779
a94	0.0713456	0.0770608	0.125072	0.16591	0.251748	0.308864
a90	0.077605	0.0895123	0.123647	0.160313	0.238321	0.310602
a76	0.0649512	0.0726333	0.104506	0.156303	0.24568	0.355927
a20	0.0541898	0.046013	0.0527744	0.0903366	0.238756	0.51793
a84	0.0534317	0.0420628	0.045947	0.0748407	0.22329	0.560427
a57	0.0136109	0.00951669	0.0138043	0.0314278	0.158695	0.772945
a87	0.0229943	0.0103506	0.00982515	0.0176938	0.0965028	0.842633
</S>	0.0262973	0.0127818	0.0135744	0.0303148	0.139568	0.777463
