 	il	est	brimé	par	son	chef	</S>
a85	0.345314	0.287238	0.163508	0.0744004	0.0508435	0.0417141	0.0369818
a87	0.3478	0.220598	0.14934	0.122132	0.0714889	0.0465897	0.0420517
a23	0.25156	0.168065	0.186493	0.132848	0.0906561	0.0785292	0.0918485
a87	0.212556	0.17019	0.233871	0.107073	0.0608051	0.089479	0.126026
a23	0.189519	0.156379	0.204591	0.147274	0.0946624	0.0965185	0.111057
a79	0.172486	0.141411	0.215906	0.127309	0.0922022	0.115396	0.135289
a58	0.281844	0.284626	0.314464	0.0540471	0.0215734	0.0199578	0.0234869
a53	0.184073	0.241573	0.424809	0.100367	0.0236822	0.0127596	0.0127368
a69	0.183046	0.21986	0.391214	0.113746	0.0370425	0.0251405	0.0299513
a94	0.190329	0.232426	0.301466	0.11231	0.0593572	0.0476974	0.0564149
a75	0.213934	0.259808	0.291968	0.119972	0.0496564	0.0312318	0.0334305
a35	0.193709	0.243799	0.288333	0.137631	0.0636769	0.0377994	0.0350504
a43	0.197294	0.210831	0.195103	0.164425	0.10887	0.0659242	0.0575534
a11	0.173053	0.176426	0.175697	0.199981	0.13274	0.0740258	0.0680772
a24	0.134162	0.124129	0.120826	0.186702	0.16953	0.130515	0.134137
a41	0.0817448	0.0730415	0.0770119	0.120503	0.16668	0.221499	0.259519
a24	0.0659734	0.0589634	0.0596357	0.098732	0.165319	0.250682	0.300695
a90	0.0420275	0.0354705	0.0420035	0.0694196	0.126754	0.268228	0.416097
a76	0.0604494	0.0480739	0.0456627	0.0897788	0.165197	0.262032	0.328806
a73	0.0344666	0.0306849	0.0265727	0.0498606	0.13914	0.318505	0.40077
a84	0.019509	0.0144399	0.0128001	0.0309756	0.0970434	0.323529	0.501703
a57	0.0103314	0.00647567	0.0067766	0.019547	0.0678919	0.275995	0.612982
a87	0.0187658	0.0094749	0.00812549	0.0180886	0.0612303	0.267821	0.616494
</S>	0.0154819	0.0105609	0.00977259	0.0321536	0.10724	0.278815	0.545976
