 	la	patate	douce	est	sucrée	</S>
a85	0.424669	0.272855	0.19275	0.0458538	0.0305814	0.0332915
a66	0.254428	0.190562	0.239466	0.124134	0.100474	0.0909348
a87	0.342087	0.261031	0.13552	0.0660402	0.0966662	0.0986557
a23	0.332481	0.296191	0.198208	0.0782238	0.0553866	0.0395096
a79	0.17545	0.171589	0.26248	0.192795	0.116501	0.0811856
a56	0.1808	0.195164	0.22913	0.137694	0.138465	0.118747
a62	0.254622	0.267436	0.158204	0.108995	0.123845	0.086898
a21	0.187514	0.216207	0.164968	0.113279	0.176009	0.142023
a5	0.122813	0.169795	0.139336	0.0977843	0.238013	0.232258
a23	0.114319	0.163883	0.144688	0.100238	0.21743	0.259443
a90	0.110161	0.139636	0.133508	0.087992	0.222043	0.306661
a44	0.153295	0.160912	0.133372	0.0838545	0.182113	0.286454
a12	0.0928151	0.0911579	0.0882802	0.08176	0.233226	0.412761
a21	0.0160661	0.0277973	0.0568765	0.0935804	0.29806	0.50762
a12	0.00820252	0.0124699	0.0312947	0.0815621	0.28847	0.578001
a62	0.00314916	0.00599089	0.0151587	0.0786624	0.300131	0.596908
a21	0.00218056	0.00389674	0.0104508	0.0970827	0.321316	0.565073
a47	0.00463072	0.00741157	0.015688	0.0966527	0.317039	0.558578
a88	0.00350415	0.00639645	0.0167274	0.121258	0.311552	0.540562
a71	0.00234154	0.00359587	0.011058	0.137424	0.313148	0.532432
a82	0.0667799	0.0634402	0.121387	0.213654	0.223655	0.311084
a87	0.202483	0.189476	0.184156	0.134091	0.129737	0.160055
a23	0.197057	0.203694	0.16076	0.113377	0.144173	0.180939
a87	0.084522	0.0779924	0.0575822	0.105562	0.279447	0.394895
</S>	0.00519596	0.00658025	0.0112618	0.059038	0.324599	0.593325
