 	cette	femme	couvre	le	foufou	qui	est	sur	le	séchoir	</S>
a87	0.166459	0.134783	0.117225	0.0969824	0.108587	0.105308	0.121599	0.0960262	0.0332915	0.0112472	0.00849173
a23	0.299451	0.134326	0.0961565	0.058939	0.0514693	0.0400666	0.0561986	0.0712794	0.0697154	0.0569878	0.06541
a87	0.127661	0.0972209	0.104841	0.113843	0.119597	0.0943775	0.0918516	0.0818938	0.0474345	0.0402093	0.0810691
a10	0.145728	0.110645	0.100568	0.136058	0.140188	0.115262	0.0904567	0.0651443	0.0344985	0.0246691	0.0367825
a87	0.21809	0.154378	0.104351	0.131162	0.0958959	0.0694414	0.0606537	0.0589053	0.0401757	0.0285615	0.038387
a23	0.188646	0.133811	0.0974281	0.110148	0.0882907	0.0786549	0.0822157	0.0864547	0.0576501	0.0371986	0.0395031
a87	0.186095	0.156422	0.113786	0.150583	0.089244	0.0533925	0.0436343	0.0557418	0.0497855	0.039944	0.061372
a53	0.143435	0.126062	0.103856	0.148398	0.101182	0.0735237	0.0638671	0.0768227	0.0653289	0.043759	0.0537657
a93	0.197183	0.229314	0.173746	0.121	0.0712314	0.047194	0.0297169	0.0308094	0.0263651	0.0247407	0.0487
a34	0.144322	0.211807	0.155578	0.17865	0.0898808	0.0624933	0.0343679	0.0286977	0.02691	0.0240086	0.0432852
a75	0.10154	0.168917	0.143144	0.210041	0.118492	0.0843268	0.0435362	0.0305372	0.0280796	0.0287382	0.0426483
a56	0.0811533	0.139942	0.12249	0.202874	0.133118	0.107086	0.0638333	0.0434978	0.0301501	0.0275379	0.0483175
a25	0.0698923	0.10762	0.0985065	0.209415	0.1519	0.126799	0.0715789	0.0479345	0.0357101	0.0328519	0.0477909
a98	0.0605087	0.0907037	0.109938	0.172014	0.145071	0.135339	0.100718	0.0740112	0.0502082	0.0289022	0.032586
a85	0.0629344	0.0813489	0.100831	0.186841	0.168143	0.142221	0.0909001	0.0574665	0.0378262	0.0295204	0.0419662
a18	0.0617252	0.0682094	0.0967492	0.166715	0.164578	0.14343	0.100987	0.0655753	0.0450969	0.0368998	0.050034
a62	0.0627251	0.0666635	0.0933694	0.154818	0.198026	0.178573	0.124616	0.0638693	0.0254969	0.0142178	0.0176257
a83	0.0598358	0.0587947	0.0705796	0.104091	0.180522	0.191694	0.159107	0.0865087	0.0375389	0.0237373	0.0275913
a98	0.0434843	0.046329	0.0523615	0.088787	0.173755	0.184038	0.150686	0.0898046	0.0512545	0.0460449	0.0734551
a44	0.0503563	0.0522765	0.0562268	0.0691586	0.126635	0.143661	0.142598	0.0970547	0.0777489	0.0744322	0.109853
a11	0.0404491	0.0430287	0.0465799	0.0686978	0.123521	0.142206	0.143638	0.0994283	0.0758423	0.075674	0.140935
a75	0.0262142	0.029622	0.0294907	0.0487153	0.0912385	0.11422	0.130384	0.111028	0.10196	0.106747	0.210381
a47	0.0565085	0.0567026	0.0480963	0.0476799	0.0625659	0.0633138	0.0730666	0.0626651	0.0766003	0.15936	0.293441
a83	0.0426918	0.0404361	0.0423895	0.0463048	0.067042	0.070038	0.0952679	0.0971346	0.138096	0.148106	0.212493
a50	0.0185458	0.0176759	0.0168531	0.0227747	0.04063	0.0425203	0.0510689	0.0588103	0.133142	0.198008	0.399971
a62	0.0117999	0.0130163	0.0155506	0.0188175	0.0336591	0.037812	0.0473255	0.059084	0.149903	0.240425	0.372607
a47	0.0116053	0.0102619	0.0104686	0.0124854	0.0205446	0.023434	0.0298857	0.0393401	0.123391	0.31642	0.402164
a62	0.00560919	0.00604188	0.0075454	0.00830435	0.0147339	0.0179539	0.0245837	0.0350671	0.115472	0.353216	0.411473
a9	0.00742216	0.00623197	0.00561889	0.00674171	0.0113056	0.0132232	0.0161372	0.0216577	0.0785131	0.32626	0.506888
a75	0.0046725	0.00499616	0.00637619	0.0058541	0.00863052	0.00850363	0.0124644	0.0179325	0.0714858	0.304869	0.554215
a85	0.00667922	0.00446311	0.00319566	0.00420483	0.00664746	0.00794647	0.00967593	0.015484	0.0561213	0.252656	0.632926
a47	0.0146354	0.0115483	0.00853006	0.0136382	0.0186965	0.0199776	0.0181133	0.0216801	0.0589937	0.284077	0.53011
a6	0.00518946	0.00328329	0.00261665	0.00338634	0.00516047	0.0052196	0.00667449	0.0111707	0.0526014	0.327383	0.577314
a36	0.00255985	0.00227332	0.00167304	0.00159807	0.00205304	0.00212123	0.00298927	0.00582238	0.0339267	0.283559	0.661424
a57	0.00208006	0.00195272	0.00217495	0.00195229	0.0024293	0.00175815	0.00194017	0.00356368	0.0251967	0.253899	0.703053
a87	0.0274713	0.0183406	0.0165883	0.013794	0.0123134	0.00788061	0.0086081	0.0146202	0.0604684	0.267914	0.552001
a23	0.1176	0.0896232	0.100215	0.0743971	0.0594196	0.040444	0.0636504	0.0982286	0.11933	0.108464	0.128628
a87	0.0366504	0.0301285	0.0258439	0.0287744	0.0304728	0.0302615	0.0556038	0.098767	0.162599	0.208032	0.292866
a23	0.00831019	0.00801983	0.0099394	0.012804	0.0220908	0.0202889	0.029149	0.0447694	0.0986716	0.273503	0.472455
a97	0.0145511	0.0146111	0.0143534	0.017329	0.0233434	0.0196698	0.027254	0.0405584	0.0884675	0.259803	0.480059
</S>	0.00679876	0.00778878	0.00978444	0.0119192	0.0156044	0.0124648	0.0154119	0.0227561	0.0525899	0.2116	0.633281
