 	beatsanyi	presse	les	mamelles	avant	de	faire	têter	l'	enfant	</S>
a82	0.131206	0.117767	0.111261	0.0970868	0.115112	0.142395	0.100405	0.0712297	0.0421843	0.0365953	0.0347575
a38	0.248789	0.153278	0.119299	0.114008	0.065828	0.0579617	0.0464005	0.0464432	0.0475143	0.0492915	0.0511856
a9	0.435265	0.137823	0.0786442	0.0875186	0.0614044	0.0424327	0.0305017	0.0259731	0.0245524	0.0309401	0.0449452
a38	0.448686	0.158481	0.104908	0.0970262	0.0572845	0.0335452	0.0226482	0.0191941	0.0181141	0.0187863	0.0213263
a21	0.338068	0.146072	0.0975718	0.126247	0.0643575	0.0461722	0.0312995	0.0321289	0.0349765	0.0395903	0.0435161
a85	0.349357	0.220638	0.128113	0.156087	0.0485353	0.027996	0.0175056	0.0124632	0.0123092	0.013106	0.0138893
a41	0.281554	0.215946	0.178031	0.158167	0.050078	0.0318243	0.0232765	0.0138905	0.0126899	0.0147508	0.0197922
a36	0.165407	0.190721	0.2092	0.236968	0.0732087	0.0407259	0.0286332	0.015349	0.0125093	0.011891	0.0153864
a75	0.131495	0.138746	0.19121	0.283695	0.0878586	0.0522827	0.0369746	0.0197839	0.0166364	0.0169421	0.0243752
a85	0.128955	0.14283	0.166212	0.264834	0.0928336	0.0621099	0.0423164	0.0233003	0.0198435	0.0221572	0.0346078
a5	0.0535262	0.0763389	0.119034	0.250501	0.179372	0.111476	0.0701728	0.0355464	0.025708	0.0292194	0.0491063
a12	0.0594229	0.124432	0.162367	0.225639	0.143513	0.0849902	0.0547842	0.0341615	0.0282001	0.0320238	0.0504668
a21	0.0470697	0.0882879	0.125137	0.159756	0.152471	0.0989665	0.0746071	0.0564534	0.0466693	0.055343	0.0952396
a85	0.0530637	0.0905683	0.123702	0.130391	0.16021	0.110973	0.084532	0.0618149	0.0465006	0.0511788	0.0870658
a36	0.0397729	0.0642925	0.0968412	0.12089	0.160879	0.111098	0.100605	0.0825814	0.0587835	0.064465	0.0997918
a61	0.0178693	0.0180633	0.0304502	0.0449802	0.131628	0.152237	0.122206	0.107841	0.0886619	0.107402	0.178662
a21	0.0120742	0.014062	0.0221582	0.0313965	0.101566	0.148008	0.127558	0.121602	0.0966347	0.115076	0.209866
a85	0.01158	0.0152807	0.0221469	0.0254387	0.096334	0.151568	0.143481	0.120521	0.0937109	0.108789	0.21115
a36	0.0136755	0.0144902	0.0177057	0.0231369	0.0780917	0.118654	0.139889	0.146222	0.123165	0.133998	0.190973
a37	0.0189039	0.0144902	0.0215979	0.0271604	0.0754739	0.115268	0.123877	0.134242	0.0973675	0.119604	0.252016
a21	0.015551	0.0119983	0.0183397	0.0241971	0.0607596	0.0924046	0.106866	0.146202	0.120451	0.135685	0.267546
a92	0.00728436	0.00922851	0.0109688	0.011644	0.0458798	0.0895252	0.119995	0.133634	0.125188	0.160594	0.286058
a56	0.00345173	0.00425073	0.00515158	0.00750653	0.036676	0.0715578	0.100651	0.122405	0.132718	0.191687	0.323944
a70	0.00355393	0.00420049	0.00589485	0.00864962	0.0295402	0.0576933	0.0901295	0.144075	0.145002	0.183586	0.327674
a93	0.00210517	0.00197023	0.00354851	0.00561563	0.016658	0.0358952	0.0561606	0.135145	0.162883	0.208033	0.371986
a96	0.00246006	0.00196966	0.00373882	0.00539569	0.0149096	0.0330211	0.0522561	0.131757	0.171632	0.229432	0.353427
a0	0.000982864	0.00103629	0.00174958	0.00282685	0.00963763	0.020123	0.0320023	0.0956036	0.166092	0.273522	0.396424
a56	0.000756321	0.000813926	0.0013992	0.00247034	0.00825516	0.0166979	0.0249933	0.08159	0.158663	0.281284	0.423076
a70	0.000339012	0.00035475	0.000603846	0.00113459	0.00522192	0.0112597	0.0197102	0.0563542	0.121788	0.274732	0.508502
a62	0.000314113	0.000335421	0.000537551	0.00111121	0.00495862	0.0102038	0.0162833	0.0574781	0.130568	0.286356	0.491853
a83	0.000372485	0.000487798	0.000665175	0.00139108	0.00535628	0.0113295	0.0185917	0.0673682	0.146272	0.287604	0.460562
a21	0.000294262	0.000364603	0.000505233	0.00110941	0.00527752	0.0135619	0.0237949	0.0762687	0.149355	0.283612	0.445856
a75	0.00025033	0.000269932	0.000426571	0.000871931	0.00485968	0.01064	0.0199587	0.0633347	0.125605	0.244533	0.52925
a85	0.000126112	0.000126624	0.000186053	0.000576628	0.00388141	0.00878508	0.0147615	0.0487867	0.107618	0.239892	0.57526
a15	0.000148803	0.00010342	0.000159797	0.000621887	0.00299445	0.00669858	0.0126524	0.0425045	0.0976657	0.241761	0.594689
a37	0.000729566	0.000519672	0.000626717	0.00182369	0.00490128	0.00865426	0.0140074	0.0503008	0.106898	0.250711	0.560827
a54	0.00129023	0.000964585	0.00132786	0.00338882	0.0086179	0.0122905	0.0164053	0.0600384	0.115725	0.254978	0.524973
a6	0.000226147	0.000207596	0.00030419	0.00110736	0.00351579	0.00576624	0.00867424	0.0346812	0.0976809	0.272091	0.575745
a37	0.000240464	0.000197894	0.000271865	0.000880832	0.00267002	0.0044521	0.0067733	0.0271263	0.0820775	0.256505	0.618805
a26	0.000713727	0.000679025	0.000886157	0.00253122	0.00635702	0.00905484	0.0119139	0.0401162	0.0935594	0.261524	0.572664
a38	0.0182631	0.0136131	0.0127425	0.0248667	0.0553302	0.0658894	0.0682093	0.10894	0.148718	0.20905	0.274377
a9	0.013769	0.00788246	0.00858442	0.0214072	0.0420191	0.0449316	0.0464435	0.0686511	0.119706	0.234629	0.391977
a30	0.0410742	0.0258716	0.0200269	0.0315215	0.0456412	0.0432985	0.0457197	0.0770307	0.120864	0.218302	0.33065
a27	0.159839	0.0674048	0.0334628	0.0332137	0.0346057	0.0349597	0.0400295	0.0690587	0.110199	0.174179	0.243047
a2	0.154247	0.0673617	0.0341565	0.026697	0.0271017	0.0365278	0.0475269	0.0706895	0.115294	0.178571	0.241827
</S>	0.108842	0.0408434	0.0232599	0.0272343	0.0471882	0.0506297	0.0515856	0.0614011	0.105363	0.186246	0.297406
