 	après	la	pluie	l'	eau	de	la	rivière	est	trouble	</S>
a66	0.136209	0.120233	0.123325	0.133564	0.148019	0.105589	0.0970505	0.0753772	0.0386317	0.0136988	0.00830263
a87	0.17214	0.135359	0.0939895	0.0872828	0.0798918	0.0785519	0.0924054	0.12934	0.0744665	0.0326545	0.0239184
a23	0.253383	0.178938	0.142601	0.128414	0.100714	0.0611318	0.0436743	0.0397221	0.0236785	0.0139673	0.013776
a79	0.245369	0.155564	0.114199	0.108306	0.0857389	0.0786932	0.0711607	0.0656854	0.0384395	0.0199105	0.0169337
a4	0.26527	0.165201	0.109133	0.0978439	0.0792378	0.0622616	0.0695473	0.063293	0.0364872	0.0279436	0.0237816
a70	0.253862	0.185241	0.120779	0.117966	0.107968	0.067561	0.0538388	0.0319419	0.0233494	0.0215217	0.0159716
a53	0.175612	0.158563	0.124077	0.12708	0.123357	0.0923515	0.0732291	0.0487668	0.0353759	0.0250692	0.0165186
a56	0.144775	0.142889	0.116303	0.123409	0.124803	0.100458	0.0879669	0.0660708	0.0446882	0.0280836	0.0205533
a75	0.143436	0.136611	0.10846	0.116456	0.121037	0.105931	0.0928821	0.0749928	0.0471779	0.0297071	0.0233082
a92	0.0903552	0.0865434	0.0784041	0.0944983	0.111391	0.126824	0.128866	0.12325	0.0792938	0.0435193	0.0370543
a37	0.0790392	0.0788192	0.0760759	0.0888972	0.107648	0.128679	0.135869	0.132543	0.0864846	0.0434065	0.0425388
a90	0.0942064	0.090002	0.0940169	0.108636	0.127649	0.137583	0.130812	0.112584	0.0560802	0.0239538	0.0244774
a98	0.0776953	0.0785739	0.0940384	0.106397	0.130545	0.142524	0.137564	0.11389	0.0586631	0.0272804	0.0328289
a47	0.0339111	0.0393871	0.0563881	0.0715055	0.103174	0.150097	0.154723	0.152427	0.113258	0.0635059	0.0616229
a36	0.021847	0.0248803	0.052455	0.0697331	0.112804	0.158169	0.160401	0.125514	0.0852421	0.0738532	0.1151
a7	0.0260691	0.0236517	0.0477658	0.0710872	0.121792	0.183583	0.157023	0.114317	0.0631879	0.0568187	0.134704
a2	0.0303162	0.0251515	0.0391612	0.0557343	0.090862	0.149823	0.149495	0.137999	0.0755917	0.0688481	0.177018
a57	0.0501057	0.046834	0.0609254	0.0754311	0.104524	0.14388	0.146417	0.162108	0.0868434	0.0544752	0.068456
a87	0.0496235	0.045684	0.0602545	0.0779878	0.106959	0.13494	0.134709	0.167087	0.104	0.0590472	0.0597077
a23	0.071582	0.0556594	0.0669475	0.084976	0.0988512	0.0976128	0.0876018	0.116033	0.119401	0.0913482	0.109987
a83	0.0305367	0.0235198	0.0352538	0.0464498	0.056805	0.071289	0.068143	0.0983378	0.126472	0.16267	0.280523
a54	0.0070733	0.00640857	0.0120677	0.0195116	0.0282242	0.0424557	0.0555464	0.0799275	0.126764	0.266089	0.355932
a47	0.0144498	0.0151679	0.0247124	0.035525	0.0539572	0.0754183	0.0885694	0.107444	0.131032	0.198475	0.255249
a92	0.00776058	0.00863634	0.0147892	0.0203239	0.0298485	0.0433249	0.0549284	0.0715842	0.128113	0.280889	0.339802
a6	0.0129476	0.0129313	0.0235356	0.0329217	0.0511659	0.0676592	0.0767484	0.0793186	0.113861	0.225196	0.303714
a36	0.0131769	0.0121858	0.0209143	0.0288831	0.048324	0.0669912	0.0729713	0.0714623	0.0944898	0.220426	0.350176
a75	0.00790413	0.00699459	0.0118225	0.0161382	0.0289471	0.0498771	0.0541775	0.0569003	0.074688	0.228332	0.464219
