 	elle	a	une	belle	plantation	</S>
a23	0.403303	0.17506	0.0803891	0.059484	0.0976762	0.184087
a79	0.239409	0.136391	0.108965	0.1563	0.177577	0.181357
a20	0.323459	0.2078	0.136191	0.108685	0.100105	0.123761
a41	0.441423	0.327439	0.137202	0.0552242	0.0244304	0.0142816
a26	0.437715	0.319981	0.137449	0.0556289	0.0304722	0.0187535
a24	0.426973	0.292886	0.137987	0.0670616	0.0437451	0.031347
a35	0.333694	0.266812	0.167309	0.0994677	0.0792159	0.0535012
a98	0.273727	0.240395	0.177169	0.129421	0.111657	0.0676313
a14	0.230411	0.209843	0.175229	0.142166	0.140149	0.102202
a94	0.142645	0.142083	0.154541	0.162551	0.210442	0.187739
a84	0.0839879	0.0867377	0.108295	0.149979	0.265656	0.305344
a58	0.0301869	0.036262	0.0561526	0.143447	0.29968	0.434272
a53	0.0229726	0.0270711	0.0418379	0.118781	0.289332	0.500006
a76	0.01962	0.0250486	0.0473025	0.128908	0.281902	0.497219
a73	0.0221406	0.0310064	0.0635595	0.146333	0.22323	0.51373
a35	0.00939125	0.015668	0.0381883	0.113829	0.211819	0.611104
a66	0.00854577	0.0134293	0.0331751	0.105777	0.207076	0.631997
a38	0.00611154	0.00861202	0.0206476	0.0827583	0.204121	0.67775
a41	0.0119826	0.0156198	0.0328162	0.0932225	0.197682	0.648677
a25	0.00718965	0.0115252	0.0265271	0.0846561	0.193433	0.676669
a87	0.006156	0.0106536	0.024653	0.0799272	0.190483	0.688127
</S>	0.0134337	0.019617	0.0375596	0.100555	0.240293	0.588542
