 	l'	hameçon	que	j'	ai	acheté	a	disparu	</S>
a66	0.331951	0.139371	0.067274	0.0540091	0.0631603	0.107377	0.121944	0.073932	0.0409815
a87	0.326928	0.20395	0.137176	0.114746	0.0745899	0.0728933	0.0384638	0.0202083	0.011044
a23	0.351167	0.345969	0.169799	0.0584081	0.0231886	0.0173867	0.012666	0.0120896	0.00932574
a87	0.288582	0.417493	0.163496	0.0671186	0.0195081	0.0115554	0.00779601	0.0114817	0.012969
a23	0.329511	0.351464	0.15413	0.0768428	0.0295718	0.01952	0.0117438	0.0134954	0.0137214
a83	0.311609	0.317665	0.124896	0.0850326	0.0383503	0.032006	0.0264673	0.0311291	0.0328444
a34	0.261249	0.344672	0.162231	0.090605	0.0451456	0.0367049	0.0259742	0.0193738	0.0140445
a54	0.140558	0.313778	0.203023	0.161839	0.0855919	0.0428666	0.0218628	0.0170923	0.0133887
a79	0.107182	0.265477	0.173969	0.159342	0.122111	0.0748644	0.0445191	0.030827	0.0217077
a90	0.0617862	0.20365	0.178384	0.189201	0.169727	0.0927973	0.0485393	0.0325105	0.0234045
a92	0.0431413	0.0923665	0.120761	0.196431	0.215921	0.137323	0.077436	0.0642123	0.0524077
a75	0.0322191	0.0601952	0.0981246	0.163532	0.208988	0.165054	0.11398	0.0879682	0.0699387
a31	0.0275699	0.0308441	0.0599898	0.112917	0.186691	0.197033	0.158701	0.127136	0.0991179
a43	0.0161033	0.0113401	0.0186221	0.0444326	0.105095	0.173737	0.19546	0.20824	0.226971
a75	0.0145937	0.0106013	0.0161368	0.0331727	0.0692828	0.130513	0.190092	0.257575	0.278032
a61	0.00391445	0.00245958	0.00444999	0.00986849	0.0270965	0.100371	0.249339	0.322249	0.280253
a47	0.00227244	0.00133195	0.00209387	0.00372127	0.00869337	0.0352554	0.146514	0.351678	0.448439
a31	0.00309744	0.00177172	0.00207658	0.00255131	0.00479854	0.0191976	0.0998694	0.326935	0.539703
a62	0.00133786	0.00104362	0.00168041	0.00245271	0.00473652	0.0170278	0.0979631	0.330586	0.543172
a31	0.000756115	0.000663188	0.000999758	0.00146957	0.00278628	0.00984358	0.0657067	0.315841	0.601933
a21	0.000498421	0.00043886	0.000693867	0.00114183	0.00241329	0.0083492	0.0553673	0.278429	0.652669
a61	0.000517096	0.000406176	0.000636768	0.000878408	0.00176259	0.0061359	0.0362339	0.224766	0.728663
a37	0.000260853	0.000194657	0.000371404	0.000625326	0.00138499	0.00513598	0.0341303	0.228919	0.728977
a26	0.00201103	0.00121255	0.00170316	0.00215534	0.0039927	0.0111977	0.054605	0.240918	0.682205
a57	0.0461412	0.024249	0.0213431	0.0159913	0.020425	0.0314304	0.0778077	0.20546	0.557152
a87	0.132063	0.0745732	0.0523281	0.0324079	0.0339389	0.0471402	0.0888908	0.179131	0.359527
a23	0.311976	0.187644	0.0998282	0.0444173	0.0341813	0.0391705	0.0602365	0.0952213	0.127325
a87	0.0882319	0.0796431	0.0670886	0.030268	0.0178676	0.0294236	0.0746168	0.225426	0.387435
</S>	0.0113035	0.0174392	0.0183238	0.012858	0.0104637	0.0237785	0.0898706	0.303636	0.512327
