 	le	ruisseau	vouma	est	devenu	large	et	profond	en	plusieurs	endroits	à	cause	des	barrages	à	nasses	</S>
a15	0.107001	0.0893972	0.0973489	0.0956057	0.130946	0.159897	0.0989819	0.0804012	0.0462155	0.0334529	0.0139511	0.010854	0.00842724	0.00630061	0.00485222	0.00516126	0.00544844	0.00575771
a66	0.307973	0.164063	0.0946231	0.0390019	0.0344312	0.039588	0.0281999	0.0277059	0.017671	0.0234482	0.0192212	0.020937	0.0213334	0.0257297	0.029616	0.0326228	0.0366435	0.0371911
a87	0.394759	0.213332	0.116582	0.0622417	0.0453402	0.0283544	0.0105823	0.0120208	0.00752917	0.00778011	0.0075751	0.00722583	0.00752445	0.0085292	0.0113487	0.0157375	0.0197189	0.0238189
a23	0.316568	0.217456	0.135043	0.0679669	0.0469203	0.0262915	0.016759	0.0216165	0.018881	0.0181391	0.0124085	0.00983904	0.00929263	0.0102255	0.0136	0.0192282	0.0201004	0.0196647
a30	0.278391	0.186795	0.0976656	0.0410421	0.0320054	0.0207712	0.0202437	0.0256431	0.0226534	0.0241484	0.0176714	0.0147651	0.0159734	0.0193572	0.0273443	0.0470327	0.052046	0.0564513
a53	0.19812	0.142939	0.127235	0.0683045	0.0568855	0.0638993	0.0479361	0.0328022	0.0259672	0.0326213	0.0211365	0.015442	0.0142422	0.0164131	0.0215741	0.036698	0.0390055	0.0387775
a44	0.259829	0.208279	0.159153	0.0687823	0.0453664	0.0541655	0.0238963	0.014086	0.00802703	0.0109889	0.00895086	0.00759852	0.00977526	0.0118973	0.0170599	0.0274134	0.0315555	0.033176
a98	0.192593	0.190027	0.136608	0.0921986	0.0656374	0.0563531	0.0266887	0.0226788	0.0134222	0.0167083	0.012687	0.0102334	0.0129382	0.0159957	0.022876	0.0356504	0.0384079	0.0382967
a79	0.114873	0.108748	0.0834945	0.0641555	0.0558276	0.0836683	0.0446597	0.0378314	0.0224569	0.0288751	0.0234855	0.0214844	0.0266013	0.0312748	0.0425034	0.0616685	0.0717399	0.0766526
a92	0.0824513	0.0863251	0.0895066	0.0853538	0.0730586	0.0887095	0.0445207	0.0390114	0.0207424	0.0251357	0.02141	0.0213271	0.0276803	0.032273	0.0437614	0.0624908	0.0729895	0.0832525
a85	0.0994576	0.0937082	0.0830639	0.0799371	0.0642909	0.0763613	0.0465117	0.0449971	0.0212099	0.0223151	0.0215892	0.0218008	0.0285658	0.0332254	0.0427983	0.0605514	0.0715274	0.0880889
a47	0.0460616	0.0466323	0.0507366	0.0628525	0.0604657	0.0818652	0.0663847	0.0697404	0.0380032	0.0374491	0.0310152	0.031595	0.0339487	0.0344822	0.0442699	0.0681366	0.0858923	0.110469
