 	il	tord	les	brins	de	la	corde	</S>
a10	0.139046	0.149603	0.117871	0.125855	0.117972	0.117843	0.122567	0.109244
a53	0.0769724	0.141347	0.087092	0.111789	0.122385	0.14815	0.166362	0.145903
a15	0.163502	0.220962	0.104379	0.0972736	0.0913626	0.103071	0.112784	0.106666
a98	0.237712	0.227635	0.120248	0.0679408	0.0655106	0.0691566	0.101769	0.110028
a85	0.351173	0.302628	0.126416	0.0591461	0.0384317	0.0401745	0.0423106	0.0397207
a43	0.302162	0.331468	0.137915	0.0720467	0.04438	0.04226	0.0358002	0.033968
a75	0.283798	0.352018	0.152255	0.0748771	0.0406643	0.0349709	0.0295989	0.0318181
a41	0.183423	0.306762	0.15944	0.109234	0.0771202	0.067074	0.0508863	0.0460614
a43	0.131156	0.207858	0.182743	0.152789	0.101005	0.08311	0.0689897	0.0723494
a11	0.104082	0.157669	0.188996	0.204778	0.128778	0.0945094	0.060103	0.0610841
a66	0.0625155	0.0971872	0.150568	0.197309	0.162757	0.1357	0.0959113	0.0980526
a98	0.0413387	0.066908	0.115566	0.160852	0.155515	0.149046	0.145157	0.165617
a85	0.0218797	0.041048	0.0775279	0.162182	0.198658	0.204893	0.14981	0.144002
a43	0.032796	0.0473831	0.0649235	0.119566	0.15315	0.174302	0.177477	0.230403
a11	0.0368647	0.0467172	0.0524646	0.0885019	0.117117	0.158718	0.205952	0.293665
a66	0.008229	0.0130543	0.0225559	0.056467	0.109014	0.158417	0.262658	0.369605
a54	0.00321974	0.005551	0.0111861	0.0330554	0.0854682	0.134071	0.277229	0.45022
a2	0.00691939	0.0130988	0.0188502	0.037987	0.0843563	0.14367	0.264613	0.430505
a57	0.0129791	0.0240476	0.0264078	0.056166	0.116272	0.152794	0.231787	0.379547
a10	0.0255071	0.0494755	0.0403384	0.0833298	0.144509	0.152455	0.193125	0.31126
</S>	0.0368044	0.080311	0.0551179	0.110522	0.148303	0.170666	0.171101	0.227175
