 	l'	enfant	égrène	le	fruit	ikamí	</S>
a66	0.311187	0.27528	0.139371	0.115311	0.0880529	0.0419693	0.0288289
a87	0.440631	0.273531	0.127446	0.0808157	0.0459969	0.0189685	0.0126102
a23	0.449649	0.291961	0.103127	0.0682411	0.0495103	0.0251784	0.012333
a53	0.443791	0.286418	0.104958	0.0685137	0.0522035	0.0245981	0.0195188
a54	0.340916	0.273008	0.185896	0.104476	0.0626256	0.0184671	0.0146113
a6	0.140567	0.183519	0.2985	0.204292	0.122901	0.0345467	0.0156747
a85	0.0951896	0.158028	0.339392	0.234619	0.113769	0.046104	0.0128986
a37	0.181126	0.223051	0.260171	0.145671	0.0866964	0.0683454	0.0349398
a93	0.186712	0.198913	0.268406	0.165471	0.0646863	0.0656059	0.0502048
a90	0.209095	0.212427	0.225585	0.143124	0.0690816	0.0745072	0.0661796
a98	0.0785164	0.103498	0.194618	0.201802	0.144983	0.146748	0.129834
a85	0.0289486	0.0389797	0.113025	0.142966	0.162377	0.235082	0.278622
a5	0.0154564	0.0161955	0.0351173	0.0624066	0.130496	0.297252	0.443076
a36	0.00618449	0.00637309	0.0145641	0.0492673	0.141426	0.282472	0.499713
a75	0.0020427	0.00167229	0.00396376	0.0171701	0.090283	0.231844	0.653024
a6	0.0012183	0.00123376	0.00411082	0.0213994	0.103564	0.205934	0.66254
a37	0.000615933	0.000533488	0.00176972	0.00835232	0.056236	0.144754	0.787739
a18	0.000680396	0.000572522	0.00155996	0.0051453	0.0358594	0.116039	0.840143
a82	0.0053514	0.00550745	0.0103311	0.0156905	0.0472133	0.133278	0.782628
a97	0.0723732	0.0463074	0.048797	0.0503825	0.07408	0.146511	0.561549
a87	0.276704	0.172712	0.0873655	0.0817289	0.106077	0.0951658	0.180248
a23	0.228347	0.150743	0.0827124	0.0897932	0.137824	0.127194	0.183387
a99	0.0645075	0.0398991	0.0225198	0.0360882	0.107328	0.211039	0.518619
a87	0.0202265	0.0138971	0.0143895	0.0366852	0.107284	0.240428	0.56709
a97	0.0228111	0.0180714	0.0147527	0.0310471	0.0969677	0.231733	0.584617
a87	0.0699103	0.0630931	0.0399478	0.0549026	0.100153	0.200791	0.471203
</S>	0.13222	0.115024	0.0683278	0.0877796	0.134547	0.18602	0.276082
