 	ma	femme	est	en	train	de	soulever	un	panier	de	maniocs	</S>
a57	0.183532	0.149837	0.163731	0.154497	0.114578	0.0849659	0.0600417	0.0376478	0.0213707	0.0111864	0.00993996	0.00867286
a75	0.227061	0.146637	0.122432	0.0887569	0.074319	0.0536934	0.0478528	0.0413315	0.0420865	0.0429723	0.0534652	0.0593932
a79	0.154405	0.124086	0.0940406	0.0750398	0.0708354	0.0592082	0.0613835	0.071572	0.0794987	0.0702439	0.071079	0.068608
a98	0.240132	0.171701	0.104239	0.0750961	0.0618845	0.0627377	0.053257	0.0729098	0.0739627	0.0488406	0.0201593	0.0150803
a92	0.259426	0.196302	0.117541	0.0785493	0.0569905	0.054524	0.039883	0.04756	0.0488747	0.0482103	0.0319766	0.0201629
a43	0.229963	0.206704	0.131108	0.0875375	0.0517298	0.0487817	0.0354642	0.0396648	0.0385928	0.0414407	0.045601	0.0434119
a61	0.224136	0.209332	0.137918	0.0945766	0.0479339	0.0425328	0.0321251	0.0332831	0.0347422	0.039441	0.0496397	0.0543402
a11	0.188222	0.193077	0.148333	0.112484	0.0562776	0.0482785	0.0341538	0.0338375	0.0334414	0.0381465	0.0519858	0.061762
a90	0.137944	0.162707	0.137513	0.118207	0.0727018	0.0661133	0.0475907	0.0472927	0.0444255	0.0448016	0.0559789	0.0647244
a25	0.10939	0.143568	0.136113	0.116421	0.0641274	0.0596283	0.0435718	0.0460184	0.045212	0.0546095	0.0774136	0.103926
a85	0.0700862	0.105871	0.128066	0.127268	0.0794592	0.0733767	0.0568062	0.0537526	0.0512206	0.0618117	0.0845288	0.107753
a6	0.0822844	0.111488	0.132926	0.128929	0.0782843	0.0698841	0.0604366	0.0519284	0.0450242	0.0557914	0.0774977	0.105526
a0	0.0677752	0.0792721	0.099178	0.103108	0.0661275	0.0680945	0.0694579	0.0653919	0.0579672	0.0750772	0.0996109	0.148939
a75	0.0483027	0.0522041	0.0701301	0.0867542	0.067679	0.0673889	0.0638965	0.0591054	0.0563096	0.0811779	0.133987	0.213064
a92	0.0398016	0.0373307	0.0388498	0.0443126	0.0444116	0.0543038	0.0848294	0.0786834	0.0724123	0.106138	0.148064	0.250862
a37	0.0403528	0.0377265	0.0396207	0.0473981	0.0489158	0.060432	0.0940542	0.0824042	0.0713424	0.102898	0.139897	0.234958
a79	0.0150682	0.0156121	0.0200429	0.0294365	0.0398954	0.0546435	0.0896031	0.0891321	0.0815701	0.107176	0.173362	0.284459
a36	0.0206605	0.0225802	0.0276042	0.0398392	0.0525365	0.0663223	0.106925	0.0944577	0.0753843	0.100561	0.146283	0.246846
a37	0.00390124	0.004221	0.00573407	0.00899028	0.0149683	0.0216203	0.0544148	0.058185	0.0635229	0.112838	0.218795	0.432809
a96	0.00259174	0.00254179	0.00315671	0.00452957	0.00721084	0.0105635	0.0306171	0.03936	0.0507681	0.105345	0.241352	0.501964
a88	0.00124483	0.00128366	0.00171732	0.00250072	0.00443711	0.00665616	0.0211223	0.0291084	0.0458639	0.104946	0.256511	0.524609
a71	0.00118675	0.00120217	0.00160353	0.00207057	0.00352912	0.00511196	0.0159575	0.0237061	0.0413797	0.104209	0.255421	0.544622
a53	0.00681731	0.00483502	0.00557432	0.00685889	0.0109513	0.0184829	0.0524514	0.0766841	0.103995	0.170348	0.208602	0.3344
a4	0.000963817	0.00112877	0.00164408	0.00239033	0.00443869	0.00674501	0.0178846	0.0288321	0.0510504	0.109277	0.280904	0.494741
a57	0.000886223	0.00100253	0.00139354	0.00201245	0.0036866	0.00575171	0.0151087	0.0246857	0.0405316	0.0901845	0.258777	0.55598
a82	0.000712982	0.000652885	0.000996603	0.00148957	0.00314678	0.0053464	0.0190253	0.0362886	0.0619817	0.121846	0.23936	0.509153
a97	0.00734062	0.00514545	0.00689503	0.00870745	0.016373	0.02548	0.0803852	0.130983	0.15274	0.183722	0.166082	0.216147
a10	0.0305422	0.0220776	0.0294988	0.0330858	0.0503781	0.0629269	0.126321	0.143292	0.135102	0.129351	0.124795	0.112629
a97	0.0328179	0.0258518	0.0337493	0.0398775	0.0556481	0.06831	0.115353	0.130847	0.125154	0.12395	0.133361	0.115081
a99	0.0303581	0.0254474	0.0357825	0.0457724	0.0595596	0.0651841	0.102743	0.12822	0.128271	0.123651	0.13503	0.11998
a97	0.0257795	0.0255801	0.036152	0.0395351	0.0475348	0.0499529	0.0807425	0.106982	0.125337	0.13797	0.165296	0.159138
a99	0.0207668	0.0233164	0.0333168	0.0348373	0.0410254	0.042342	0.0722807	0.0936654	0.109382	0.138636	0.188912	0.201518
a97	0.0196456	0.0232037	0.0300479	0.0290085	0.0325796	0.0344489	0.058816	0.085048	0.110229	0.146553	0.199677	0.230743
a99	0.0323053	0.033291	0.036052	0.0305824	0.03134	0.0326974	0.0543815	0.0807175	0.101121	0.137349	0.195847	0.234316
a97	0.0306989	0.027662	0.0273937	0.0226653	0.0237092	0.0256004	0.0452349	0.0761684	0.109921	0.152205	0.216134	0.242607
a99	0.0493642	0.0414868	0.040112	0.0335412	0.0339853	0.0341513	0.0580755	0.0868947	0.0991317	0.120355	0.183222	0.219681
a97	0.0328399	0.0281772	0.0277103	0.021958	0.022154	0.0230444	0.0373283	0.0624131	0.0929016	0.139881	0.24358	0.268013
</S>	0.0559245	0.0419662	0.0378043	0.0301742	0.029954	0.0301412	0.0477352	0.0722387	0.0890168	0.117203	0.202877	0.244965
