 	ibara	est	en	train	de	danser	le	kyebe-	kyebe	</S>
a23	0.26012	0.127678	0.139779	0.201833	0.138498	0.0684038	0.0280679	0.0137789	0.0104842	0.0113573
a83	0.417493	0.19401	0.136684	0.09459	0.0632861	0.0386385	0.0134029	0.00703377	0.0136207	0.0212412
a18	0.263027	0.164117	0.147303	0.141321	0.0943046	0.0468044	0.0235079	0.0280594	0.0393837	0.0521714
a98	0.314116	0.172225	0.146133	0.149072	0.10588	0.0562048	0.0256368	0.0103518	0.00970089	0.01068
a92	0.266812	0.181105	0.165811	0.144396	0.115979	0.0489901	0.029596	0.0151641	0.0152751	0.0168711
a85	0.208486	0.167913	0.171995	0.149177	0.118872	0.0510121	0.0409617	0.0296251	0.0300641	0.0318943
a79	0.195927	0.156028	0.170539	0.120525	0.105816	0.0680204	0.0668679	0.0416074	0.0371354	0.037534
a44	0.191646	0.156426	0.16847	0.139676	0.12012	0.0713246	0.0587639	0.0324767	0.0305572	0.0305396
a90	0.12636	0.12927	0.139575	0.129509	0.147151	0.114262	0.108258	0.043806	0.0323088	0.0295012
a75	0.108372	0.127815	0.145887	0.151919	0.165745	0.112566	0.0799177	0.0348074	0.03448	0.038491
a85	0.083757	0.114273	0.12695	0.143628	0.151396	0.114308	0.0966268	0.0593112	0.0580236	0.0517259
a37	0.0582455	0.0790421	0.0879342	0.0929642	0.0936479	0.099224	0.131917	0.125562	0.126575	0.104888
a62	0.0807346	0.104038	0.107911	0.119037	0.118293	0.117843	0.13604	0.0983368	0.0699726	0.0477929
a61	0.0581342	0.0695636	0.0647868	0.0705792	0.0825709	0.118829	0.175498	0.155553	0.128225	0.0762598
a21	0.0388335	0.0431646	0.0384233	0.0420971	0.0487431	0.0772245	0.150951	0.231784	0.21327	0.115509
a18	0.0329633	0.0316757	0.0289817	0.0260912	0.0246721	0.0293331	0.0655268	0.228489	0.314461	0.217807
a47	0.00466753	0.00459092	0.00416332	0.00495343	0.00666485	0.0114858	0.0410006	0.195607	0.359689	0.367177
a61	0.0113768	0.0120828	0.0114302	0.0147164	0.0197497	0.0279234	0.062042	0.177313	0.33077	0.332596
a47	0.0015892	0.00150052	0.00124449	0.00137613	0.00229818	0.00589591	0.0325237	0.182159	0.366788	0.404625
a88	0.00759711	0.00767252	0.00684984	0.00793149	0.0110665	0.0159342	0.0393973	0.129811	0.290626	0.483114
a62	0.00178325	0.00164426	0.00139094	0.00187812	0.00356826	0.00689122	0.0174601	0.0818022	0.264562	0.61902
a83	0.00245145	0.00230181	0.00209393	0.00264557	0.00420693	0.00665598	0.0146644	0.0622735	0.210803	0.691904
a9	0.00254985	0.00228968	0.00195611	0.00258007	0.00497976	0.00798347	0.0155576	0.0625825	0.212703	0.686818
a99	0.00727705	0.00484534	0.00339368	0.0031982	0.00379929	0.00439182	0.00586499	0.0213	0.105886	0.840043
a87	0.0512754	0.0460639	0.0358083	0.0266548	0.0220255	0.0201287	0.0180828	0.039231	0.128601	0.612129
a23	0.103686	0.0961343	0.0817261	0.0637748	0.0427796	0.0334181	0.0295562	0.0529806	0.132031	0.363913
a87	0.0116204	0.00949655	0.00742615	0.00638682	0.00594551	0.00694636	0.0124266	0.0544941	0.21951	0.665748
</S>	0.00422032	0.00415286	0.0039597	0.00436083	0.00538128	0.00931538	0.0224908	0.0900631	0.21321	0.642846
