 	il	est	devenu	la	risée	de	tout	le	monde	à	cause	de	sa	bave	</S>
a84	0.0666399	0.0643364	0.0870217	0.167978	0.198073	0.110875	0.0794778	0.0649034	0.048085	0.0450023	0.0319694	0.0174505	0.0097464	0.00502566	0.00341543
a87	0.173204	0.1269	0.098121	0.109855	0.0768249	0.0587207	0.0539827	0.05241	0.0465477	0.0389749	0.0392423	0.0353276	0.0233506	0.0286314	0.0379071
a23	0.150904	0.101051	0.0772306	0.0817612	0.0794962	0.0847664	0.0727988	0.0634102	0.0580646	0.0535562	0.0553294	0.0414396	0.0267693	0.0185741	0.0348481
a30	0.217361	0.142238	0.108902	0.137818	0.0834555	0.0585632	0.0499847	0.0492965	0.034462	0.0298268	0.0262827	0.019544	0.015716	0.0111112	0.0154378
a53	0.161517	0.132044	0.124663	0.180322	0.10833	0.0614535	0.0449783	0.0393687	0.0308211	0.0313748	0.023151	0.0161826	0.0148065	0.0137116	0.0172768
a20	0.161976	0.146881	0.148407	0.158127	0.114408	0.0482747	0.0322146	0.0296095	0.0219768	0.0227814	0.0219101	0.0187929	0.0237135	0.0320868	0.0188407
a7	0.109761	0.111116	0.112322	0.111906	0.104483	0.0407019	0.0310259	0.0303948	0.0235742	0.0264587	0.0309439	0.0318522	0.0507143	0.124829	0.0599179
a37	0.0851542	0.0933015	0.105453	0.121023	0.116022	0.047132	0.033823	0.0301567	0.0217649	0.0241102	0.0278622	0.0281782	0.0457647	0.149155	0.0710999
a12	0.0840335	0.0836498	0.0929222	0.115029	0.117767	0.0501087	0.0372059	0.0346044	0.0249924	0.0266801	0.0316965	0.0327817	0.0507398	0.148475	0.0693135
a21	0.0793476	0.0780609	0.0873784	0.112879	0.126955	0.0604658	0.0504677	0.0507219	0.0403015	0.0428399	0.0475411	0.0435177	0.0511382	0.0891398	0.0392462
a12	0.0607512	0.0637507	0.0805308	0.103304	0.131885	0.0766818	0.063328	0.0627633	0.0525135	0.0564008	0.0614604	0.0526444	0.0483908	0.0520516	0.0335435
a47	0.0361648	0.0393686	0.054923	0.0689446	0.101463	0.0792836	0.0777082	0.0868165	0.0802403	0.0868324	0.0906798	0.070659	0.0542646	0.0407436	0.0319083
a31	0.0238149	0.0258507	0.0394258	0.0518098	0.0773551	0.0727188	0.0831421	0.0972874	0.10009	0.108508	0.108747	0.0854987	0.0593178	0.0360852	0.0303488
a43	0.0156573	0.0166986	0.026348	0.0376698	0.0712907	0.0716874	0.0870485	0.100166	0.0986417	0.114812	0.123399	0.0891401	0.05797	0.0464132	0.0430576
a24	0.0114828	0.011235	0.0169912	0.0281115	0.0725803	0.0807199	0.103872	0.117139	0.110868	0.122477	0.121455	0.0809174	0.0471117	0.035361	0.0396777
