 	elle	brandit	un	couteau	</S>
a23	0.216575	0.171626	0.188679	0.193329	0.22979
a53	0.372712	0.186019	0.158193	0.144846	0.138229
a15	0.324109	0.206025	0.192087	0.139852	0.137927
a69	0.460291	0.211786	0.146446	0.0981082	0.0833681
a84	0.389261	0.203421	0.143339	0.130494	0.133484
a90	0.264164	0.179878	0.152189	0.172502	0.231267
a56	0.217355	0.185849	0.152103	0.190615	0.254078
a43	0.213561	0.194922	0.167291	0.191817	0.23241
a0	0.135782	0.163152	0.169427	0.231738	0.299901
a31	0.105449	0.134949	0.162865	0.246714	0.350023
a88	0.0797948	0.123164	0.161436	0.254902	0.380703
a66	0.0613356	0.0865964	0.126384	0.251866	0.473818
a98	0.0214879	0.0320947	0.0776634	0.271339	0.597415
a47	0.021061	0.0371035	0.0813399	0.252334	0.608161
a36	0.0276584	0.0411193	0.0845465	0.241401	0.605275
a2	0.0295414	0.0418913	0.0837845	0.237025	0.607758
a10	0.0774479	0.0841504	0.129568	0.234036	0.474798
a38	0.158791	0.138485	0.157128	0.215618	0.329979
a82	0.0939246	0.112926	0.176414	0.269064	0.347671
a84	0.104166	0.124493	0.188592	0.257796	0.324952
a82	0.0863505	0.107706	0.166942	0.27248	0.366521
a10	0.0989245	0.121728	0.174254	0.263515	0.341578
a82	0.0999854	0.130285	0.18325	0.266153	0.320327
</S>	0.109098	0.140799	0.197241	0.26107	0.291793
