 	il	est	arrivé	aussitôt	après	ton	départ	</S>
a10	0.115252	0.0964387	0.0658609	0.0855421	0.196318	0.182871	0.165042	0.0926747
a87	0.156681	0.156843	0.0748895	0.136235	0.147242	0.104515	0.0845068	0.139087
a23	0.137186	0.146978	0.103879	0.161074	0.171646	0.124958	0.0759283	0.0783494
a94	0.0942962	0.145981	0.0967322	0.143027	0.174869	0.134828	0.103896	0.106372
a90	0.414223	0.290322	0.0928128	0.0674822	0.0823883	0.0292532	0.015318	0.00819985
a76	0.319268	0.254165	0.154326	0.0946299	0.0990093	0.0418571	0.0242418	0.0125022
a90	0.239249	0.238024	0.184825	0.118496	0.105927	0.0563771	0.0366519	0.0204498
a76	0.234787	0.235125	0.203377	0.121072	0.0975748	0.0515748	0.0359774	0.0205132
a58	0.164327	0.188557	0.197459	0.14364	0.13054	0.0818043	0.0571675	0.0365053
a75	0.174616	0.183486	0.195987	0.137686	0.119782	0.0801961	0.0648223	0.0434246
a41	0.107537	0.142927	0.188092	0.144765	0.133891	0.108615	0.103282	0.0708914
a94	0.0813716	0.122899	0.179363	0.143266	0.151107	0.119021	0.120716	0.0822563
a25	0.0861201	0.100898	0.164912	0.149271	0.155897	0.129557	0.130832	0.0825125
a44	0.0587992	0.0687781	0.133786	0.139974	0.143309	0.143796	0.184153	0.127406
a57	0.0701628	0.0762474	0.109974	0.119277	0.135206	0.148403	0.185983	0.154747
a53	0.0533026	0.0482701	0.0887289	0.125558	0.107497	0.158754	0.252992	0.164897
a76	0.0729543	0.0657911	0.0915531	0.1164	0.100067	0.152686	0.216902	0.183646
a69	0.039147	0.0535581	0.068187	0.0861924	0.087251	0.14332	0.216754	0.30559
a58	0.0401687	0.0499813	0.065395	0.0906202	0.0835309	0.161327	0.278	0.230977
a82	0.036402	0.0409075	0.0569157	0.0824268	0.0506202	0.118467	0.305467	0.308793
a87	0.041672	0.0361925	0.0483407	0.0703432	0.0493	0.105313	0.237505	0.411334
a79	0.0345245	0.0355	0.0491869	0.0645554	0.0744906	0.105185	0.19802	0.438537
a20	0.0308009	0.0432102	0.0428557	0.057092	0.07198	0.0986184	0.155838	0.499605
a84	0.0448688	0.0434647	0.0474924	0.0529336	0.0459101	0.0786093	0.131308	0.555413
a11	0.017815	0.0177286	0.0209031	0.0325348	0.0311947	0.079386	0.173485	0.626953
a90	0.0180562	0.0175736	0.0177203	0.024116	0.0240795	0.0594485	0.144512	0.694494
a25	0.0293636	0.0306958	0.0338356	0.0399845	0.0384788	0.0768046	0.151178	0.599659
a87	0.0201195	0.0238051	0.0311865	0.0394592	0.0340763	0.0811694	0.167304	0.602879
</S>	0.0123985	0.0132968	0.0134872	0.0187291	0.0235923	0.0602413	0.128177	0.730078
