 	je	les	fait	écrire	des	lettres	</S>
a66	0.208128	0.186036	0.198936	0.21424	0.128076	0.0443349	0.0202488
a87	0.371377	0.250066	0.163356	0.0967186	0.0734447	0.0276655	0.017373
a23	0.510807	0.256315	0.128409	0.0451857	0.0261739	0.0175967	0.0155122
a87	0.483499	0.276147	0.166928	0.0312941	0.013511	0.0106138	0.0180069
a23	0.39496	0.289015	0.204399	0.0561261	0.0222074	0.0132281	0.0200641
a99	0.459296	0.272407	0.167444	0.0347881	0.0226415	0.0192464	0.0241767
a5	0.325541	0.226383	0.22505	0.0894403	0.0514808	0.0406361	0.0414684
a12	0.176572	0.193548	0.325789	0.202398	0.064248	0.0236076	0.0138382
a62	0.143798	0.201541	0.326611	0.21536	0.0677048	0.0283028	0.0166817
a88	0.118894	0.187316	0.289883	0.21091	0.113076	0.0513774	0.0285435
a21	0.0869477	0.148812	0.256592	0.265628	0.152256	0.0587868	0.0309768
a12	0.0698223	0.103519	0.205501	0.353787	0.196289	0.0467485	0.0243329
a61	0.0484084	0.0706809	0.145504	0.331613	0.238905	0.0979558	0.066932
a0	0.0275333	0.0373984	0.0893338	0.325245	0.281918	0.132931	0.105641
a75	0.0152647	0.0150697	0.0327095	0.172988	0.298873	0.242593	0.222503
a98	0.00578663	0.00528708	0.00885913	0.0650567	0.213556	0.316546	0.384908
a47	0.00590033	0.00548355	0.00915364	0.0589561	0.222124	0.304409	0.393973
a36	0.00131	0.000984518	0.00152384	0.0132823	0.087403	0.303773	0.591723
a5	0.00145224	0.000867942	0.000958707	0.00281623	0.0188811	0.171655	0.803369
a0	0.00326469	0.00207258	0.00261269	0.0095094	0.050278	0.189423	0.742839
a11	0.00284143	0.0017967	0.00206255	0.00695949	0.0417725	0.19122	0.753347
a10	0.0013476	0.00100867	0.00102538	0.00368481	0.026053	0.152263	0.814618
a38	0.00800455	0.00512097	0.00353705	0.00770735	0.0251554	0.133039	0.817435
a9	0.00215311	0.00174419	0.00179712	0.00688314	0.0342242	0.168561	0.784637
a99	0.0207215	0.0124821	0.0108687	0.0229363	0.0572063	0.201571	0.674214
a87	0.162111	0.0797096	0.0481533	0.0457953	0.071477	0.183867	0.408887
a23	0.309373	0.160453	0.0840904	0.0669384	0.0744907	0.115567	0.189088
a87	0.117599	0.0495301	0.0265052	0.0236566	0.0614132	0.227948	0.493348
</S>	0.0097668	0.00448179	0.00323826	0.0056606	0.0320561	0.208391	0.736405
