 	un	furoncle	lui	est	apparu	entre	l'	anus	et	le	sexe	</S>
a66	0.0973637	0.0477826	0.0662252	0.11513	0.0881973	0.098115	0.126346	0.154097	0.0754616	0.0724069	0.0447869	0.0140875
a87	0.266335	0.0844909	0.0761558	0.0581433	0.0429109	0.0543329	0.0713484	0.0645423	0.0633789	0.0844707	0.109685	0.0242052
a23	0.410716	0.117263	0.0549833	0.0444478	0.0363676	0.0386713	0.0494714	0.0569215	0.0380755	0.0567974	0.0672612	0.0290236
a97	0.441449	0.228444	0.0603192	0.0547209	0.0270942	0.0314251	0.0370568	0.03048	0.0222864	0.0264717	0.0263827	0.0138703
a87	0.337072	0.198409	0.0902951	0.0980779	0.0481551	0.0468527	0.0477037	0.0420343	0.0267334	0.0289235	0.0232513	0.0124916
a23	0.330014	0.192055	0.063864	0.0695839	0.0407898	0.0477993	0.0596427	0.0591748	0.0393887	0.0466639	0.0360897	0.0149346
a83	0.374013	0.237559	0.0566903	0.0507069	0.030031	0.0303494	0.0411305	0.0504407	0.0363911	0.0396606	0.0358904	0.0171369
a18	0.471427	0.155324	0.0651883	0.0584087	0.0360092	0.0318074	0.0350016	0.0569021	0.0265242	0.0352432	0.0204704	0.00769373
a50	0.338455	0.225358	0.136584	0.0819093	0.0459244	0.0300739	0.025149	0.0370282	0.0224298	0.0311943	0.0215712	0.00432236
a62	0.156791	0.235519	0.188428	0.104801	0.066839	0.0392439	0.0294073	0.0443078	0.0344579	0.0493702	0.0404508	0.0103843
a21	0.177419	0.217117	0.1904	0.108942	0.0625213	0.0369085	0.0275348	0.0389593	0.033993	0.0481549	0.0452148	0.0128355
a5	0.135299	0.138303	0.196758	0.133559	0.101393	0.057092	0.0414399	0.0443626	0.0423065	0.0575041	0.0398896	0.012094
a12	0.099755	0.110951	0.16624	0.127337	0.0946787	0.0675112	0.0601139	0.0589752	0.0659275	0.0766245	0.0538484	0.0180381
a96	0.096609	0.087453	0.150162	0.147776	0.116301	0.0796164	0.0693613	0.0583536	0.0598833	0.06422	0.0454251	0.0248392
a12	0.0679049	0.0628811	0.139563	0.154909	0.130291	0.0906807	0.0801015	0.0680904	0.0673037	0.0668321	0.0431259	0.0283167
a62	0.0355506	0.0395107	0.113043	0.1514	0.145579	0.108243	0.105528	0.0865776	0.0821591	0.0695889	0.0381416	0.0246777
a21	0.0146846	0.016541	0.062916	0.127003	0.149532	0.115638	0.118975	0.100553	0.105015	0.0919779	0.056535	0.0406298
a85	0.0126755	0.0129419	0.0587029	0.123773	0.133148	0.104104	0.115173	0.109492	0.109718	0.0979061	0.0706714	0.0516937
a47	0.0080583	0.00740725	0.0440875	0.0839621	0.0793169	0.0611126	0.0586945	0.0735368	0.103654	0.12063	0.166516	0.193025
a98	0.00904609	0.00883821	0.0398391	0.105217	0.138871	0.123547	0.118374	0.11261	0.126604	0.0745873	0.0536466	0.0888202
a79	0.0118778	0.0122051	0.0420107	0.0858156	0.105877	0.0994922	0.106556	0.125652	0.147852	0.0968726	0.08245	0.0833397
a37	0.0068847	0.00786581	0.029825	0.0624635	0.0915121	0.0846684	0.093823	0.1372	0.164821	0.114495	0.103497	0.102944
a92	0.0070972	0.00690965	0.018877	0.0505221	0.0944512	0.0873787	0.10193	0.145767	0.188553	0.106304	0.075347	0.116864
a21	0.00651448	0.00598175	0.0214372	0.043653	0.0735139	0.0597515	0.0723702	0.112354	0.162554	0.110475	0.100977	0.230418
a12	0.00333259	0.00220936	0.00979699	0.0364468	0.067302	0.0577342	0.0674896	0.0881581	0.145855	0.106081	0.115056	0.300539
a18	0.00352851	0.00172933	0.0107355	0.0345023	0.0531582	0.0521443	0.0602374	0.090053	0.165023	0.121856	0.145789	0.261243
a31	0.00162828	0.000944609	0.00327856	0.00834499	0.0149016	0.0173464	0.0307053	0.0570027	0.118629	0.0997522	0.175872	0.471595
a61	0.00223088	0.00120705	0.00389633	0.011032	0.014548	0.0157416	0.0238547	0.0387369	0.0845819	0.0859501	0.179939	0.538282
a96	0.00138993	0.000745604	0.00223084	0.00546467	0.00619616	0.00662762	0.0114064	0.0224414	0.0515836	0.0671688	0.165689	0.659056
a62	0.0014735	0.000692433	0.00237008	0.00566004	0.00615717	0.0069239	0.0120908	0.0231247	0.0483922	0.0579529	0.13419	0.700973
a88	0.00126692	0.000670934	0.00206002	0.00412993	0.00440398	0.00524226	0.0112779	0.0227513	0.0434494	0.0532754	0.125746	0.725726
a71	0.000608056	0.000409537	0.00107468	0.00234144	0.0030558	0.00383734	0.00894025	0.0185319	0.0320345	0.0352594	0.102023	0.791884
a9	0.00451545	0.00305984	0.00456463	0.00740237	0.0124604	0.0133394	0.0189778	0.0286323	0.0430422	0.0396051	0.112544	0.711857
a10	0.0307118	0.0141198	0.0217798	0.0226165	0.0371248	0.0416666	0.0519582	0.0774601	0.107953	0.0606935	0.12962	0.404296
a87	0.0641787	0.0189742	0.0311053	0.0258503	0.0424034	0.0483905	0.0662002	0.0928271	0.111417	0.0870914	0.131798	0.279764
a23	0.0822954	0.0189283	0.0282046	0.024575	0.0436999	0.0561171	0.0929423	0.110095	0.127169	0.114293	0.131989	0.169692
a87	0.0538304	0.0120098	0.0163663	0.0108784	0.0214563	0.0204358	0.0287951	0.038596	0.0387583	0.0591388	0.184472	0.515263
a23	0.0151645	0.00282313	0.00505625	0.00539035	0.00948835	0.00927927	0.0128206	0.0158202	0.0174547	0.0269816	0.121518	0.758203
a97	0.0133985	0.00412944	0.00945822	0.00872612	0.0160595	0.0139746	0.0162838	0.0239961	0.027161	0.0486074	0.156378	0.661827
</S>	0.0158215	0.00327244	0.011906	0.012575	0.0188592	0.0165213	0.0170913	0.0220026	0.0228497	0.0287634	0.111599	0.718738
