 	le	chef	met	de	côté	certaines	lois	</S>
a66	0.268777	0.188172	0.154764	0.160954	0.13885	0.0532026	0.0223594	0.0129207
a87	0.357942	0.192214	0.107328	0.0753645	0.0720691	0.07283	0.0514014	0.0708517
a97	0.250278	0.185448	0.138246	0.119503	0.111587	0.0582809	0.0496923	0.0869643
a3	0.22016	0.20015	0.140593	0.130853	0.103955	0.0522313	0.0492426	0.102814
a97	0.287054	0.232393	0.140412	0.11846	0.0784097	0.0404587	0.0375829	0.065231
a30	0.277348	0.217202	0.131913	0.118831	0.0891683	0.0475727	0.0428199	0.0751457
a4	0.343537	0.248475	0.137786	0.0975259	0.0622109	0.0322103	0.029695	0.0485605
a57	0.386591	0.26463	0.195797	0.0859339	0.0391915	0.010014	0.00797895	0.00986321
a53	0.262529	0.232189	0.239136	0.148998	0.0798009	0.0157153	0.0109149	0.0107164
a93	0.253257	0.228348	0.228646	0.156778	0.0911507	0.0182676	0.0123683	0.0111847
a70	0.189239	0.203479	0.229787	0.18455	0.120264	0.0301973	0.0225834	0.0198993
a34	0.152786	0.179206	0.225514	0.209161	0.145091	0.0376322	0.0275589	0.023051
a75	0.135813	0.158824	0.215981	0.228973	0.163122	0.0415203	0.0301198	0.0256465
a85	0.0957664	0.113211	0.168221	0.206515	0.17534	0.109327	0.0778843	0.0537346
a0	0.103333	0.108322	0.147082	0.185328	0.178458	0.116905	0.0987816	0.0617902
a75	0.0922668	0.104881	0.161549	0.23565	0.19983	0.0902179	0.0647325	0.0508731
a6	0.0474408	0.0614726	0.117525	0.221313	0.212426	0.124376	0.12206	0.0933868
a37	0.0195406	0.0269201	0.0625834	0.164026	0.186084	0.158968	0.199694	0.182183
a56	0.029584	0.0363558	0.0703545	0.173929	0.220253	0.161761	0.157144	0.150618
a61	0.0312339	0.0340525	0.0552287	0.124888	0.184383	0.186144	0.193975	0.190094
a75	0.0158021	0.018845	0.0318165	0.0855609	0.162383	0.208698	0.229225	0.247669
a6	0.00540518	0.00701868	0.0135911	0.0453136	0.0989657	0.190966	0.291233	0.347506
a36	0.00373402	0.00444145	0.00785997	0.0250013	0.0588778	0.174528	0.306572	0.418985
a26	0.00445467	0.00473744	0.0068805	0.0153294	0.033296	0.143876	0.28386	0.507567
a82	0.0030939	0.00277165	0.00340473	0.00492416	0.00754055	0.0545304	0.297493	0.626242
a38	0.00483656	0.00372145	0.00373299	0.00467679	0.00773385	0.0677216	0.352033	0.555544
a26	0.00202193	0.00150502	0.00156167	0.00252506	0.00512865	0.0509654	0.341231	0.595061
a15	0.00438097	0.00314986	0.00307926	0.00365066	0.00528479	0.0588114	0.381572	0.540071
a69	0.00966897	0.00584443	0.0047442	0.00510779	0.00591928	0.0537652	0.322126	0.592824
a44	0.000242758	0.000224738	0.000316606	0.000737502	0.00164204	0.0230025	0.277646	0.696188
a94	0.000218473	0.000217721	0.000319521	0.000766911	0.0018592	0.0248108	0.276598	0.695209
a62	0.000342265	0.000341823	0.000488252	0.000959093	0.00207988	0.0241384	0.272594	0.699056
a12	0.000238877	0.000257094	0.000386338	0.000819957	0.00178566	0.0246255	0.268214	0.703673
a62	0.000357414	0.00037555	0.00052261	0.0012028	0.00316613	0.0317854	0.271765	0.690825
a75	0.000750489	0.000825792	0.00115215	0.00186353	0.00340822	0.0300747	0.270595	0.69133
a6	7.32932e-05	9.80677e-05	0.000165985	0.000568488	0.00170037	0.0266597	0.265879	0.704856
a36	7.90081e-05	0.000106664	0.000191143	0.000558048	0.00125607	0.0186379	0.241381	0.737791
a2	0.000302199	0.000279712	0.000356465	0.000554675	0.000822464	0.0121103	0.183726	0.801848
a82	0.0203172	0.0148508	0.0132519	0.0127217	0.0131634	0.0722086	0.293213	0.560274
a97	0.066272	0.036246	0.0232689	0.0201072	0.0224821	0.0722614	0.228168	0.531195
a87	0.0932797	0.0489695	0.0290974	0.0236227	0.0259079	0.077377	0.209809	0.491937
a97	0.0642622	0.0357661	0.0240907	0.0221601	0.0291296	0.122588	0.248375	0.453628
</S>	0.0294703	0.020346	0.0147085	0.0165615	0.020905	0.0859939	0.227186	0.584829
