 	cette	femme	est	de	petite	taille	</S>
a66	0.359354	0.245066	0.157023	0.0961118	0.063284	0.0439357	0.0352263
a87	0.343378	0.250533	0.154234	0.102536	0.065097	0.0527976	0.0314245
a97	0.459931	0.284568	0.12706	0.0598991	0.028853	0.0230871	0.0166016
a87	0.461327	0.292862	0.131885	0.0584986	0.0251969	0.0167331	0.013498
a97	0.481192	0.281928	0.120676	0.0546801	0.0260129	0.0188975	0.0166129
a3	0.460741	0.276396	0.128955	0.0639401	0.031272	0.0206551	0.0180406
a97	0.450518	0.279342	0.134305	0.069401	0.0329984	0.0185047	0.0149306
a87	0.439625	0.264077	0.133235	0.0761763	0.0430606	0.0245568	0.0192681
a97	0.483664	0.273788	0.121644	0.0613708	0.0302568	0.016401	0.0128749
a30	0.474264	0.265916	0.12342	0.068038	0.0357832	0.0188852	0.0136935
a99	0.454466	0.272265	0.140007	0.0764363	0.0328293	0.013954	0.0100417
a70	0.420983	0.256507	0.151111	0.092687	0.0439283	0.0201969	0.014587
a4	0.248628	0.217032	0.203118	0.160062	0.0949278	0.0457299	0.0305014
a53	0.18288	0.195013	0.209078	0.172971	0.118094	0.0723197	0.0496453
a20	0.23295	0.208335	0.189167	0.148201	0.104977	0.0702779	0.0460925
a44	0.252687	0.209374	0.162615	0.128214	0.0951285	0.0870833	0.0648974
a70	0.0935839	0.106117	0.129522	0.154487	0.174048	0.185616	0.156626
a98	0.0333234	0.0424487	0.0666915	0.108196	0.189295	0.256098	0.303947
a50	0.113484	0.124251	0.135029	0.148959	0.151761	0.182823	0.143694
a62	0.0118688	0.0154191	0.0300374	0.064333	0.159637	0.295169	0.423536
a12	0.0150294	0.0179936	0.0352763	0.0763748	0.177645	0.299271	0.37841
a62	0.010678	0.0133375	0.0267695	0.0595891	0.156211	0.299428	0.433987
a50	0.00243831	0.00312124	0.00754608	0.0254948	0.110689	0.275883	0.574827
a18	0.00176711	0.00228632	0.00536671	0.0199309	0.0993571	0.270652	0.60064
a83	0.00333037	0.00412281	0.00831705	0.0267066	0.106399	0.25075	0.600374
a18	0.00566908	0.00639919	0.0116091	0.0318629	0.102556	0.215548	0.626356
a71	0.0183808	0.0182002	0.025181	0.0497531	0.109811	0.22183	0.556844
a25	0.0575242	0.0436746	0.0453648	0.0704554	0.115565	0.203722	0.463694
a9	0.0864052	0.056473	0.0491515	0.0671311	0.106774	0.185586	0.448479
a97	0.140743	0.0845873	0.0684998	0.0853854	0.116598	0.166627	0.33756
a87	0.279578	0.166823	0.112267	0.100368	0.0946179	0.0928805	0.153466
a97	0.199639	0.15396	0.132304	0.133764	0.134995	0.111892	0.133446
a87	0.195941	0.156071	0.142512	0.139958	0.12796	0.118054	0.119504
a97	0.139535	0.137945	0.155103	0.168827	0.152473	0.126985	0.119132
a87	0.126366	0.122429	0.138884	0.160023	0.157098	0.153618	0.141581
a97	0.0856972	0.090891	0.120874	0.156057	0.174948	0.194868	0.176666
a99	0.0978126	0.0971985	0.130101	0.163813	0.172246	0.182343	0.156485
a87	0.112215	0.107733	0.147362	0.174999	0.161107	0.152865	0.143719
</S>	0.0854606	0.0967425	0.138234	0.175161	0.17754	0.169038	0.157823
