 	cette	femme	a	mal	au	clitoris	</S>
a66	0.243686	0.206886	0.193721	0.182762	0.112812	0.0445127	0.0156205
a87	0.356102	0.216809	0.155069	0.106781	0.0885507	0.047674	0.0290141
a23	0.456817	0.31194	0.120812	0.0616049	0.0281217	0.00881976	0.0118853
a13	0.464822	0.307748	0.114433	0.0616795	0.0302577	0.00882974	0.01223
a50	0.383417	0.30037	0.140201	0.0801239	0.0463131	0.0232365	0.0263381
a70	0.387801	0.311267	0.159376	0.0784467	0.0346473	0.0173927	0.0110688
a93	0.336591	0.298119	0.176519	0.0988692	0.0500763	0.0222759	0.0175503
a4	0.203376	0.215886	0.191627	0.165432	0.115982	0.0561708	0.0515256
a90	0.15766	0.173806	0.183252	0.185665	0.142883	0.0873233	0.069411
a56	0.0800101	0.110001	0.156426	0.203196	0.199522	0.12847	0.122375
a98	0.0947597	0.122149	0.166847	0.208952	0.174711	0.0993373	0.133244
a47	0.0874126	0.114591	0.161168	0.207715	0.177332	0.110663	0.141118
a15	0.0970497	0.133875	0.177914	0.214405	0.152923	0.0877382	0.136095
a7	0.045666	0.0799255	0.16076	0.244701	0.187249	0.118666	0.163033
a93	0.0515429	0.081683	0.159754	0.241823	0.16159	0.101475	0.202132
a75	0.0619128	0.0735635	0.132269	0.203786	0.166552	0.149836	0.212081
a92	0.020525	0.0256176	0.0645922	0.150122	0.176715	0.234794	0.327634
a79	0.0177225	0.0225763	0.0558946	0.131681	0.16291	0.218726	0.39049
a7	0.0160884	0.0212015	0.0533806	0.12537	0.18317	0.227746	0.373043
a90	0.0278798	0.0292703	0.0403941	0.07855	0.145833	0.193739	0.484334
a15	0.0213915	0.0212028	0.0321705	0.0652777	0.151359	0.231199	0.477399
a69	0.00855655	0.0075381	0.0107794	0.0217971	0.0648553	0.177768	0.708706
a76	0.00648046	0.00496383	0.00494005	0.00816092	0.0279261	0.137585	0.809943
a79	0.00301518	0.00221447	0.00280585	0.00510181	0.0171993	0.120294	0.84937
a69	0.00308855	0.00224121	0.00194503	0.00286364	0.0101171	0.0893196	0.890425
a58	0.00361554	0.00262947	0.00226926	0.00307196	0.00964462	0.0833464	0.895423
a90	0.00355492	0.0028896	0.00234564	0.00289954	0.0117991	0.134377	0.842134
a69	0.00101793	0.000703593	0.000650434	0.00103294	0.00522649	0.0884063	0.902962
a4	0.000550504	0.000442342	0.000465414	0.000802704	0.00381418	0.065768	0.928157
a58	0.000745215	0.000612678	0.000802077	0.0014886	0.00791414	0.108291	0.880146
a82	0.0137781	0.010245	0.0107319	0.015938	0.0470977	0.197658	0.704552
a97	0.22563	0.107655	0.0638742	0.0609712	0.0818954	0.168889	0.291086
a87	0.266086	0.185385	0.1292	0.103513	0.0779259	0.0935523	0.144339
a23	0.183047	0.151354	0.124203	0.117236	0.100751	0.149223	0.174187
a97	0.0474851	0.0265566	0.0174312	0.014655	0.023445	0.0985115	0.771915
a87	0.0217182	0.0134175	0.00869436	0.0100713	0.01725	0.0540121	0.874837
a97	0.0429032	0.0326653	0.0256832	0.0313998	0.0400994	0.0720949	0.755154
a87	0.128555	0.1344	0.131403	0.124664	0.0852057	0.0811566	0.314616
a85	0.08191	0.0731108	0.0691199	0.0802265	0.0814779	0.101718	0.512437
</S>	0.0163282	0.0104228	0.00788484	0.00907112	0.0187699	0.0584742	0.879049
