 	il	y	a	autant	de	couteaux	que	des	fourchettes	</S>
a23	0.350751	0.175029	0.0885123	0.0577592	0.0377633	0.0299475	0.0452451	0.0441544	0.0536359	0.117202
a87	0.292443	0.207875	0.119497	0.0733584	0.0524139	0.0480199	0.0316293	0.0358701	0.0528553	0.0860381
a40	0.105937	0.101997	0.0748783	0.0756228	0.0870084	0.10753	0.0772746	0.0921635	0.111663	0.165925
a73	0.354075	0.201253	0.147196	0.125536	0.0708592	0.0291109	0.0225577	0.0157951	0.0134026	0.0202137
a58	0.257327	0.193017	0.203587	0.184616	0.0762362	0.0360946	0.0249835	0.0113333	0.00670035	0.00610498
a54	0.164443	0.156719	0.217859	0.21913	0.096203	0.0537034	0.0311882	0.0238255	0.0187529	0.0181768
a73	0.122721	0.133753	0.161251	0.144495	0.111346	0.105631	0.0753678	0.0589536	0.0432073	0.0432737
a84	0.133442	0.145975	0.161428	0.151511	0.106475	0.106268	0.0674802	0.0489416	0.0378563	0.0406236
a57	0.0924236	0.112133	0.15579	0.192234	0.134033	0.10539	0.0557301	0.050088	0.0478375	0.0543394
a40	0.0744198	0.0887496	0.143122	0.201386	0.161594	0.119077	0.0554867	0.0473577	0.0480285	0.0607782
a73	0.0517766	0.0525302	0.0692322	0.103332	0.128834	0.178618	0.131	0.104054	0.0827537	0.097869
a44	0.0746668	0.0780105	0.0906792	0.121551	0.143149	0.172736	0.121868	0.0856633	0.0583142	0.0533618
a38	0.0820161	0.0845744	0.09323	0.122121	0.141879	0.169036	0.103167	0.0792451	0.0597266	0.0650052
a90	0.0801929	0.0774989	0.0858623	0.0999333	0.129178	0.165819	0.113315	0.0926068	0.0735994	0.0819942
a69	0.0429471	0.0423678	0.0500335	0.0666308	0.100324	0.154609	0.139301	0.141828	0.122819	0.139141
a94	0.047343	0.0472308	0.0556886	0.0704739	0.11077	0.154946	0.124747	0.125667	0.113677	0.149457
a53	0.040431	0.0391788	0.0393987	0.0499291	0.0948377	0.145157	0.13208	0.150112	0.140653	0.168222
a90	0.0399169	0.0391884	0.0409869	0.0483973	0.083082	0.124442	0.125104	0.156481	0.153494	0.188908
a69	0.05233	0.0485324	0.0513279	0.0636146	0.0863343	0.110886	0.101624	0.131475	0.148885	0.204992
a57	0.0377208	0.0357235	0.0361001	0.0436075	0.0734508	0.100429	0.106876	0.149777	0.178632	0.237683
a82	0.048254	0.0454325	0.0430644	0.0489843	0.0953232	0.124207	0.111292	0.134109	0.157694	0.191639
a53	0.0368618	0.0326603	0.0349923	0.040456	0.0824746	0.131653	0.134185	0.147692	0.146975	0.21205
a90	0.0265256	0.0240862	0.0244864	0.0288263	0.0571807	0.0741711	0.0812182	0.162604	0.225872	0.295029
a20	0.034472	0.0331263	0.0337517	0.0414251	0.0673703	0.0873542	0.0913119	0.14139	0.192267	0.277532
a69	0.0226696	0.0221473	0.0223696	0.0275399	0.0631208	0.0866244	0.0775041	0.122091	0.189419	0.366513
a58	0.0268686	0.0261188	0.026239	0.0338333	0.0806738	0.106918	0.089477	0.132778	0.177293	0.2998
a4	0.0201726	0.0200056	0.0207528	0.028123	0.0789405	0.101642	0.0958304	0.123591	0.182256	0.328686
a53	0.030901	0.0303176	0.0283445	0.034089	0.0857863	0.106666	0.0960409	0.11577	0.175335	0.296749
a15	0.0379145	0.036976	0.0331537	0.0373548	0.0751939	0.10277	0.095362	0.115533	0.164122	0.30162
a73	0.029422	0.0286465	0.0263388	0.0333535	0.0838038	0.105478	0.0960525	0.113385	0.165424	0.318096
a69	0.00922905	0.00890111	0.00933383	0.0133742	0.0414887	0.0646083	0.0854919	0.112487	0.181984	0.473101
a32	0.0229593	0.0212326	0.021894	0.0299991	0.0873751	0.126962	0.118183	0.124953	0.159543	0.2869
a20	0.0311641	0.0267633	0.0195209	0.0211874	0.0573207	0.0758393	0.0902143	0.110341	0.164386	0.403263
a44	0.0116608	0.00988033	0.00710409	0.00920165	0.0333398	0.0562687	0.0766359	0.11353	0.172476	0.509903
a4	0.0142449	0.0125022	0.00985256	0.0122474	0.0401971	0.0712965	0.0876077	0.126522	0.183126	0.442403
a58	0.0227008	0.0208679	0.0171889	0.0203581	0.0588968	0.0944519	0.0989428	0.126008	0.168624	0.37196
a57	0.0142283	0.0130155	0.0114522	0.0136177	0.036802	0.0597609	0.0784247	0.117742	0.171745	0.483211
a87	0.0141166	0.0117482	0.00852627	0.0085734	0.0218495	0.0366102	0.0589548	0.1025	0.155058	0.582063
a23	0.0115343	0.00870606	0.00431148	0.00363965	0.00989677	0.0144334	0.0409821	0.116576	0.218362	0.571559
a87	0.0781135	0.0551337	0.0279279	0.0270697	0.0457641	0.0399001	0.101861	0.128033	0.15527	0.340927
</S>	0.0491054	0.0334729	0.0147899	0.0155226	0.0374557	0.0403746	0.0992733	0.149629	0.173927	0.386449
