 	ta	manière	de	transvaser	renverse	la	boisson	</S>
a66	0.206286	0.165292	0.193878	0.233029	0.12649	0.0429837	0.0181376	0.0139039
a87	0.389358	0.271626	0.17269	0.0751744	0.0341775	0.021215	0.0151083	0.0206513
a23	0.429836	0.187686	0.118315	0.0945984	0.0629878	0.0336299	0.0294566	0.0434903
a87	0.342617	0.284867	0.170315	0.115939	0.0286472	0.012678	0.0161661	0.0287699
a23	0.313376	0.292891	0.198845	0.120479	0.0296789	0.0122557	0.0137195	0.0187539
a18	0.247848	0.313634	0.197205	0.105022	0.0320252	0.0194544	0.0297235	0.055088
a5	0.223577	0.258351	0.209098	0.123874	0.0787236	0.0322257	0.0338499	0.0403012
a0	0.16582	0.247207	0.262206	0.192197	0.069752	0.0242183	0.0198	0.0188002
a24	0.0843714	0.198668	0.251325	0.275904	0.106329	0.0382521	0.0267541	0.0183964
a31	0.0553992	0.126675	0.222141	0.310943	0.16758	0.0558092	0.0361653	0.025288
a21	0.0547832	0.0956185	0.192686	0.349183	0.207624	0.0537445	0.0276043	0.0187577
a5	0.07475	0.102177	0.16757	0.341473	0.225055	0.0448751	0.0250381	0.0190608
a75	0.0375134	0.0545271	0.138182	0.393606	0.22604	0.0648396	0.0438515	0.0414406
a92	0.0362782	0.0504472	0.145205	0.382944	0.210915	0.0677702	0.0510019	0.0554387
a61	0.0362134	0.0452497	0.142168	0.358006	0.24977	0.0750834	0.0457559	0.0477532
a31	0.0254945	0.0248813	0.0730868	0.292865	0.320504	0.125655	0.0666991	0.0708148
a88	0.0276456	0.0253575	0.0659519	0.266824	0.305534	0.147094	0.0812888	0.0803042
a9	0.0153047	0.014983	0.0364956	0.188909	0.336073	0.19635	0.101315	0.110569
a50	0.0172844	0.0136349	0.0218618	0.0913874	0.265663	0.213437	0.146654	0.230077
a62	0.0204377	0.0188979	0.0229173	0.0605312	0.205005	0.196929	0.170858	0.304424
a61	0.00990067	0.0116897	0.0259694	0.101016	0.199779	0.247639	0.206791	0.197215
a43	0.0067707	0.00832117	0.0186295	0.0742706	0.153751	0.215026	0.261794	0.261437
a93	0.00661579	0.00641709	0.0129617	0.0405112	0.110602	0.203075	0.310432	0.309385
a94	0.00584741	0.00565687	0.0108192	0.0297043	0.0784851	0.16346	0.305168	0.40086
a11	0.0014029	0.00127721	0.00230016	0.00612209	0.0212982	0.0774588	0.270993	0.619147
a75	0.000447773	0.000331641	0.000494837	0.0015008	0.0066856	0.0385181	0.222116	0.729905
a47	0.000162286	0.00012166	0.00022225	0.000824562	0.00491759	0.0430494	0.257406	0.693296
a7	7.65131e-05	4.57706e-05	7.32944e-05	0.000275654	0.00285644	0.0373425	0.242902	0.716428
a44	0.000194081	9.18261e-05	8.1628e-05	0.000159868	0.001261	0.0228866	0.214922	0.760403
a26	0.00030593	0.000166313	0.00013201	0.000252999	0.00213377	0.0267962	0.210274	0.759938
a82	0.00366358	0.00140491	0.00111472	0.00166792	0.0139793	0.068788	0.278838	0.630544
a97	0.134166	0.0349889	0.0247793	0.024805	0.0608733	0.117681	0.213639	0.389068
a87	0.390996	0.134199	0.0779044	0.0498822	0.0506248	0.063953	0.102114	0.130327
a23	0.271866	0.138593	0.0853238	0.0595871	0.0773583	0.0967222	0.132422	0.138128
a99	0.126759	0.041291	0.017923	0.0114583	0.0139342	0.0657172	0.231998	0.490919
a97	0.0588719	0.018453	0.0115008	0.0153749	0.0380359	0.124809	0.278583	0.454371
</S>	0.0120304	0.00458949	0.00414204	0.0095137	0.0269779	0.090527	0.286963	0.565256
