 	la	pluie	qui	est	tombée	hier	a	fait	déborder	le	ruisseau	vouma	</S>
a66	0.132781	0.110907	0.0937095	0.102308	0.109389	0.104453	0.12337	0.0886566	0.0714833	0.0294124	0.0153292	0.00947083	0.00873051
a87	0.127665	0.0877447	0.0724029	0.0724679	0.0829233	0.0876477	0.0886646	0.0937025	0.0721924	0.0577417	0.0462177	0.0518568	0.0587733
a23	0.250826	0.182818	0.169353	0.110732	0.0870043	0.0556224	0.038366	0.0231054	0.0166879	0.0107743	0.0102853	0.0162736	0.0281526
a83	0.164301	0.116141	0.128161	0.111014	0.131809	0.0811718	0.0591667	0.0377231	0.0325008	0.0236235	0.0236811	0.0345581	0.0561497
a90	0.174902	0.117843	0.0996584	0.0805689	0.0775924	0.0495311	0.0460819	0.0417985	0.0565331	0.0486503	0.0575045	0.0643839	0.0849524
a15	0.245599	0.177236	0.130086	0.105966	0.0744266	0.038001	0.0369709	0.0287779	0.0330976	0.0266912	0.0337106	0.0305753	0.0388623
a85	0.128064	0.111872	0.0905612	0.094296	0.0780344	0.0531644	0.0480455	0.0390019	0.0458611	0.0448323	0.0709348	0.081316	0.114016
a5	0.113634	0.12006	0.123683	0.136026	0.109617	0.0742996	0.0624432	0.0501351	0.0410989	0.0294574	0.0372736	0.0437412	0.058531
a21	0.108892	0.0961382	0.117657	0.150756	0.142665	0.0913619	0.0753608	0.062333	0.0500284	0.0266318	0.0242707	0.0243968	0.029508
a47	0.0858767	0.0820259	0.100598	0.134878	0.139523	0.105613	0.0890161	0.0760108	0.0564187	0.034881	0.0296934	0.0303798	0.0350855
a96	0.0538973	0.0656238	0.0915228	0.14375	0.155471	0.12822	0.101355	0.0886838	0.0714996	0.0339887	0.0225373	0.0208023	0.0226481
a93	0.0392861	0.0513214	0.0779239	0.135724	0.157134	0.138618	0.106985	0.0929952	0.0719232	0.0376558	0.0274319	0.0290694	0.0339321
a56	0.0333299	0.0428033	0.0657491	0.117494	0.146975	0.141627	0.115627	0.101988	0.0809549	0.0436971	0.0320515	0.0353925	0.0423108
a94	0.0291248	0.038362	0.0579533	0.0973334	0.123792	0.131782	0.112827	0.108814	0.0885291	0.0641602	0.0459691	0.0478896	0.0534638
a96	0.0144787	0.0208384	0.0341544	0.0678827	0.104485	0.129083	0.110399	0.115461	0.104961	0.0794894	0.062654	0.070864	0.0852501
a94	0.0166574	0.0208009	0.031057	0.055886	0.0860396	0.127285	0.115648	0.121375	0.106391	0.0909817	0.0713748	0.0717893	0.0847143
a12	0.0111919	0.0143786	0.0210855	0.0373809	0.0606724	0.0974718	0.0969132	0.117197	0.115878	0.1132	0.0944772	0.100477	0.119676
a21	0.0128993	0.0156681	0.0223853	0.0378874	0.0592314	0.0933564	0.0925031	0.112771	0.105768	0.113013	0.0998291	0.106951	0.127737
a85	0.0139272	0.0169308	0.0240705	0.0358669	0.0522863	0.0871647	0.0862888	0.100931	0.0874815	0.118797	0.115577	0.125398	0.13528
a47	0.00987055	0.0142	0.0219978	0.030872	0.0388999	0.053456	0.0472292	0.0566736	0.0453376	0.0821524	0.117001	0.211861	0.270448
a36	0.014737	0.0184427	0.0258243	0.0329627	0.039645	0.0530329	0.0450207	0.0503386	0.0358839	0.0657931	0.0996955	0.209575	0.309049
a7	0.0223227	0.0284952	0.0379636	0.042167	0.0444564	0.0456617	0.0418826	0.047799	0.0386773	0.0657423	0.0967957	0.184735	0.303302
a90	0.0577751	0.0651794	0.0778871	0.0693576	0.0653919	0.0676088	0.0576569	0.0564269	0.040081	0.051934	0.0621046	0.124289	0.204307
a15	0.0134591	0.0130768	0.0163772	0.0183344	0.0208582	0.0242669	0.0226252	0.0300713	0.0300342	0.069518	0.111414	0.236073	0.393892
a98	0.00581884	0.00647849	0.0090083	0.0116545	0.0131728	0.0139192	0.0108253	0.0130597	0.011417	0.0376756	0.0897973	0.258969	0.518204
a15	0.00618175	0.00706882	0.00982271	0.0120762	0.0133915	0.014812	0.0112343	0.0133975	0.0110544	0.0387063	0.0963274	0.285395	0.480532
a7	0.00313531	0.00344679	0.0051558	0.00664096	0.00750509	0.00785723	0.00573929	0.00717852	0.0059878	0.0246052	0.0797812	0.307632	0.535335
a40	0.0110941	0.0127583	0.0127485	0.0109932	0.00945739	0.00837515	0.00647333	0.00735397	0.00619457	0.0246418	0.0848251	0.316116	0.488968
a85	0.011233	0.0121415	0.014256	0.014979	0.0140397	0.0119888	0.00850846	0.010169	0.00886442	0.0293661	0.0860374	0.307388	0.471028
a37	0.00345996	0.00402718	0.00512513	0.00574187	0.00592126	0.00605844	0.00419138	0.00535749	0.0044101	0.0211294	0.0758153	0.331147	0.527616
a47	0.00301307	0.00323371	0.00357318	0.003678	0.00326508	0.00299975	0.00229485	0.00310917	0.00298532	0.0147259	0.06236	0.317355	0.577407
a0	0.00272621	0.00268506	0.00313017	0.00361805	0.00380019	0.00367021	0.00271781	0.0039183	0.00413818	0.0190127	0.0672621	0.324832	0.558489
a62	0.0148684	0.0136916	0.0117298	0.0104814	0.00913422	0.00916397	0.00877637	0.0124441	0.0134722	0.0399402	0.0966757	0.309482	0.45014
a93	0.0093898	0.00849981	0.00687721	0.00661385	0.0064966	0.00734749	0.00740576	0.0115091	0.0138462	0.0402529	0.0958186	0.301789	0.484154
a70	0.00263173	0.00255865	0.00224031	0.00245946	0.00265021	0.00343269	0.00360533	0.00572659	0.00713962	0.0265454	0.0791968	0.291153	0.57066
a94	0.00542702	0.0051797	0.0042633	0.00429233	0.00471841	0.00587516	0.00597627	0.00945757	0.0125099	0.038459	0.0982682	0.301202	0.504371
a7	0.00314534	0.0031114	0.00262826	0.00295036	0.00346258	0.00465627	0.00480243	0.00812045	0.0113465	0.0367517	0.0925019	0.293432	0.533091
a84	0.00152614	0.00149547	0.00127415	0.00135378	0.0015187	0.00179252	0.0017843	0.0030461	0.00445205	0.0183542	0.0628435	0.285674	0.614885
a82	0.0753908	0.0710032	0.0490076	0.0367303	0.024741	0.0274248	0.0252611	0.0300699	0.0295716	0.0572387	0.102276	0.188476	0.282809
a87	0.146358	0.099528	0.0698498	0.04931	0.0396489	0.0440405	0.0399591	0.0376445	0.0313767	0.0463563	0.0723309	0.126786	0.196812
a23	0.118337	0.0858986	0.0660428	0.052718	0.0545203	0.0683187	0.0649149	0.0552705	0.0380051	0.0451486	0.0689609	0.117571	0.164294
a87	0.102577	0.0707613	0.058394	0.0337805	0.022527	0.0237542	0.0184993	0.0177097	0.0121019	0.0299962	0.0659759	0.198515	0.345408
