 	celles-ci	sont	les	traces	de	l'	antilope	</S>
a66	0.247735	0.32263	0.153005	0.072692	0.0653747	0.0597655	0.0450634	0.0337351
a87	0.124437	0.0992166	0.0719052	0.117716	0.163764	0.174577	0.137341	0.111043
a23	0.288877	0.292518	0.234686	0.110345	0.0263546	0.0166366	0.0171473	0.0134355
a83	0.313975	0.292247	0.191924	0.070357	0.037021	0.0302972	0.0330745	0.0311047
a98	0.265038	0.349429	0.201758	0.053725	0.0315273	0.0262752	0.0361832	0.0360641
a47	0.23213	0.316167	0.230907	0.0894612	0.0592246	0.0263379	0.0244712	0.0213015
a85	0.147916	0.185697	0.189514	0.188965	0.159532	0.0530399	0.0421239	0.033212
a47	0.169451	0.167962	0.143849	0.140178	0.147392	0.0905129	0.0743124	0.0663435
a36	0.0747862	0.0677647	0.0639579	0.116607	0.20651	0.180946	0.157211	0.132218
a85	0.0327234	0.0284368	0.028272	0.0906028	0.186291	0.219326	0.229063	0.185285
a5	0.00656895	0.00609608	0.00971646	0.0524881	0.181695	0.248517	0.27268	0.222239
a98	0.00793612	0.00509787	0.00871725	0.0377704	0.126553	0.232665	0.286389	0.294871
a79	0.00104402	0.00062477	0.00168937	0.0171405	0.105568	0.250058	0.314546	0.30933
a7	0.000266582	0.000135115	0.000417494	0.00594932	0.0500562	0.185182	0.345519	0.412474
a44	0.000294893	0.000105533	0.000216595	0.0018693	0.0176117	0.160022	0.340347	0.479533
a57	0.000686429	0.000331611	0.000613315	0.00388423	0.0261487	0.175242	0.321726	0.471368
a3	0.0319082	0.0255314	0.0240161	0.0290281	0.0607678	0.15189	0.259158	0.4177
a87	0.195493	0.160066	0.117551	0.0633756	0.0720437	0.116195	0.131844	0.143432
a10	0.226829	0.183937	0.142318	0.0954805	0.0760951	0.0952835	0.0924289	0.087628
a87	0.175956	0.113427	0.0740899	0.0732682	0.0739291	0.130971	0.17612	0.182239
a23	0.0665069	0.0465844	0.0385508	0.0722305	0.106699	0.194749	0.247007	0.227673
a99	0.00932921	0.00480409	0.00747084	0.0433186	0.0868266	0.212372	0.310244	0.325634
a87	0.0202275	0.0137621	0.0268723	0.0855567	0.0970521	0.160917	0.268164	0.327449
</S>	0.0114137	0.00575411	0.0108088	0.064929	0.102388	0.196059	0.288865	0.319782
