 	c'	est	lui	qui	me	remplace	à	ce	poste	</S>
a66	0.134771	0.137541	0.136771	0.192127	0.220258	0.10107	0.0395542	0.0172054	0.012175	0.00852626
a87	0.166256	0.153531	0.141366	0.157058	0.135578	0.129925	0.06067	0.0266273	0.0177222	0.0112662
a23	0.264231	0.201244	0.159267	0.20839	0.114173	0.0246895	0.011396	0.00670159	0.0049841	0.00492412
a87	0.257951	0.205833	0.153153	0.198474	0.114072	0.0253391	0.0114626	0.008583	0.00987451	0.0152583
a23	0.250586	0.190279	0.145715	0.205887	0.13604	0.0310921	0.0117177	0.0083959	0.00873771	0.0115504
a30	0.195615	0.145223	0.114455	0.213803	0.177346	0.0602962	0.031067	0.020983	0.0194574	0.0217538
a13	0.152282	0.111347	0.0970261	0.209182	0.228177	0.0991153	0.0345809	0.0210379	0.021907	0.0253448
a11	0.127482	0.131034	0.137927	0.22888	0.23392	0.105268	0.021556	0.00601699	0.00436669	0.0035504
a88	0.114824	0.113983	0.126913	0.159113	0.211009	0.18883	0.0520095	0.0168519	0.00938123	0.00708669
a0	0.0898725	0.0910287	0.110383	0.141615	0.207463	0.221597	0.072266	0.0309773	0.019127	0.0156707
a62	0.0716899	0.0664524	0.0672996	0.0759455	0.139528	0.257477	0.117423	0.081145	0.0590691	0.0639706
a75	0.0741915	0.0669273	0.070589	0.0701415	0.14195	0.309253	0.126574	0.0592405	0.0399391	0.0411939
a85	0.0206905	0.0205863	0.0297682	0.0536575	0.173293	0.380098	0.139396	0.0684666	0.0604008	0.0536431
a92	0.0156571	0.015642	0.0270426	0.0491875	0.151949	0.306271	0.143515	0.0956862	0.102463	0.0925868
a21	0.0532869	0.048982	0.0640949	0.0891421	0.150358	0.218135	0.113863	0.0808609	0.0951248	0.086152
a5	0.0182048	0.0171675	0.0255068	0.0408435	0.120364	0.205048	0.139761	0.125247	0.163406	0.144451
a61	0.0142054	0.0127946	0.0172206	0.020766	0.0621476	0.132698	0.147718	0.174469	0.219665	0.198317
a21	0.00705242	0.006463	0.00879161	0.00839399	0.0219249	0.0574946	0.122971	0.204846	0.270677	0.291385
a61	0.00459666	0.00429091	0.00596749	0.00568428	0.0153555	0.0434261	0.115266	0.220866	0.289032	0.295515
a12	0.00335028	0.0031581	0.0044555	0.00391575	0.00902245	0.0242079	0.0920928	0.22831	0.326586	0.3049
a56	0.00160968	0.00159204	0.00227085	0.00177999	0.00301027	0.0101935	0.0556618	0.180709	0.327821	0.415352
a90	0.000751761	0.000691863	0.00097128	0.000691312	0.00121892	0.00479364	0.0288309	0.128408	0.306529	0.527113
a79	0.000247081	0.000225038	0.000301689	0.000188333	0.000354502	0.00184685	0.0115951	0.0815082	0.292665	0.611068
a7	0.000149764	0.000138385	0.000167308	7.87529e-05	0.00013165	0.000760177	0.00584746	0.061559	0.271137	0.660031
a44	0.000561503	0.000535497	0.000538984	0.000245942	0.0001764	0.000702107	0.00373274	0.0409436	0.241947	0.710616
a58	0.000509669	0.000536667	0.000675762	0.000291793	0.000254305	0.00109209	0.00527649	0.0498906	0.253877	0.687596
a82	0.00405724	0.00326883	0.00342784	0.00250788	0.00211792	0.0052384	0.0192482	0.0960846	0.275962	0.588087
a87	0.156425	0.0964532	0.0793878	0.0754741	0.0425951	0.0359477	0.0558424	0.0964676	0.134348	0.22706
a23	0.229893	0.155689	0.121851	0.151442	0.0739576	0.0252715	0.0276534	0.0558156	0.0742093	0.0842179
a87	0.142879	0.0815143	0.0434504	0.0252776	0.00822894	0.00501717	0.0108415	0.0561603	0.199518	0.427113
a97	0.00737461	0.00425368	0.00295888	0.00265395	0.00180629	0.00225915	0.0076963	0.0639424	0.243109	0.663946
a99	0.0288573	0.0216781	0.0185859	0.02314	0.0148996	0.00959954	0.0189806	0.0697515	0.223989	0.570518
a97	0.0205702	0.0159425	0.0143862	0.01569	0.0127475	0.011909	0.0255907	0.0930278	0.259292	0.530844
</S>	0.0401321	0.0297627	0.0284886	0.0442514	0.0366055	0.0221082	0.0325502	0.0756157	0.205383	0.485103
